ID,PVP1V1Rate,PVP1V1AddHPRate,DynamicAtt,MAX_HP,HP_RATE,HP_RECOVER,EnergyRecoverRate,ATTACK,ATK_RATE,DEFENSE,DEF_RATE,RESILIENCE,Penetration_RATE,SPEED,Walk_Speed,SPD_RATE,ATK_SPEED,CRT_RATE,CRT_DMG_Rate,CRT_Resist_Rate,WEIGHT,VAMPIRE,VAMPIRE_Value,BONUS_SKILL,Scale,DamageReduce,HitFlyValue,IRT_VALUE,Friction,ImmunityStatusAnimationLimitType
110000,,,,16,,,,2,,,,,,,,,,,,,,,,,,,,,,
110001,,,,32,,,,4,,,,,,,,,,,,,,,,,,,,,,
110002,,,,47,,,,6,,,,,,,,,,,,,,,,,,,,,,
110003,,,,63,,,,8,,,,,,,,,,,,,,,,,,,,,,
110004,,,,79,,,,9,,,,,,,,,,,,,,,,,,,,,,
110005,,,,95,,,,11,,,,,,,,,,,,,,,,,,,,,,
110006,,,,111,,,,13,,,,,,,,,,,,,,,,,,,,,,
110007,,,,126,,,,15,,,,,,,,,,,,,,,,,,,,,,
110008,,,,142,,,,17,,,,,,,,,,,,,,,,,,,,,,
110009,,,,158,,,,19,,,,,,,,,,,,,,,,,,,,,,
110010,,,,25,,,,3,,,,,,,,,,,,,,,,,,,,,,
110011,,,,49,,,,6,,,,,,,,,,,,,,,,,,,,,,
110012,,,,74,,,,9,,,,,,,,,,,,,,,,,,,,,,
110013,,,,98,,,,12,,,,,,,,,,,,,,,,,,,,,,
110014,,,,123,,,,15,,,,,,,,,,,,,,,,,,,,,,
110015,,,,147,,,,18,,,,,,,,,,,,,,,,,,,,,,
110016,,,,172,,,,21,,,,,,,,,,,,,,,,,,,,,,
110017,,,,197,,,,24,,,,,,,,,,,,,,,,,,,,,,
110018,,,,221,,,,26,,,,,,,,,,,,,,,,,,,,,,
110019,,,,246,,,,29,,,,,,,,,,,,,,,,,,,,,,
110020,,,,182,,,,22,,,,,,,,,,,,,,,,,,,,,,
110021,,,,205,,,,25,,,,,,,,,,,,,,,,,,,,,,
110022,,,,229,,,,27,,,,,,,,,,,,,,,,,,,,,,
110023,,,,253,,,,30,,,,,,,,,,,,,,,,,,,,,,
110024,,,,276,,,,33,,,,,,,,,,,,,,,,,,,,,,
110025,,,,283,,,,34,,,,,,,,,,,,,,,,,,,,,,
110026,,,,319,,,,38,,,,,,,,,,,,,,,,,,,,,,
110027,,,,356,,,,43,,,,,,,,,,,,,,,,,,,,,,
110028,,,,393,,,,47,,,,,,,,,,,,,,,,,,,,,,
110029,,,,430,,,,51,,,,,,,,,,,,,,,,,,,,,,
110030,,,,50,,,,5,,,,,,,,,,,,,,,,,,,,,,
110031,,,,100,,,,10,,,,,,,,,,,,,,,,,,,,,,
110032,,,,150,,,,15,,,,,,,,,,,,,,,,,,,,,,
110033,,,,250,,,,25,,,,,,,,,,,,,,,,,,,,,,
110034,,,,400,,,,40,,,,,,,,,,,,,,,,,,,,,,
110043,,,,600,,,,60,,,,,,,,,,,,,,,,,,,,,,
110044,,,,1000,,,,90,,,,,,,,,,,,,,,,,,,,,,
110035,,,,50,,,,5,,,,,,,,,,,,,,,,,,,,,,
110036,,,,100,,,,10,,,,,,,,,,,,,,,,,,,,,,
110037,,,,150,,,,15,,,,,,,,,,,,,,,,,,,,,,
110038,,,,250,,,,25,,,,,,,,,,,,,,,,,,,,,,
110039,,,,400,,,,40,,,,,,,,,,,,,,,,,,,,,,
110040,,,,600,,,,60,,,,,,,,,,,,,,,,,,,,,,
110041,,,,1000,,,,90,,,,,,,,,,,,,,,,,,,,,,
110042,,,,1500,,,,130,,,,,,,,,,,,,,,,,,,,,,
120000,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,
120001,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
120002,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
120003,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,
120004,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,
120005,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,
120006,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,
120007,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,
120008,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,
120009,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,
120010,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,
