ID,Type,PrefixImageName,LightMode,ItemCondition,Image,VersionControls
FR000,1,,,FR000,Icon/Icon02_HeadFrame/Frame_000,64
FR001,1,,,FR001,Icon/Icon02_HeadFrame/Frame_001,64
FR002,1,,,FR002,Icon/Icon02_HeadFrame/Frame_002,64
FR003,1,,,FR003,Icon/Icon02_HeadFrame/Frame_003,64
FR004,1,,,FR004,Icon/Icon02_HeadFrame/Frame_004,64
FR005,1,,,FR005,Icon/Icon02_HeadFrame/Frame_005,64
FR006,1,,,FR006,Icon/Icon02_HeadFrame/Frame_006,64
FR007,1,,,FR007,Icon/Icon02_HeadFrame/Frame_007,64
FR008,1,,,FR008,Icon/Icon02_HeadFrame/Frame_008,64
FR009,1,,,FR009,Icon/Icon02_HeadFrame/Frame_009,64
FR010,1,,,FR010,Icon/Icon02_HeadFrame/Frame_010,64
FR011,1,,,FR011,Icon/Icon02_HeadFrame/Frame_011,64
FR012,1,,,FR012,Icon/Icon02_HeadFrame/Frame_012,64
FR013,1,,,FR013,Icon/Icon02_HeadFrame/Frame_013,64
FR014,1,,,FR014,Icon/Icon02_HeadFrame/Frame_014,64
FR015,1,,,FR015,Icon/Icon02_HeadFrame/Frame_015,64
FR016,1,,,FR016,Icon/Icon02_HeadFrame/Frame_016,64
FR017,1,,,FR017,Icon/Icon02_HeadFrame/Frame_017,64
FR018,1,,,FR018,Icon/Icon02_HeadFrame/Frame_018,64
FR019,1,,,FR019,Icon/Icon02_HeadFrame/Frame_019,64
FR020,1,,,FR020,Icon/Icon02_HeadFrame/Frame_020,64
FR021,1,,,FR021,Icon/Icon02_HeadFrame/Frame_021,64
FR022,1,,,FR022,Icon/Icon02_HeadFrame/Frame_022,64
FR023,1,,,FR023,Icon/Icon02_HeadFrame/Frame_023,64
FR024,1,,,FR024,Icon/Icon02_HeadFrame/Frame_024,64
FR025,1,,,FR025,Icon/Icon02_HeadFrame/Frame_025,64
FR026,1,,,FR026,Icon/Icon02_HeadFrame/Frame_026,64
