ID,CONDITION,TYPE,GENRE,StackTypeID,PROBABILITY,TriggerCDTime,STATUS,BSkillTips
999932,1,8-9-10-11-12-13-14,,,1,10,9999151-9999139,
999933,,8-9-10-11-12-13-14,,,,,,
999934,1,8-9-10-11-12-13-14,,,1,,9999158,
999935,16,8-9-10-11-12-13-14,,,1,,9999155,
999936,,8-9-10-11-12-13-14,700001-700002,,1,,99991602,T_BONUS_SKILL_BSkillTips_999936
999937,16,8-9-10-11-12-13-14,,,1,,99991603-99991604-99991605,T_BONUS_SKILL_BSkillTips_999937
999938,17,8-9-10-11-12-13-14,,,1,,99991608,
999939,10,8-9-10-11-12-13-14,,,1,9999,,
130003,,,1004-1006,,0.05,,130003,
130004,,,1004-1006,,0.1,,130003,
130005,,,1004-1006,,0.15,,130003,
130067,,,1004-1006,,0.15,,130003,
130009,,,5005-5007,,1,,130009,
130010,,,5005-5007,,1,,130010,
130011,,,5005-5007,,1,,130011,
130069,,,5005-5007,,1,,130011-130069,
130015,5,,2005-2007,,1,,130015,
130016,5,,2005-2007,,1,,130016,
130017,5,,2005-2007,,1,,130017,
130071,5,,2005-2007,,1,,130017,
130021,9,,,,1,,130021,
130022,9,,,,1,,130022,
130023,9,,,,1,,130023,
130073,9,,,,1,,130073,
130027,,,4005-4007,,1,,130027,
130028,,,4005-4007,,1,,130028,
130029,,,4005-4007,,1,,130029,
130075,,,4005-4007,,1,,130029,
130033,,,8004-8006,,1,,130033,
130034,,,8004-8006,,1,,130034,
130035,,,8004-8006,,1,,130035,
130077,,,8004-8006,,1,,130035,
130039,5,,7005-7007,,1,,130039,
130040,5,,7005-7007,,1,,130040,
130041,5,,7005-7007,,1,,130041,
130079,5,,7005-7007,,1,,130079,
130045,,,6004-6006,,1,,130045,
130046,,,6004-6006,,1,,130046,
130047,,,6004-6006,,1,,130047,
130081,,,6004-6006,,1,,130081,
130051,,,9004-9006,,1,,130051,
130052,,,9004-9006,,1,,130052,
130053,,,9004-9006,,1,,130053,
130083,,,9004-9006,,1,,130083,
130057,,,10005-10007,,1,,130057,
130058,,,10005-10007,,1,,130058,
130059,,,10005-10007,,1,,130059,
130085,,,10005-10007,,1,,130059,
130063,5,,11004-11006,,1,,130063,
130064,5,,11004-11006,,1,,130064,
130065,5,,11004-11006,,1,,130065,
130087,5,,11004-11006,,1,,130087,
130098,5,,12004-12006,,1,,130098,
130099,5,,12004-12006,,1,,130099,
130100,5,,12004-12006,,1,,130100,
130101,5,,12004-12006,,1,,130101,
130104,,,13004-13006,,1,,130104,
130105,,,13004-13006,,1,,130105,
130106,,,13004-13006,,1,,130106,
130107,,,13004-13006,,1,,130107,
130108,10,,,,1,,130108,
130109,10,,,,1,,130109,
130110,10,,,,1,,130110,
130111,10,,,,1,,130111,
130116,,,15004-15006,,1,4,130116,
130117,,,15004-15006,,1,4,130117,
130118,,,15004-15006,,1,4,130118,
130119,,,15004-15006,,1,4,130119,
130120,5,,16004-16006,,1,,130120,
130121,5,,16004-16006,,1,,130121,
130122,5,,16004-16006,,1,,130122,
130123,5,,16004-16006,,1,,130123,
130133,,,18004-18006,,1,,130133,
130134,,,18004-18006,,1,,130134,
130135,,,18004-18006,,1,,130135,
130136,,,18004-18006,,1,,130136,
130141,,,19004-19006,,1,,130141,
130142,,,19004-19006,,1,,130142,
130143,,,19004-19006,,1,,130143,
130144,,,19004-19006,,1,,130144,
130145,,,20004-20006,,1,,130145,
130146,,,20004-20006,,1,,130146,
130147,,,20004-20006,,1,,130147,
130148,,,20004-20006,,1,,130148,
130149,,,21004-21006,,1,,130149,
130150,,,21004-21006,,1,,130150,
130151,,,21004-21006,,1,,130151,
130152,,,21004-21006,,1,,130152,
130153,5,,22004-22006,,1,,130153,
130154,5,,22004-22006,,1,,130154,
130155,5,,22004-22006,,1,,130155,
130156,5,,22004-22006,,1,,130156,
130157,5,,90004-90006,,1,,130157,
130158,5,,90004-90006,,1,,130158,
130159,5,,90004-90006,,1,,130159,
130160,5,,90004-90006,,1,,130160,
130161,,,91004-91006,,1,,130161,
130162,,,91004-91006,,1,,130162,
130163,,,91004-91006,,1,,130163,
130164,,,91004-91006,,1,,130164,
130165,,,23004-23006,,1,,130165,
130166,,,23004-23006,,1,,130166,
130167,,,23004-23006,,1,,130167,
130168,,,23004-23006,,1,,130168,
130169,5,,24004-24006,,1,,130169,
130170,5,,24004-24006,,1,,130170,
130171,5,,24004-24006,,1,,130171,
130172,5,,24004-24006,,1,,130172,
130173,5,,25004-25006,,1,,130173,
130174,5,,25004-25006,,1,,130174,
130175,5,,25004-25006,,1,,130175,
130176,5,,25004-25006,,1,,130176,
130177,,,26004-26006,,1,4,130177,
130178,,,26004-26006,,1,4,130178,
130179,,,26004-26006,,1,4,130179,
130180,,,26004-26006,,1,4,130180,
130181,,,27004-27006,,1,,130181,
130182,,,27004-27006,,1,,130182,
130183,,,27004-27006,,1,,130183,
130184,,,27004-27006,,1,,130184,
130185,,,28004-28006,,1,,130185,
130186,,,28004-28006,,1,,130186,
130187,,,28004-28006,,1,,130187,
130188,,,28004-28006,,1,,130188,
130189,,,29004-29006,,1,,130189,
130190,,,29004-29006,,1,,130190,
130191,,,29004-29006,,1,,130191,
130192,,,29004-29006,,1,,130192,
130193,10,,,,1,,130193,
130194,10,,,,1,,130194,
130195,10,,,,1,,130195,
130196,10,,,,1,,130196,
130197,5,,31004-31006,,1,,130197,
130198,5,,31004-31006,,1,,130198,
130199,5,,31004-31006,,1,,130199,
130200,5,,31004-31006,,1,,130200,
130201,5,,32004-32006,,1,,130201,
130202,5,,32004-32006,,1,,130202,
130203,5,,32004-32006,,1,,130203,
130204,5,,32004-32006,,1,,130204,
130205,5,,33004-33006,,1,,130205,
130206,5,,33004-33006,,1,,130206,
130207,5,,33004-33006,,1,,130207,
130208,5,,33004-33006,,1,,130208,
130209,,,34004-34006,,1,,130209,
130210,,,34004-34006,,1,,130210,
130211,,,34004-34006,,1,,130211,
130212,,,34004-34006,,1,,130212,
130213,5,,35004-35006,,1,,130213,
130214,5,,35004-35006,,1,,130214,
130215,5,,35004-35006,,1,,130215,
130216,5,,35004-35006,,1,,130216,
130221,,,37004-37006,,1,,130221,
130222,,,37004-37006,,1,,130222,
130223,,,37004-37006,,1,,130223,
130224,,,37004-37006,,1,,130224,
130229,,,39004-39006,,1,,130229,
130230,,,39004-39006,,1,,130230,
130231,,,39004-39006,,1,,130231,
130232,,,39004-39006,,1,,130232,
130233,5,,40004-40006,,1,,130233,
130234,5,,40004-40006,,1,,130234,
130235,5,,40004-40006,,1,,130235,
130236,5,,40004-40006,,1,,130236,
130237,,,41004-40006,,1,,130237,
130238,,,41004-40006,,1,,130238,
130239,,,41004-40006,,1,,130239,
130240,,,41004-40006,,1,,130240,
130241,5,,42004-42006,,1,,130241,
130242,5,,42004-42006,,1,,130242,
130243,5,,42004-42006,,1,,130243,
130244,5,,42004-42006,,1,,130244,
1641009,5,,,,0.2,12,1641009,
1641010,5,,,,0.2,12,1641010,
1641011,5,,,,0.2,12,1641011,
1641012,5,,,,0.2,12,1641012,
9005,16,,9005-9007,,1,,3004-4004,
20005,16,,20005-20007,,1,,991010-993007,
24005,,,24005,,1,,999006,
24007,,,24007,,1,,992015,
24008,12,,,992016,1,1,992010-992017,
28005,16,,28005,,1,,5004-6004,
28007,16,,28007,,1,,5005-6004,
34005,,,34005,,1,,999035,
34007,,,34007,,1,,999052,
34002,5,,34006-34007,,1,8,998023,
35001,11,,,,1,,999057,
35002,10,,,,1,,999058,
35003,18,,,,1,,999057,
37005,5,,37005-37007,,1,,995004,
39005,16,,39005,,1,,5004-995005,
38006,11,,,,1,,38006,
38007,10,,,,1,,992031,
993524,12,,,999999,1,1,999011-999012,
993526,12,,,999998,1,1,999011-999022,
999014,,,,,0.5,1.5,999014,
999015,,,,,0.5,1.5,999015,
999016,,,,,0.5,1.5,999016,
999017,,,,,0.5,1.5,999017,
999018,,,,,0.5,1.5,999018,
999999,12,,,999012,1,1,993012,
999998,12,,,999022,1,1,993013,
993527,1,,,,1,0.1,993527,
993529,10,,,,1,,993529,
993540,1,,,,1,,993541,
993542,1,,,,1,0.1,993542,
993543,12,,,993541,1,1,993544,
999037,1,,,,1,,999038,
992511,1,,,,1,,999040,
993015,10,,,,1,30,993015,
993016,10,,,,1,15,993016,
990027,5,,,,1,,990027,
993545,12,,,993545,1,0.4,991031,
991031,12,,,991031,1,0.4,,
991032,,,40004-40006,,1,,991027,
993017,5,,40005-40007,,1,,993017,
993549,,,40005-40007,,1,1,990039,
999069,,,,,1,1,999069,
999073,,,37001-37002-37003,,0.5,0.5,999073,
992030,1,,,,1,,992030,
990049,,,FS0160-FS0161-FS0162-FS0163,,1,,995006,
991033,5,,,,1,,991033,
995508,,,,,1,,995508,
997030,1,,,,1,10,997030,
999074,1,,,,0.6,,999074,
996012,18,,,,1,999,996012,
993018,1,,,,1,10,993018,
996013,18,,,,1,999,996013,
998030,,,,,1,,998030,
996014,,,,,1,8,996014,
999075,,,,,0.5,,999075,
991034,10,,,,1,,991034,
998031,1,,,,0.3,,998031,
994529,,,,,1,10,994529,
995509,1,,,,0.4,,995509,
993019,18,,,,1,999,993019,
996015,1,,,,0.2,,996015,
996016,1,,,,0.2,,996016,
996017,1,,,,0.2,,996017,
996018,1,,,,0.2,,996018,
996019,1,,,,0.2,,996019,
996020,1,,,,0.2,,996020,
996021,1,,,,0.2,,996021,
996022,1,,,,0.2,,996022,
996023,1,,,,0.2,,996023,
996024,1,,,,0.2,,996024,
999076,10,,,,1,,999076,
999077,10,,,,1,,999077,
999078,10,,,,1,,999078,
999079,10,,,,1,,999079,
999080,10,,,,1,,999080,
999081,10,,,,1,,999081,
999082,10,,,,1,,999082,
999083,10,,,,1,,999083,
999084,10,,,,1,,999084,
999085,10,,,,1,,999085,
999086,11,,,,1,,999086,
1631017,,,5004-5006,,1,,1631017,
1631018,,,5004-5006,,1,,1631018,
1631019,,,5004-5006,,1,,1631019,
1631020,,,5004-5006,,1,,1631020,
1631021,,,6005-6007,,1,,1631021,
1631022,,,6005-6007,,1,,1631022,
1631023,,,6005-6007,,1,,1631023,
1631024,,,6005-6007,,1,,1631024,
1631037,5,,10004-10006,,1,,1631037,
1631038,5,,10004-10006,,1,,1631038,
1631039,5,,10004-10006,,1,,1631039,
1631040,5,,10004-10006,,1,,1631040,
7023,18,,,,1,,7025,
7024,18,,,,1,,7026,
2804,6,,,,1,,130017,
42001,18,,,,1,,990006,
