TimeId,Value,NormalRewardsDropId,MemberRewardsDropId
2020_2,5,120990101,220990101
2020_2,10,120990102,220990102
2020_2,15,120990103,220990103
2020_2,20,120990104,220990104
2020_2,25,120990105,220990105
2020_2,30,120990106,220990106
2020_2,35,120990107,220990107
2020_2,40,120990108,220990108
2020_2,45,120990109,220990109
2020_2,50,120990110,220990110
2020_2,55,120990111,220990111
2020_2,60,120990112,220990112
2020_2,65,120990113,220990113
2020_2,70,120990114,220990114
2020_2,75,120990115,220990115
2020_2,80,120990116,220990116
2020_2,85,120990117,220990117
2020_2,90,120990118,220990118
2020_2,95,120990119,220990119
2020_2,100,120990120,220990120
2020_3,5,120990101,220990101
2020_3,10,120990102,220990102
2020_3,15,120990103,220990103
2020_3,20,120990104,220990104
2020_3,25,120990105,220990105
2020_3,30,120990106,220990106
2020_3,35,120990107,220990107
2020_3,40,120990108,220990108
2020_3,45,120990109,220990109
2020_3,50,120990110,220990110
2020_3,55,120990111,220990111
2020_3,60,120990112,220990112
2020_3,65,120990113,220990113
2020_3,70,120990114,220990114
2020_3,75,120990115,220990115
2020_3,80,120990116,220990116
2020_3,85,120990117,220990117
2020_3,90,120990118,220990118
2020_3,95,120990119,220990119
2020_3,100,120990120,220990120
2020_4,5,120990101,220990101
2020_4,10,120990102,220990102
2020_4,15,120990103,220990103
2020_4,20,120990104,220990104
2020_4,25,120990105,220990105
2020_4,30,120990106,220990106
2020_4,35,120990107,220990107
2020_4,40,120990108,220990108
2020_4,45,120990109,220990109
2020_4,50,120990110,220990110
2020_4,55,120990111,220990111
2020_4,60,120990112,220990112
2020_4,65,120990113,220990113
2020_4,70,120990114,220990114
2020_4,75,120990115,220990115
2020_4,80,120990116,220990116
2020_4,85,120990117,220990117
2020_4,90,120990118,220990118
2020_4,95,120990119,220990119
2020_4,100,120990120,220990120
2020_5,5,120990101,220990101
2020_5,10,120990102,220990102
2020_5,15,120990103,220990103
2020_5,20,120990104,220990104
2020_5,25,120990105,220990105
2020_5,30,120990106,220990106
2020_5,35,120990107,220990107
2020_5,40,120990108,220990108
2020_5,45,120990109,220990109
2020_5,50,120990110,220990110
2020_5,55,120990111,220990111
2020_5,60,120990112,220990112
2020_5,65,120990113,220990113
2020_5,70,120990114,220990114
2020_5,75,120990115,220990115
2020_5,80,120990116,220990116
2020_5,85,120990117,220990117
2020_5,90,120990118,220990118
2020_5,95,120990119,220990119
2020_5,100,120990120,220990120
2020_6,5,120990101,220990101
2020_6,10,120990102,220990102
2020_6,15,120990103,220990103
2020_6,20,120990104,220990104
