ID,Title,NAME,Description,Definition,DefinitionIcon,Range,Difficulty,AttackDamage,Constitution,SkillDamage,MODEL_NAME,MODEL_NAME_Lobby,NudeModel,MixAnimationType,TYPE,Icon,Icon2,Icon3,DefaultSkinIcon,Height,ATTRIBUTE_ID,NormalSkills,Skills,Runes,Equipments,FightValueRate,TrainingItemID,TrainingItemCount,SexTrainingItemID,SexTrainingItemCount,SexTrainingTips,TrainingTips,TrainingAnimationID,Score,GiftDialog,VersionControl
1,T_CHARACTER_Title_1,T_CHARACTER_NAME_1,,2,Icon/Item/ability/Icon_Tank,T_CHARACTER_Range_1,1,3,9,3,Player/R18_P03_01,,,,2,Icon/Icon01_Head/Icon01_Head_S_P03,Icon/Icon01_Head/Icon01_Head_M_P03,Icon/Icon01_Head/Icon01_Head_B_P03,,3.5,30098,3001-3002-3003,3004-3005,,,,,,,,,,,,,
2,T_CHARACTER_Title_1,T_CHARACTER_NAME_1,,2,Icon/Item/ability/Icon_Tank,T_CHARACTER_Range_1,1,3,9,3,Player/R18_P03_01,,,,2,Icon/Icon01_Head/Icon01_Head_S_P03,Icon/Icon01_Head/Icon01_Head_M_P03,Icon/Icon01_Head/Icon01_Head_B_P03,,3.5,30099,3001-3002-3003,3004-3005,,,,,,,,,,,,,
1001,T_CHARACTER_Title_1001,T_CHARACTER_NAME_1001,T_CHARACTER_Description_1001,1,Icon/Item/ability/Icon_Damage,T_CHARACTER_Range_1,3,4,2,6,Player/R18_P01_01,Player/R18_P01_01_Lobby,Player/R18_P01_00_Lobby,,3,Icon/Icon01_Head/Icon01_Head_S_P01,Icon/Icon01_Head/Icon01_Head_M_P01,Icon/Icon01_Head/Icon01_Head_B_P01,Icon/Icon06_SkinCard/Icon06_SkinCard_01_P01,3.3,101,1001-1002-1003,1004-1005,100000-100001-100002-100003-100004-100005-100006-100007-150001-150002-100013-100014-100015-100016-150023-100017-100018-100019-150028-151001,161001-160016-160013-160010-160001-160004-160007,2.7-0.5-5,350003,3,350004,3,T_CHARACTER_SexTrainingTips_1001,T_CHARACTER_TrainingTips_1001,300001,,100101-100102,
2001,T_CHARACTER_Title_2001,T_CHARACTER_NAME_2001,T_CHARACTER_Description_2001,3,Icon/Item/ability/Icon_Support,T_CHARACTER_Range_1,5,4,8,4,Player/R18_P02_01,Player/R18_P02_01_Lobby,Player/R18_P02_00_Lobby,,3,Icon/Icon01_Head/Icon01_Head_S_P02,Icon/Icon01_Head/Icon01_Head_M_P02,Icon/Icon01_Head/Icon01_Head_B_P02,Icon/Icon06_SkinCard/Icon06_SkinCard_01_P02,3.5,201,2001-2002-2003,2004-2005,100000-100001-100002-100003-100004-100005-100006-100007-150005-150006-100013-100014-100015-100016-100017-100018-100019-150040-150030-151008,161002-160018-160015-160012-160003-160006-160009,2.5-0.5-5,350001,3,350004,3,T_CHARACTER_SexTrainingTips_1001,T_CHARACTER_TrainingTips_2001,,,200101-200102,351-56
3001,T_CHARACTER_Title_1,T_CHARACTER_NAME_3001,T_CHARACTER_Description_3001,2,Icon/Item/ability/Icon_Tank,T_CHARACTER_Range_1,1,3,8,3,Player/R18_P03_01,Player/R18_P03_01_Lobby,Player/R18_P03_00_Lobby,,3,Icon/Icon01_Head/Icon01_Head_S_P03,Icon/Icon01_Head/Icon01_Head_M_P03,Icon/Icon01_Head/Icon01_Head_B_P03,Icon/Icon06_SkinCard/Icon06_SkinCard_01_P03,3.5,301,3001-3002-3003,3004-3005,100000-100001-100002-100003-100004-100005-100006-100007-150007-150008-100013-100014-100015-100016-100017-100018-100019-150041-150031-151004,161003-160017-160014-160011-160002-160005-160008,2.5-0.4-4.5,350002,3,350004,3,T_CHARACTER_SexTrainingTips_1001,T_CHARACTER_TrainingTips_3001,,,300101-300102,56
4001,T_CHARACTER_Title_1001,T_CHARACTER_NAME_4001,T_CHARACTER_Description_4001,1,Icon/Item/ability/Icon_Damage,T_CHARACTER_Range_1,7,3,2,9,Player/R18_P04_01,Player/R18_P04_01_Lobby,Player/R18_P04_00_Lobby,,3,Icon/Icon01_Head/Icon01_Head_S_P04,Icon/Icon01_Head/Icon01_Head_M_P04,Icon/Icon01_Head/Icon01_Head_B_P04,Icon/Icon06_SkinCard/Icon06_SkinCard_01_P04,3.3,401,4001-4002-4003,4004-4005,100000-100001-100002-100003-100004-100005-100006-100007-150009-150010-100013-100014-100015-100016-100017-100018-100019-150042-150032-151005,161004-160016-160013-160010-160001-160004-160007,2.7-0.5-5,350002,3,350004,3,T_CHARACTER_SexTrainingTips_1001,T_CHARACTER_TrainingTips_3001,,,400101-400102,56
5001,T_CHARACTER_Title_2001,T_CHARACTER_NAME_5001,T_CHARACTER_Description_5001,3,Icon/Item/ability/Icon_Support,T_CHARACTER_Range_1,3,3,5,4,Player/R18_P05_01,Player/R18_P05_01_Lobby,Player/R18_P05_00_Lobby,,3,Icon/Icon01_Head/Icon01_Head_S_P05,Icon/Icon01_Head/Icon01_Head_M_P05,Icon/Icon01_Head/Icon01_Head_B_P05,Icon/Icon06_SkinCard/Icon06_SkinCard_01_P05,3.5,501,5001-5002-5003,5004-5005,100000-100001-100002-100003-100004-100005-100006-100007-150003-150004-100013-100014-100015-100016-150024-100017-100018-100019-150029-151002,161005-160018-160015-160012-160003-160006-160009,2.5-0.5-4.2,350003,3,350004,3,T_CHARACTER_SexTrainingTips_1001,T_CHARACTER_TrainingTips_1001,,,500101-500102,
6001,T_CHARACTER_Title_2001,T_CHARACTER_NAME_6001,T_CHARACTER_Description_6001,3,Icon/Item/ability/Icon_Support,T_CHARACTER_Range_1,5,6,5,3,Player/R18_P06_01,Player/R18_P06_01_Lobby,Player/R18_P06_00_Lobby,,3,Icon/Icon01_Head/Icon01_Head_S_P06,Icon/Icon01_Head/Icon01_Head_M_P06,Icon/Icon01_Head/Icon01_Head_B_P06,Icon/Icon06_SkinCard/Icon06_SkinCard_01_P06,3.5,601,6001-6002-6003,6004-6005,100000-100001-100002-100003-100004-100005-100006-100007-150015-150016-100013-100014-100015-100016-100017-100018-100019-150043-150035-151007,161006-160018-160015-160012-160003-160006-160009,2.5-0.5-5.5,350002,3,350004,3,T_CHARACTER_SexTrainingTips_1001,T_CHARACTER_TrainingTips_3001,,,600101-600102,56
7001,T_CHARACTER_Title_1,T_CHARACTER_NAME_7001,T_CHARACTER_Description_7001,2,Icon/Item/ability/Icon_Tank,T_CHARACTER_Range_1,5,2,6,4,Player/R18_P07_01,Player/R18_P07_01_Lobby,Player/R18_P07_00_Lobby,,3,Icon/Icon01_Head/Icon01_Head_S_P07,Icon/Icon01_Head/Icon01_Head_M_P07,Icon/Icon01_Head/Icon01_Head_B_P07,Icon/Icon06_SkinCard/Icon06_SkinCard_01_P07,3.5,701,7001-7002-7003,7004-7005,100000-100001-100002-100003-100004-100005-100006-100007-150013-150014-100013-100014-100015-100016-150025-100017-100018-100019-150034-151003,161007-160017-160014-160011-160002-160005-160008,2.5-0.5-5,350003,3,350004,3,T_CHARACTER_SexTrainingTips_1001,T_CHARACTER_TrainingTips_1001,,,700101-700102,
8001,T_CHARACTER_Title_2001,T_CHARACTER_NAME_8001,T_CHARACTER_Description_8001,3,Icon/Item/ability/Icon_Support,T_CHARACTER_Range_1,3,3,5,6,Player/R18_P08_01,Player/R18_P08_01_Lobby,Player/R18_P08_00_Lobby,,3,Icon/Icon01_Head/Icon01_Head_S_P08,Icon/Icon01_Head/Icon01_Head_M_P08,Icon/Icon01_Head/Icon01_Head_B_P08,Icon/Icon06_SkinCard/Icon06_SkinCard_01_P08,3.5,801,8001-8002-8003,8004-8005,100000-100001-100002-100003-100004-100005-100006-100007-150011-150012-100013-100014-100015-100016-100017-100018-100019-150044-150033-151006,161008-160018-160015-160012-160003-160006-160009,2.7-0.5-5,350002,3,350004,3,T_CHARACTER_SexTrainingTips_1001,T_CHARACTER_TrainingTips_3001,,,800101-800102,56
