ID,Type,RoleID,CheerID,ItemID,StoryID,UnlockValue,StoryIcon,StaticImageTitle,StaticImage,DynamicPrefabs,DynamicPrefabs_SFW,GotoWhere,GetDescription,ATTRIBUTE_ID,VersionControls
1001,1,1001,,1001,,,,,,,,,,140003,
2001,1,2001,,2001,,,,,,,,1,T_CollectionBook_GetDescription_2001,140010,351-56
3001,1,3001,,3001,,,,,,,,1,T_CollectionBook_GetDescription_2001,140008,56
4001,1,4001,,4001,,,,,,,,1,T_CollectionBook_GetDescription_2001,140014,56
5001,1,5001,,5001,,,,,,,,,T_CollectionBook_GetDescription_5001,140003,
6001,1,6001,,6001,,,,,,,,1,T_CollectionBook_GetDescription_2001,140008,56
7001,1,7001,,7001,,,,,,,,,T_CollectionBook_GetDescription_5001,140003,
8001,1,8001,,8001,,,,,,,,1,T_CollectionBook_GetDescription_2001,140014,56
9001,1,9001,,9001,,,,,,,,1,T_CollectionBook_GetDescription_2001,140016,352-56
10001,1,10001,,10001,,,,,,,,1,T_CollectionBook_GetDescription_2001,140010,353-56
11001,1,11001,,11001,,,,,,,,1,T_CollectionBook_GetDescription_2001,140010,354-56
12001,1,12001,,12001,,,,,,,,1,T_CollectionBook_GetDescription_2001,140016,355-56
13001,1,13001,,13001,,,,,,,,1,T_CollectionBook_GetDescription_2001,140016,356-56
14001,1,14001,,14001,,,,,,,,1,T_CollectionBook_GetDescription_2001,140010,357-56
15001,1,15001,,15001,,,,,,,,1,T_CollectionBook_GetDescription_2001,140016,358-56
16001,1,16001,,16001,,,,,,,,1,T_CollectionBook_GetDescription_2001,140016,359-56
17001,1,17001,,17001,,,,,,,,1,T_CollectionBook_GetDescription_2001,140016,360-56
18001,1,18001,,18001,,,,,,,,1,T_CollectionBook_GetDescription_2001,140010,361-56
19001,1,19001,,19001,,,,,,,,1,T_CollectionBook_GetDescription_2001,140016,362-56
20001,1,20001,,20001,,,,,,,,1,T_CollectionBook_GetDescription_2001,140016,363-56
21001,1,21001,,21001,,,,,,,,1,T_CollectionBook_GetDescription_2001,140010,364-56
22001,1,22001,,22001,,,,,,,,1,T_CollectionBook_GetDescription_2001,140010,365-56
90001,1,90001,,90001,,,,,,,,1,T_CollectionBook_GetDescription_2001,140016,366-56
91001,1,91001,,91001,,,,,,,,1,T_CollectionBook_GetDescription_2001,140010,367-56
23001,1,23001,,23001,,,,,,,,1,T_CollectionBook_GetDescription_2001,140016,368-56
24001,1,24001,,24001,,,,,,,,1,T_CollectionBook_GetDescription_2001,140010,369-56
25001,1,25001,,25001,,,,,,,,1,T_CollectionBook_GetDescription_2001,140010,370-56
26001,1,26001,,26001,,,,,,,,1,T_CollectionBook_GetDescription_2001,140016,371-56
27001,1,27001,,27001,,,,,,,,1,T_CollectionBook_GetDescription_2001,140016,372-56
28001,1,28001,,28001,,,,,,,,1,T_CollectionBook_GetDescription_2001,140016,373-56
29001,1,29001,,29001,,,,,,,,1,T_CollectionBook_GetDescription_2001,140016,374-56
30001,1,30001,,30001,,,,,,,,1,T_CollectionBook_GetDescription_2001,140016,375-56
31001,1,31001,,31001,,,,,,,,1,T_CollectionBook_GetDescription_2001,140016,376-56
32001,1,32001,,32001,,,,,,,,1,T_CollectionBook_GetDescription_2001,140016,377-56
33001,1,33001,,33001,,,,,,,,1,T_CollectionBook_GetDescription_2001,140010,378-56
34001,1,34001,,34001,,,,,,,,1,T_CollectionBook_GetDescription_2001,140016,379-56
35001,1,35001,,35001,,,,,,,,1,T_CollectionBook_GetDescription_2001,140016,380-56
36001,1,36001,,36001,,,,,,,,1,T_CollectionBook_GetDescription_2001,140016,381-56
37001,1,37001,,37001,,,,,,,,1,T_CollectionBook_GetDescription_2001,140016,382-56
38001,1,38001,,38001,,,,,,,,1,T_CollectionBook_GetDescription_2001,140010,383-56
39001,1,39001,,39001,,,,,,,,1,T_CollectionBook_GetDescription_2001,140016,384-56
10040001,1,10040001,,10040001,,,,,,,,1,T_CollectionBook_GetDescription_2001,140010,385-56
10041001,1,10041001,,10041001,,,,,,,,1,T_CollectionBook_GetDescription_2001,140016,386-56
10042001,1,10042001,,10042001,,,,,,,,1,T_CollectionBook_GetDescription_2001,140016,387-56
FE0011,8,,FE001,,,10,Icon/Icon10_ElvHead/Icon01_Head_M_E017,T_CollectionBook_StaticImageTitle_FE0011,,,,,T_CollectionBook_GetDescription_FE0011,140014,62
FE0012,8,,FE001,,,15,Icon/Icon10_ElvHead/Icon01_Head_M_E017,T_CollectionBook_StaticImageTitle_FE0012,,,,,T_CollectionBook_GetDescription_FE0012,140016,62
FE0021,8,,FE002,,,10,Icon/Icon10_ElvHead/Icon01_Head_M_E003,T_CollectionBook_StaticImageTitle_FE0021,,,,,T_CollectionBook_GetDescription_FE0021,140008,62
FE0022,8,,FE002,,,15,Icon/Icon10_ElvHead/Icon01_Head_M_E003,T_CollectionBook_StaticImageTitle_FE0022,,,,,T_CollectionBook_GetDescription_FE0022,140010,62
FE0031,8,,FE003,,,10,Icon/Icon10_ElvHead/Icon01_Head_M_E000,T_CollectionBook_StaticImageTitle_FE0031,,,,,T_CollectionBook_GetDescription_FE0031,140008,62
FE0032,8,,FE003,,,15,Icon/Icon10_ElvHead/Icon01_Head_M_E000,T_CollectionBook_StaticImageTitle_FE0032,,,,,T_CollectionBook_GetDescription_FE0032,140010,62
FE0041,8,,FE004,,,10,Icon/Icon10_ElvHead/Icon01_Head_M_E002,T_CollectionBook_StaticImageTitle_FE0041,,,,,T_CollectionBook_GetDescription_FE0041,140008,62
FE0042,8,,FE004,,,15,Icon/Icon10_ElvHead/Icon01_Head_M_E002,T_CollectionBook_StaticImageTitle_FE0042,,,,,T_CollectionBook_GetDescription_FE0042,140010,62
FE0051,8,,FE005,,,10,Icon/Icon10_ElvHead/Icon01_Head_M_E001,T_CollectionBook_StaticImageTitle_FE0051,,,,,T_CollectionBook_GetDescription_FE0051,140014,62
FE0052,8,,FE005,,,15,Icon/Icon10_ElvHead/Icon01_Head_M_E001,T_CollectionBook_StaticImageTitle_FE0052,,,,,T_CollectionBook_GetDescription_FE0052,140016,62
FE0061,8,,FE006,,,10,Icon/Icon10_ElvHead/Icon01_Head_M_E008,T_CollectionBook_StaticImageTitle_FE0061,,,,,T_CollectionBook_GetDescription_FE0061,140008,62-1001
FE0062,8,,FE006,,,15,Icon/Icon10_ElvHead/Icon01_Head_M_E008,T_CollectionBook_StaticImageTitle_FE0062,,,,,T_CollectionBook_GetDescription_FE0062,140010,62-1001
FE0071,8,,FE007,,,10,Icon/Icon10_ElvHead/Icon01_Head_M_E010,T_CollectionBook_StaticImageTitle_FE0071,,,,,T_CollectionBook_GetDescription_FE0071,140008,62-1002
FE0072,8,,FE007,,,15,Icon/Icon10_ElvHead/Icon01_Head_M_E010,T_CollectionBook_StaticImageTitle_FE0072,,,,,T_CollectionBook_GetDescription_FE0072,140010,62-1002
FE0081,8,,FE008,,,10,Icon/Icon10_ElvHead/Icon01_Head_M_E011,T_CollectionBook_StaticImageTitle_FE0081,,,,,T_CollectionBook_GetDescription_FE0081,140014,62-1003
FE0082,8,,FE008,,,15,Icon/Icon10_ElvHead/Icon01_Head_M_E011,T_CollectionBook_StaticImageTitle_FE0082,,,,,T_CollectionBook_GetDescription_FE0082,140016,62-1003
FE0091,8,,FE009,,,10,Icon/Icon10_ElvHead/Icon01_Head_M_E016,T_CollectionBook_StaticImageTitle_FE0091,,,,,T_CollectionBook_GetDescription_FE0091,140008,62-1004
FE0092,8,,FE009,,,15,Icon/Icon10_ElvHead/Icon01_Head_M_E016,T_CollectionBook_StaticImageTitle_FE0092,,,,,T_CollectionBook_GetDescription_FE0092,140010,62-1004
FE0101,8,,FE010,,,10,Icon/Icon10_ElvHead/Icon01_Head_M_E004,T_CollectionBook_StaticImageTitle_FE0101,,,,,T_CollectionBook_GetDescription_FE0101,140008,62-1005
FE0102,8,,FE010,,,15,Icon/Icon10_ElvHead/Icon01_Head_M_E004,T_CollectionBook_StaticImageTitle_FE0102,,,,,T_CollectionBook_GetDescription_FE0102,140010,62-1005
FE0111,8,,FE011,,,10,Icon/Icon10_ElvHead/Icon01_Head_M_E009,T_CollectionBook_StaticImageTitle_FE0111,,,,,T_CollectionBook_GetDescription_FE0111,140008,62-1006
FE0112,8,,FE011,,,15,Icon/Icon10_ElvHead/Icon01_Head_M_E009,T_CollectionBook_StaticImageTitle_FE0112,,,,,T_CollectionBook_GetDescription_FE0112,140010,62-1006
FE0121,8,,FE012,,,10,Icon/Icon10_ElvHead/Icon01_Head_M_E015,T_CollectionBook_StaticImageTitle_FE0121,,,,,T_CollectionBook_GetDescription_FE0121,140008,62-1007
FE0122,8,,FE012,,,15,Icon/Icon10_ElvHead/Icon01_Head_M_E015,T_CollectionBook_StaticImageTitle_FE0122,,,,,T_CollectionBook_GetDescription_FE0122,140010,62-1007
FE0131,8,,FE013,,,10,Icon/Icon10_ElvHead/Icon01_Head_M_E014,T_CollectionBook_StaticImageTitle_FE0131,,,,,T_CollectionBook_GetDescription_FE0131,140008,62-1008
FE0133,8,,FE013,,,15,Icon/Icon10_ElvHead/Icon01_Head_M_E014,T_CollectionBook_StaticImageTitle_FE0133,,,,,T_CollectionBook_GetDescription_FE0133,140010,62-1008
FE0141,8,,FE014,,,10,Icon/Icon10_ElvHead/Icon01_Head_M_E007,T_CollectionBook_StaticImageTitle_FE0141,,,,,T_CollectionBook_GetDescription_FE0141,140008,62-1009
FE0142,8,,FE014,,,15,Icon/Icon10_ElvHead/Icon01_Head_M_E007,T_CollectionBook_StaticImageTitle_FE0142,,,,,T_CollectionBook_GetDescription_FE0142,140010,62-1009
FE0151,8,,FE015,,,10,Icon/Icon10_ElvHead/Icon01_Head_M_E013,T_CollectionBook_StaticImageTitle_FE0151,,,,,T_CollectionBook_GetDescription_FE0151,140008,62-1010
FE0152,8,,FE015,,,15,Icon/Icon10_ElvHead/Icon01_Head_M_E013,T_CollectionBook_StaticImageTitle_FE0152,,,,,T_CollectionBook_GetDescription_FE0152,140010,62-1010
FE0161,8,,FE016,,,10,Icon/Icon10_ElvHead/Icon01_Head_M_E012,T_CollectionBook_StaticImageTitle_FE0161,,,,,T_CollectionBook_GetDescription_FE0161,140008,62-1011
FE0162,8,,FE016,,,15,Icon/Icon10_ElvHead/Icon01_Head_M_E012,T_CollectionBook_StaticImageTitle_FE0162,,,,,T_CollectionBook_GetDescription_FE0162,140010,62-1011
S3,2,1001,,,3,,Icon/Icon01_Head/Icon01_Head_S_P01,,,,,,T_CollectionBook_GetDescription_S3,140012,55-56-58
S6,2,1001,,,6,,Icon/Icon01_Head/Icon01_Head_S_P01,,,,,,T_CollectionBook_GetDescription_S6,140013,55-56-58
S68,2,1001,,,68,,Icon/Icon01_Head/Icon01_Head_S_P01,,,,,,T_CollectionBook_GetDescription_S68,140014,55-56-58
S9,2,2001,,,9,,Icon/Icon01_Head/Icon01_Head_S_P02,,,,,,T_CollectionBook_GetDescription_S9,140009,55-56-58
S12,2,2001,,,12,,Icon/Icon01_Head/Icon01_Head_S_P02,,,,,,T_CollectionBook_GetDescription_S12,140010,55-56-58
S73,2,2001,,,73,,Icon/Icon01_Head/Icon01_Head_S_P02,,,,,,T_CollectionBook_GetDescription_S73,140019,606-55-56-58
S15,2,3001,,,15,,Icon/Icon01_Head/Icon01_Head_S_P03,,,,,,T_CollectionBook_GetDescription_S15,140007,55-56-58
S18,2,3001,,,18,,Icon/Icon01_Head/Icon01_Head_S_P03,,,,,,T_CollectionBook_GetDescription_S18,140008,55-56-58
S67,2,3001,,,67,,Icon/Icon01_Head/Icon01_Head_S_P03,,,,,,T_CollectionBook_GetDescription_S67,140009,601-55-56-58
S21,2,4001,,,21,,Icon/Icon01_Head/Icon01_Head_S_P04,,,,,,T_CollectionBook_GetDescription_S21,140013,55-56-58
S24,2,4001,,,24,,Icon/Icon01_Head/Icon01_Head_S_P04,,,,,,T_CollectionBook_GetDescription_S24,140014,55-56-58
S74,2,4001,,,74,,Icon/Icon01_Head/Icon01_Head_S_P04,,,,,,T_CollectionBook_GetDescription_S74,140015,607-55-56-58
S27,2,5001,,,27,,Icon/Icon01_Head/Icon01_Head_S_P05,,,,,,T_CollectionBook_GetDescription_S27,140006,55-56-58
S30,2,5001,,,30,,Icon/Icon01_Head/Icon01_Head_S_P05,,,,,,T_CollectionBook_GetDescription_S30,140007,55-56-58
S69,2,5001,,,69,,Icon/Icon01_Head/Icon01_Head_S_P05,,,,,,T_CollectionBook_GetDescription_S69,140008,602-55-56-58
S33,2,6001,,,33,,Icon/Icon01_Head/Icon01_Head_S_P06,,,,,,T_CollectionBook_GetDescription_S33,140007,55-56-58
S36,2,6001,,,36,,Icon/Icon01_Head/Icon01_Head_S_P06,,,,,,T_CollectionBook_GetDescription_S36,140008,55-56-58
