ID,CheckHP,CheckAtk,CheckDef,CheckWeight,CheckSpeed,CheckIAS,CheckCRT,CheckMLT,CheckMDK,CheckMFE,CheckMWR,CheckMTR,CheckRLT,CheckRDK,CheckRFE,CheckRWR,CheckRTR,CheckBlood,CheckSkillUp,CheckBounsSkill
1,V,,,,,,,,,,,,,,,,,,,
2,V,,V,,,,,,,,,,,,,,,,,
3,,,V,,,,,,,,,,,,,,,,,
4,,,,,,V,,,,,,,,,,,,,,
5,,,V,,,V,,,,,,,,,,,,,,
6,,,V,,,,,,,,,,,,,,,,,
7,,,V,,,,,,,,,,,,,,,,,
8,,,V,,V,,,,,,,,,,,,,,,
9,,,,,V,,,,,,,,,,,,,,,
10,V,,,,,,,,,,,,,,,,,,,
11,,V,,,,,,,,,,,,,,,,,,
12,,,,,,V,,,,,,,,,,,,,,
13,V,V,,,,,,,,,,,,,,,,,,
14,V,,,,,V,,,,,,,,,,,,,,
15,,V,,,,V,,,,,,,,,,,,,,
16,,,,,,,,V,,,,,,,,,,,,
17,,,,,,,,,V,,,,,,,,,,,
18,,,,,,,,,,V,,,,,,,,,,
19,,,,,,,,,,,V,,,,,,,,,
20,,,,,,,,,,,,V,,,,,,,,
21,,,,,,,,V,V,,,,,,,,,,,
22,,,,,,,,V,,V,,,,,,,,,,
23,,,,,,,,V,,,V,,,,,,,,,
24,,,,,,,,V,,,,V,,,,,,,,
25,,,,,,,,,V,V,,,,,,,,,,
26,,,,,,,,,V,,V,,,,,,,,,
27,,,,,,,,,V,,,V,,,,,,,,
28,,,,,,,,,,V,V,,,,,,,,,
29,,,,,,,,,,V,,V,,,,,,,,
30,,,,,,,,,,,V,V,,,,,,,,
31,,,,,,,,,,,,,V,,,,,,,
32,,,,,,,,,,,,,,V,,,,,,
33,,,,,,,,,,,,,,,V,,,,,
34,,,,,,,,,,,,,,,,V,,,,
35,,,,,,,,,,,,,,,,,V,,,
36,,,,,,,,,,,,,V,V,,,,,,
37,,,,,,,,,,,,,V,,V,,,,,
38,,,,,,,,,,,,,V,,,V,,,,
39,,,,,,,,,,,,,V,,,,V,,,
40,,,,,,,,,,,,,,V,V,,,,,
41,,,,,,,,,,,,,,V,,V,,,,
42,,,,,,,,,,,,,,V,,,V,,,
43,,,,,,,,,,,,,,,V,V,,,,
44,,,,,,,,,,,,,,,V,,V,,,
45,,,,,,,,,,,,,,,,V,V,,,
46,V,,V,,,,,,,,,,,,,,,,,
47,V,,,,,,,,,,,,V,,,,,,,
48,V,,,,,,,,,,,,,V,,,,,,
49,,,V,,,,,,,,,,V,,,,,,,
50,,,V,,,,,,,,,,,V,,,,,,
