ID,ShowID,Highlight,Role1,RoleMotion1,RoleScale1,RoleColor1,RoleEffects1,Role2,RoleMotion2,RoleScale2,RoleColor2,RoleEffects2,Role3,RoleMotion3,RoleScale3,RoleColor3,RoleEffects3,Sound,Music,DialogImagePerfab,ShowType,Speaker,Dialog,CantSkip,DialogType
P001_1_1,P001_1,,P002_000_Sad,,,#FFFFFFFF,,,,,,,,,,,,player/Player/R18_P02_01/P002_general_06,BGM03,Icon/Images01_BG/S001,,T_Dialog_Speaker_P001_1_1,T_Dialog_Dialog_P001_1_1,,
P001_1_2,,,,,,#8e8e8eFF,,P006_000_Normal,,,#FFFFFFFF,,,,,,,,,,,T_Dialog_Speaker_P001_1_2,T_Dialog_Dialog_P001_1_2,,
P001_1_3,,,no,,,,,no,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_3,T_Dialog_Dialog_P001_1_3,,
P001_1_4,,,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_3,T_Dialog_Dialog_P001_1_4,,
P001_1_5,,,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P001_1_5,,
P001_1_6,,,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P001_1_6,,
P001_1_7,,,P002_000_Sad,,,#FFFFFFFF,,,,,,,,,,,,player/Player/R18_P02_01/P002_Dead_01,,,,T_Dialog_Speaker_P001_1_1,T_Dialog_Dialog_P001_1_7,,
P001_1_8,,,,,,#8e8e8eFF,,P006_000_Normal,,,#FFFFFFFF,,,,,,,player/Player/R18_P06_01/P006_Gift_02,,,,T_Dialog_Speaker_P001_1_2,T_Dialog_Dialog_P001_1_8,,
P001_1_9,,,,,,,,,,,#8e8e8eFF,,,,,,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P001_1_9,,
P001_1_10,,,P002_000_Sad,,,#FFFFFFFF,,,,,,,,,,,,player/Player/R18_P02_01/P002_Dead_01,,,,T_Dialog_Speaker_P001_1_1,T_Dialog_Dialog_P001_1_10,,
P001_1_11,,,,,,#8e8e8eFF,,P006_000_Laugh,,,#FFFFFFFF,,,,,,,player/Player/R18_P06_01/P006_general_04,,,,T_Dialog_Speaker_P001_1_2,T_Dialog_Dialog_P001_1_11,,
P001_1_12,,,no,,,,,no,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P001_1_12,,
P001_1_13,,,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_3,T_Dialog_Dialog_P001_1_13,,
P001_1_14,,,,,,,,,,,,,P001_000_Angry,,,#FFFFFFFF,,player/Player/R18_P01_01/P001_general_03,,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_1_14,,
P001_1_15,,,,,,,,,,,,,P006_000_Hate,,,,,,,,,T_Dialog_Speaker_P001_1_2,T_Dialog_Dialog_P001_1_15,,
P001_1_16,,,P001_000_Normal,,,#FFFFFFFF,,,,,,,no,,,,,player/Player/R18_P01_01/P001_general_02,,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_1_16,,
P001_1_17,,,,,,#8e8e8eFF,,P002_000_Laugh,,,#FFFFFFFF,,,,,,,player/Player/R18_P02_01/P002_general_04,,,,T_Dialog_Speaker_P001_1_1,T_Dialog_Dialog_P001_1_17,,
P001_1_18,,,no,,,,,no,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P001_1_18,,
P001_1_19,,,,,,,,,,,,,P006_000_Hate,,,#FFFFFFFF,,player/Player/R18_P06_01/P006_general_01,,,,T_Dialog_Speaker_P001_1_2,T_Dialog_Dialog_P001_1_19,,
P001_1_20,,,,,,,,,,,,,,,,#8e8e8eFF,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P001_1_20,,
P001_1_21,,,,,,,,,,,,,P006_000_Hate,,,#FFFFFFFF,,player/Player/R18_P06_01/P006_general_05,,,,T_Dialog_Speaker_P001_1_2,T_Dialog_Dialog_P001_1_21,,
P001_1_22,,,,,,,,,,,,,P001_000_Angry,,,,,player/Player/R18_P01_01/P001_general_03,,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_1_22,,
P001_1_23,,,,,,,,,,,,,P006_000_Hate,,,,,,,,,T_Dialog_Speaker_P001_1_2,T_Dialog_Dialog_P001_1_23,,
P001_1_24,,,,,,,,,,,,,,srightout,,,,,,,,T_Dialog_Speaker_P001_1_3,T_Dialog_Dialog_P001_1_24,,
P001_1_25,,,,,,,,,,,,,P001_000_Normal,normal,,#8e8e8eFF,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P001_1_25,,
P001_1_26,,,,,,,,,,,,,P001_000_Laugh,,,#FFFFFFFF,,player/Player/R18_P01_01/P001_general_06,,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_1_26,,
P001_1_27,,,,,,,,,,,,,,,,#8e8e8eFF,,,,,,T_Dialog_Speaker_P001_1_3,T_Dialog_Dialog_P001_1_27,,
P001_1_28,,,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P001_1_28,,
P001_1_29,,,,,,,,,,,,,P001_000_Normal,,,#FFFFFFFF,,player/Player/R18_P01_01/P001_MVP_01,,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_1_29,,
P001_1_30,,,,,,,,,,,,,,,,#8e8e8eFF,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P001_1_30,,
P001_1_31,,,,,,,,,,,,,,,,#FFFFFFFF,,player/Player/R18_P01_01/P001_general_02,,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_1_31,,
P001_1_32,,,,,,,,,,,,,,,,#8e8e8eFF,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P001_1_32,,
P001_1_33,,,,,,,,,,,,,P001_000_Shy,,,#FFFFFFFF,,,,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_1_33,,
P001_1_34,,,,,,,,,,,,,,,,#8e8e8eFF,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P001_1_34,,
P001_1_35,,,,,,,,,,,,,P001_000_Laugh,,,#FFFFFFFF,,player/Player/R18_P01_01/P001_general_04,,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_1_35,,
P001_2_1,P001_2,,,,,,,,,,,,,,,,,,BGM01,Icon/Images01_BG/S003,,T_Dialog_Speaker_P001_1_3,T_Dialog_Dialog_P001_2_1,,
P001_2_2,,,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_3,T_Dialog_Dialog_P001_2_2,,
P001_2_3,,,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P001_2_3,,
P001_2_4,,,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_2_4,T_Dialog_Dialog_P001_2_4,,
P001_2_5,,,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P001_2_5,,
P001_2_6,,,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_2_4,T_Dialog_Dialog_P001_2_6,,
P001_2_7,,,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P001_2_7,,
P001_2_8,,,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_2_4,T_Dialog_Dialog_P001_2_8,,
P001_2_9,,,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P001_2_9,,
P001_2_10,,,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_2_4,T_Dialog_Dialog_P001_2_10,,
P001_2_11,,,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P001_2_11,,
P001_2_12,,,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_2_4,T_Dialog_Dialog_P001_2_12,,
P001_2_13,,,,,,,,,,,,,,,,,,,BGM04,Icon/Images01_BG/S007,,T_Dialog_Speaker_P001_1_3,T_Dialog_Dialog_P001_2_13,,
P001_2_14,,,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_3,T_Dialog_Dialog_P001_2_14,,
P001_2_15,,,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P001_2_15,,
P001_2_16,,,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_3,T_Dialog_Dialog_P001_2_16,,
