ID,ShowItems
1001,Purple
1002,Purple
1003,Purple
1004,Purple
1005,Purple
1006,Purple
1007,Purple
1008,Purple
1009,Purple
1010,Purple
1011,Purple
1012,Purple
1013,Purple
1014,Purple
1015,Purple
1016,Purple
1017,Purple
1018,Purple
1019,Purple
1020,Purple
1021,Purple
1022,Purple
1023,Purple
1024,Purple
1025,Purple
1026,Purple
1027,Purple
1028,Purple
1029,Purple
1030,Purple
1031,Purple
1032,Purple
1033,Purple
1034,Purple
1035,Purple
1036,Purple
1037,Purple
1038,Purple
1039,Purple
1040,Purple
1041,Purple
1042,Purple
1043,Purple
1044,Purple
1045,Purple
1046,Purple
1047,Purple
1048,Purple
1049,Purple
1050,Purple
1051,Purple
1052,Purple
1053,Purple
1054,Purple
1055,Purple
1056,Purple
1057,Purple
1058,Purple
1059,Purple
1060,Purple
1061,Purple
1062,Purple
1063,Purple
1064,Purple
1065,Purple
1066,Purple
1067,Purple
1068,Purple
1069,Purple
1070,Purple
1071,Purple
1072,Purple
5500,Purple
5601,Purple
5602,Purple
5603,Purple
5604,Purple
5605,Purple
5606,Purple
5607,Purple
5608,Purple
5609,Purple
5600,Purple
5651,Purple
5652,Purple
5653,Purple
5654,Purple
5655,Purple
5656,Purple
5657,Purple
5658,Purple
5659,Purple
9001,Money
9002,Money
9003,Money
9004,Money
9005,Money
9006,Money
9007,Money
9008,Money
9009,Money
9010,Money
9011,Money
9012,Money
9013,Money
9014,Money
9015,Money
9016,Money
9017,Money
9018,Money
9019,Money
9020,Money
9021,Money
9022,Money
9023,Money
9024,Money
9025,Money
9026,Money
9027,Money
9028,Money
4001,Purple
4002,Purple
4003,Purple
4004,Purple
4005,Purple
4006,Purple
4007,Purple
4008,Purple
4009,Purple
4010,Purple
4011,Purple
4012,Purple
4013,Purple
4014,Purple
4015,Purple
4016,Purple
4017,Purple
4018,Purple
4019,Purple
4020,Purple
4029,Purple
4030,Purple
4031,Purple
4032,Purple
4033,Purple
4034,Purple
4035,Purple
4036,Purple
4037,Purple
4038,Purple
4039,Purple
4040,Purple
4041,Purple
4042,Purple
4043,Purple
4044,Purple
4045,Purple
4046,Purple
4047,Purple
4048,Purple
