RuneID,Star,CostItemID,CostCount,CostMoney,AttributeID,SpecialAttributeID,SpecialAttributeTIP
160001,1,350009-350010-160001,200-50-1,1000,1600001,,T_EquipmentStar_SpecialAttributeTIP_160001
160001,2,350009-350010-160001,400-100-2,2000,1600002,1601001,T_RuneLevel_SpecialAttributeTIP_100000_5
160001,3,350009-350010-160001,600-150-2,3000,1600003,1601002,T_RuneLevel_SpecialAttributeTIP_100000_10
160001,4,350009-350010-160001,1000-250-3,5000,1600004,1601003,T_RuneLevel_SpecialAttributeTIP_150001_10
160001,5,,,,1600005,1601004,T_RuneLevel_SpecialAttributeTIP_150001_15
160002,1,350009-350011-160002,200-50-1,1000,1600001,,T_EquipmentStar_SpecialAttributeTIP_160001
160002,2,350009-350011-160002,400-100-2,2000,1600002,1601001,T_RuneLevel_SpecialAttributeTIP_100000_5
160002,3,350009-350011-160002,600-150-2,3000,1600003,1601002,T_RuneLevel_SpecialAttributeTIP_100000_10
160002,4,350009-350011-160002,1000-250-3,5000,1600004,1601003,T_RuneLevel_SpecialAttributeTIP_150001_10
160002,5,,,,1600005,1601004,T_RuneLevel_SpecialAttributeTIP_150001_15
160003,1,350009-350012-160003,200-50-1,1000,1600001,,T_EquipmentStar_SpecialAttributeTIP_160001
160003,2,350009-350012-160003,400-100-2,2000,1600002,1601001,T_RuneLevel_SpecialAttributeTIP_100000_5
160003,3,350009-350012-160003,600-150-2,3000,1600003,1601002,T_RuneLevel_SpecialAttributeTIP_100000_10
160003,4,350009-350012-160003,1000-250-3,5000,1600004,1601003,T_RuneLevel_SpecialAttributeTIP_150001_10
160003,5,,,,1600005,1601004,T_RuneLevel_SpecialAttributeTIP_150001_15
160004,1,350009-350010-160004,200-50-1,1000,1610001,,T_EquipmentStar_SpecialAttributeTIP_160001
160004,2,350009-350010-160004,400-100-2,2000,1610002,1611001,T_RuneLevel_SpecialAttributeTIP_100005_5
160004,3,350009-350010-160004,600-150-2,3000,1610003,1611002,T_RuneLevel_SpecialAttributeTIP_100005_10
160004,4,350009-350010-160004,1000-250-3,5000,1610004,1611003,T_EquipmentStar_SpecialAttributeTIP_160004_3
160004,5,,,,1610005,1611004,T_EquipmentStar_SpecialAttributeTIP_160004_4
160005,1,350009-350011-160005,200-50-1,1000,1610001,,T_EquipmentStar_SpecialAttributeTIP_160001
160005,2,350009-350011-160005,400-100-2,2000,1610002,1611001,T_RuneLevel_SpecialAttributeTIP_100005_5
160005,3,350009-350011-160005,600-150-2,3000,1610003,1611002,T_RuneLevel_SpecialAttributeTIP_100005_10
160005,4,350009-350011-160005,1000-250-3,5000,1610004,1611003,T_EquipmentStar_SpecialAttributeTIP_160004_3
160005,5,,,,1610005,1611004,T_EquipmentStar_SpecialAttributeTIP_160004_4
160006,1,350009-350012-160006,200-50-1,1000,1610001,,T_EquipmentStar_SpecialAttributeTIP_160001
160006,2,350009-350012-160006,400-100-2,2000,1610002,1611001,T_RuneLevel_SpecialAttributeTIP_100005_5
160006,3,350009-350012-160006,600-150-2,3000,1610003,1611002,T_RuneLevel_SpecialAttributeTIP_100005_10
160006,4,350009-350012-160006,1000-250-3,5000,1610004,1611003,T_EquipmentStar_SpecialAttributeTIP_160004_3
160006,5,,,,1610005,1611004,T_EquipmentStar_SpecialAttributeTIP_160004_4
160007,1,350009-350010-160007,200-50-1,1000,1620001,,T_EquipmentStar_SpecialAttributeTIP_160001
160007,2,350009-350010-160007,400-100-2,2000,1620002,1621001,T_RuneLevel_SpecialAttributeTIP_100014_1
160007,3,350009-350010-160007,600-150-2,3000,1620003,1621002,T_EquipmentStar_SpecialAttributeTIP_160007_2
160007,4,350009-350010-160007,1000-250-3,5000,1620004,1621003,T_EquipmentStar_SpecialAttributeTIP_160007_3
160007,5,,,,1620005,1621004,T_EquipmentStar_SpecialAttributeTIP_160007_4
160008,1,350009-350011-160008,200-50-1,1000,1620001,,T_EquipmentStar_SpecialAttributeTIP_160001
160008,2,350009-350011-160008,400-100-2,2000,1620002,1621001,T_RuneLevel_SpecialAttributeTIP_100014_1
160008,3,350009-350011-160008,600-150-2,3000,1620003,1621002,T_EquipmentStar_SpecialAttributeTIP_160007_2
160008,4,350009-350011-160008,1000-250-3,5000,1620004,1621003,T_EquipmentStar_SpecialAttributeTIP_160007_3
160008,5,,,,1620005,1621004,T_EquipmentStar_SpecialAttributeTIP_160007_4
160009,1,350009-350012-160009,200-50-1,1000,1620001,,T_EquipmentStar_SpecialAttributeTIP_160001
160009,2,350009-350012-160009,400-100-2,2000,1620002,1621001,T_RuneLevel_SpecialAttributeTIP_100014_1
160009,3,350009-350012-160009,600-150-2,3000,1620003,1621002,T_EquipmentStar_SpecialAttributeTIP_160007_2
160009,4,350009-350012-160009,1000-250-3,5000,1620004,1621003,T_EquipmentStar_SpecialAttributeTIP_160007_3
160009,5,,,,1620005,1621004,T_EquipmentStar_SpecialAttributeTIP_160007_4
160010,1,350009-350010-160010,450-110-1,3000,1640001,1641001,T_EquipmentStar_SpecialAttributeTIP_160010
160010,2,350009-350010-160010,900-230-2,6000,1640002,1641002,T_EquipmentStar_SpecialAttributeTIP_160010_1
160010,3,350009-350010-160010,1350-340-2,9000,1640003,1641003,T_EquipmentStar_SpecialAttributeTIP_160010_2
160010,4,,,,1640004,1641004,T_EquipmentStar_SpecialAttributeTIP_160010_3
160011,1,350009-350011-160011,450-110-1,3000,1640001,1641001,T_EquipmentStar_SpecialAttributeTIP_160010
160011,2,350009-350011-160011,900-230-2,6000,1640002,1641002,T_EquipmentStar_SpecialAttributeTIP_160010_1
160011,3,350009-350011-160011,1350-340-2,9000,1640003,1641003,T_EquipmentStar_SpecialAttributeTIP_160010_2
160011,4,,,,1640004,1641004,T_EquipmentStar_SpecialAttributeTIP_160010_3
160012,1,350009-350012-160012,450-110-1,3000,1640001,1641001,T_EquipmentStar_SpecialAttributeTIP_160010
160012,2,350009-350012-160012,900-230-2,6000,1640002,1641002,T_EquipmentStar_SpecialAttributeTIP_160010_1
160012,3,350009-350012-160012,1350-340-2,9000,1640003,1641003,T_EquipmentStar_SpecialAttributeTIP_160010_2
160012,4,,,,1640004,1641004,T_EquipmentStar_SpecialAttributeTIP_160010_3
160013,1,350009-350010-160013,450-110-1,3000,1640001,1641005,T_EquipmentStar_SpecialAttributeTIP_160013
160013,2,350009-350010-160013,900-230-2,6000,1640002,1641006,T_EquipmentStar_SpecialAttributeTIP_160013_1
160013,3,350009-350010-160013,1350-340-2,9000,1640003,1641007,T_EquipmentStar_SpecialAttributeTIP_160013_2
160013,4,,,,1640004,1641008,T_EquipmentStar_SpecialAttributeTIP_160013_3
160014,1,350009-350011-160014,450-110-1,3000,1640001,1641005,T_EquipmentStar_SpecialAttributeTIP_160013
160014,2,350009-350011-160014,900-230-2,6000,1640002,1641006,T_EquipmentStar_SpecialAttributeTIP_160013_1
160014,3,350009-350011-160014,1350-340-2,9000,1640003,1641007,T_EquipmentStar_SpecialAttributeTIP_160013_2
160014,4,,,,1640004,1641008,T_EquipmentStar_SpecialAttributeTIP_160013_3
160015,1,350009-350012-160015,450-110-1,3000,1640001,1641005,T_EquipmentStar_SpecialAttributeTIP_160013
160015,2,350009-350012-160015,900-230-2,6000,1640002,1641006,T_EquipmentStar_SpecialAttributeTIP_160013_1
160015,3,350009-350012-160015,1350-340-2,9000,1640003,1641007,T_EquipmentStar_SpecialAttributeTIP_160013_2
160015,4,,,,1640004,1641008,T_EquipmentStar_SpecialAttributeTIP_160013_3
160016,1,350009-350010-160016,450-110-1,3000,1640001,1641009,T_EquipmentStar_SpecialAttributeTIP_160016
160016,2,350009-350010-160016,900-230-2,6000,1640002,1641010,T_EquipmentStar_SpecialAttributeTIP_160016_1
160016,3,350009-350010-160016,1350-340-2,9000,1640003,1641011,T_EquipmentStar_SpecialAttributeTIP_160016_2
160016,4,,,,1640004,1641012,T_EquipmentStar_SpecialAttributeTIP_160016_3
160017,1,350009-350011-160017,450-110-1,3000,1640001,1641009,T_EquipmentStar_SpecialAttributeTIP_160016
160017,2,350009-350011-160017,900-230-2,6000,1640002,1641010,T_EquipmentStar_SpecialAttributeTIP_160016_1
160017,3,350009-350011-160017,1350-340-2,9000,1640003,1641011,T_EquipmentStar_SpecialAttributeTIP_160016_2
160017,4,,,,1640004,1641012,T_EquipmentStar_SpecialAttributeTIP_160016_3
160018,1,350009-350012-160018,450-110-1,3000,1640001,1641009,T_EquipmentStar_SpecialAttributeTIP_160016
160018,2,350009-350012-160018,900-230-2,6000,1640002,1641010,T_EquipmentStar_SpecialAttributeTIP_160016_1
160018,3,350009-350012-160018,1350-340-2,9000,1640003,1641011,T_EquipmentStar_SpecialAttributeTIP_160016_2
160018,4,,,,1640004,1641012,T_EquipmentStar_SpecialAttributeTIP_160016_3
161001,1,350009-350010-161001,300-75-1,1500,1630001,1631001,T_EquipmentStar_SpecialAttributeTIP_161001
161001,2,350009-350010-161001,600-150-2,3000,1630002,1631002,T_EquipmentStar_SpecialAttributeTIP_161001_1
