CheerID,Level,AddPoint,CostEnergy,CostItemID,CostItemCount
FE001,1,2,1,FG001,
FE001,2,10,2,FG001,100
FE001,3,60,4,FG001,200
FE001,4,240,6,FG001,300
FE001,5,1000,10,FG001,400
FE002,1,2,1,FG002,
FE002,2,10,2,FG002,100
FE002,3,60,4,FG002,200
FE002,4,240,6,FG002,300
FE002,5,1000,10,FG002,400
FE003,1,2,1,FG003,
FE003,2,10,2,FG003,100
FE003,3,60,4,FG003,200
FE003,4,240,6,FG003,300
FE003,5,1000,10,FG003,400
FE004,1,2,1,FG004,
FE004,2,10,2,FG004,100
FE004,3,60,4,FG004,200
FE004,4,240,6,FG004,300
FE004,5,1000,10,FG004,400
FE005,1,2,1,FG005,
FE005,2,10,2,FG005,100
FE005,3,60,4,FG005,200
FE005,4,240,6,FG005,300
FE005,5,1000,10,FG005,400
FE006,1,2,1,FG006,
FE006,2,10,2,FG006,100
FE006,3,60,4,FG006,200
FE006,4,240,6,FG006,300
FE006,5,1000,10,FG006,400
FE007,1,2,1,FG007,
FE007,2,10,2,FG007,100
FE007,3,60,4,FG007,200
FE007,4,240,6,FG007,300
FE007,5,1000,10,FG007,400
FE008,1,2,1,FG008,
FE008,2,10,2,FG008,100
FE008,3,60,4,FG008,200
FE008,4,240,6,FG008,300
FE008,5,1000,10,FG008,400
FE009,1,2,1,FG009,
FE009,2,10,2,FG009,100
FE009,3,60,4,FG009,200
FE009,4,240,6,FG009,300
FE009,5,1000,10,FG009,400
FE010,1,2,1,FG010,
FE010,2,10,2,FG010,100
FE010,3,60,4,FG010,200
FE010,4,240,6,FG010,300
FE010,5,1000,10,FG010,400
FE011,1,2,1,FG011,
FE011,2,10,2,FG011,100
FE011,3,60,4,FG011,200
FE011,4,240,6,FG011,300
FE011,5,1000,10,FG011,400
FE012,1,2,1,FG012,
FE012,2,10,2,FG012,100
FE012,3,60,4,FG012,200
FE012,4,240,6,FG012,300
FE012,5,1000,10,FG012,400
FE013,1,2,1,FG013,
FE013,2,10,2,FG013,100
FE013,3,60,4,FG013,200
FE013,4,240,6,FG013,300
FE013,5,1000,10,FG013,400
FE014,1,2,1,FG014,
FE014,2,10,2,FG014,100
FE014,3,60,4,FG014,200
FE014,4,240,6,FG014,300
FE014,5,1000,10,FG014,400
FE015,1,2,1,FG015,
FE015,2,10,2,FG015,100
FE015,3,60,4,FG015,200
FE015,4,240,6,FG015,300
FE015,5,1000,10,FG015,400
FE016,1,2,1,FG016,
FE016,2,10,2,FG016,100
FE016,3,60,4,FG016,200
FE016,4,240,6,FG016,300
FE016,5,1000,10,FG016,400
