ID,Title,Name,Definition,Factor,DefinitionIcon,Portrait,IconS,IconM,IconL,EnergyStepPrices,ClickDialogs,VersionControls
FE001,,T_FairyCheer_Name_FE001,1,1,Icon/Item/ability/Icon_Damage,Icon/Images11_Role_Elv/E017,Icon/Icon10_ElvHead/Summon_Icon_E017,Icon/Icon10_ElvHead/Icon01_Head_S_E017,Icon/Icon10_ElvHead/UI40_Pet_E017_000,200-500-800-1200-1600,E017_1_1-E017_1_2-E017_1_3-E017_1_4-E017_1_5-E017_1_6,62
FE002,,T_FairyCheer_Name_FE002,2,1,Icon/Item/ability/Icon_Tank,Icon/Images11_Role_Elv/E003,Icon/Icon10_ElvHead/Summon_Icon_E003,Icon/Icon10_ElvHead/Icon01_Head_S_E003,Icon/Icon10_ElvHead/UI40_Pet_E003_000,200-500-800-1200-1600,E003_1_1-E003_1_2-E003_1_3-E003_1_4-E003_1_5-E003_1_6,62
FE003,,T_FairyCheer_Name_FE003,3,1,Icon/Item/ability/Icon_Support,Icon/Images11_Role_Elv/E000,Icon/Icon10_ElvHead/Summon_Icon_E000,Icon/Icon10_ElvHead/Icon01_Head_S_E000,Icon/Icon10_ElvHead/UI40_Pet_E000_000,200-500-800-1200-1600,E000_1_1-E000_1_2-E000_1_3-E000_1_4-E000_1_5-E000_1_6,62
FE004,,T_FairyCheer_Name_FE004,3,1,Icon/Item/ability/Icon_Support,Icon/Images11_Role_Elv/E002,Icon/Icon10_ElvHead/Summon_Icon_E002,Icon/Icon10_ElvHead/Icon01_Head_S_E002,Icon/Icon10_ElvHead/UI40_Pet_E002_000,200-500-800-1200-1600,E002_1_1-E002_1_2-E002_1_3-E002_1_4-E002_1_5-E002_1_6,62
FE005,,T_FairyCheer_Name_FE005,1,3,Icon/Item/ability/Icon_Damage,Icon/Images11_Role_Elv/E001,Icon/Icon10_ElvHead/Summon_Icon_E001,Icon/Icon10_ElvHead/Icon01_Head_S_E001,Icon/Icon10_ElvHead/UI40_Pet_E001_000,200-500-800-1200-1600,E001_1_1-E001_1_2-E001_1_3-E001_1_4-E001_1_5-E001_1_6,62
FE006,,T_FairyCheer_Name_FE006,2,2,Icon/Item/ability/Icon_Tank,Icon/Images11_Role_Elv/E008,Icon/Icon10_ElvHead/Summon_Icon_E008,Icon/Icon10_ElvHead/Icon01_Head_S_E008,Icon/Icon10_ElvHead/UI40_Pet_E008_000,200-500-800-1200-1600,E008_1_1-E008_1_2-E008_1_3-E008_1_4-E008_1_5-E008_1_6,62-1001
FE007,,T_FairyCheer_Name_FE007,3,2,Icon/Item/ability/Icon_Support,Icon/Images11_Role_Elv/E010,Icon/Icon10_ElvHead/Summon_Icon_E010,Icon/Icon10_ElvHead/Icon01_Head_S_E010,Icon/Icon10_ElvHead/UI40_Pet_E010_000,200-500-800-1200-1600,E010_1_1-E010_1_2-E010_1_3-E010_1_4-E010_1_5-E010_1_6,62-1002
FE008,,T_FairyCheer_Name_FE008,1,2,Icon/Item/ability/Icon_Damage,Icon/Images11_Role_Elv/E011,Icon/Icon10_ElvHead/Summon_Icon_E011,Icon/Icon10_ElvHead/Icon01_Head_S_E011,Icon/Icon10_ElvHead/UI40_Pet_E011_000,200-500-800-1200-1600,E011_1_1-E011_1_2-E011_1_3-E011_1_4-E011_1_5-E011_1_6,62-1003
FE009,,T_FairyCheer_Name_FE009,2,2,Icon/Item/ability/Icon_Tank,Icon/Images11_Role_Elv/E016,Icon/Icon10_ElvHead/Summon_Icon_E016,Icon/Icon10_ElvHead/Icon01_Head_S_E016,Icon/Icon10_ElvHead/UI40_Pet_E016_000,200-500-800-1200-1600,E016_1_1-E016_1_2-E016_1_3-E016_1_4-E016_1_5-E016_1_6,62-1004
FE010,,T_FairyCheer_Name_FE010,3,2,Icon/Item/ability/Icon_Support,Icon/Images11_Role_Elv/E004,Icon/Icon10_ElvHead/Summon_Icon_E004,Icon/Icon10_ElvHead/Icon01_Head_S_E004,Icon/Icon10_ElvHead/UI40_Pet_E004_000,200-500-800-1200-1600,E004_1_1-E004_1_2-E004_1_3-E004_1_4-E004_1_5-E004_1_6,62-1005
