CheerID,ShowUnlock,Level,Threshold,MaxEnergy,SkillID,CheerAttributeID,CheerAttributeTip,HcgIcon,StaticImage,DynamicImage
FE001,,1,100,40,FS0011,FA0010,T_FairyInfo_CheerAttributeTip_FE001,,,
FE001,,2,400,45,FS0011,FA0010,T_FairyInfo_CheerAttributeTip_FE001,,,
FE001,1,3,900,50,FS0011,FA0011,T_FairyInfo_CheerAttributeTip_FE001_2,,,
FE001,,4,1600,55,FS0011,FA0011,T_FairyInfo_CheerAttributeTip_FE001_2,,,
FE001,,5,2300,60,FS0011,FA0011,T_FairyInfo_CheerAttributeTip_FE001_2,,,
FE001,1,6,3000,65,FS0012,FA0012,T_FairyInfo_CheerAttributeTip_FE001_5,Icon/Images03_HCG/Images/HCG_E017_000,Icon/Images03_HCG/HCG_E017_01,
FE001,,7,3400,70,FS0012,FA0012,T_FairyInfo_CheerAttributeTip_FE001_5,,,
FE001,,8,4000,75,FS0012,FA0012,T_FairyInfo_CheerAttributeTip_FE001_5,,,
FE001,,9,5000,80,FS0012,FA0012,T_FairyInfo_CheerAttributeTip_FE001_5,,,
FE001,1,10,9000,85,FS0013,FA0013,T_FairyInfo_CheerAttributeTip_FE001_9,,,
FE001,,11,15000,90,FS0013,FA0013,T_FairyInfo_CheerAttributeTip_FE001_9,,,
FE001,,12,20000,95,FS0013,FA0013,T_FairyInfo_CheerAttributeTip_FE001_9,,,
FE001,,13,40000,100,FS0013,FA0013,T_FairyInfo_CheerAttributeTip_FE001_9,,,
FE001,,14,80000,105,FS0013,FA0013,T_FairyInfo_CheerAttributeTip_FE001_9,,,
FE001,1,15,,110,FS0014,FA0014,T_FairyInfo_CheerAttributeTip_FE001_14,Icon/Images03_HCG/Images/HCG_E017_002,Icon/Images03_HCG/HCG_E017_02,
FE002,,1,100,40,FS0021,FA0020,T_FairyInfo_CheerAttributeTip_FE002,,,
FE002,,2,400,45,FS0021,FA0020,T_FairyInfo_CheerAttributeTip_FE002,,,
FE002,1,3,900,50,FS0021,FA0021,T_FairyInfo_CheerAttributeTip_FE002_2,,,
FE002,,4,1600,55,FS0021,FA0021,T_FairyInfo_CheerAttributeTip_FE002_2,,,
FE002,,5,2300,60,FS0021,FA0021,T_FairyInfo_CheerAttributeTip_FE002_2,,,
FE002,1,6,3000,65,FS0022,FA0022,T_FairyInfo_CheerAttributeTip_FE002_5,Icon/Images03_HCG/Images/HCG_E003_000,Icon/Images03_HCG/HCG_E003_01,
FE002,,7,3400,70,FS0022,FA0022,T_FairyInfo_CheerAttributeTip_FE002_5,,,
FE002,,8,4000,75,FS0022,FA0022,T_FairyInfo_CheerAttributeTip_FE002_5,,,
FE002,,9,5000,80,FS0022,FA0022,T_FairyInfo_CheerAttributeTip_FE002_5,,,
FE002,1,10,9000,85,FS0023,FA0023,T_FairyInfo_CheerAttributeTip_FE002_9,,,
FE002,,11,15000,90,FS0023,FA0023,T_FairyInfo_CheerAttributeTip_FE002_9,,,
FE002,,12,20000,95,FS0023,FA0023,T_FairyInfo_CheerAttributeTip_FE002_9,,,
FE002,,13,40000,100,FS0023,FA0023,T_FairyInfo_CheerAttributeTip_FE002_9,,,
FE002,,14,80000,105,FS0023,FA0023,T_FairyInfo_CheerAttributeTip_FE002_9,,,
