ID,AttackerCount,DefenderCount,HealerCount,Round,AttributeIDs,BuffTip
1,1,,,3,3000,T_GuildWarBuff_BuffTip_1
2,,1,,3,3002,T_GuildWarBuff_BuffTip_2
3,,,1,3,3003,T_GuildWarBuff_BuffTip_3
4,2,,,2,3004,T_GuildWarBuff_BuffTip_4
5,1,1,,2,3005,T_GuildWarBuff_BuffTip_5
6,1,,1,2,3006,T_GuildWarBuff_BuffTip_6
7,,2,,2,3008,T_GuildWarBuff_BuffTip_7
8,,1,1,2,3009,T_GuildWarBuff_BuffTip_8
9,,,2,2,3010,T_GuildWarBuff_BuffTip_9
10,1,1,1,1,3011,T_GuildWarBuff_BuffTip_10
11,2,1,,1,3012,T_GuildWarBuff_BuffTip_11
12,2,,1,1,3013,T_GuildWarBuff_BuffTip_12
13,1,2,,1,3014,T_GuildWarBuff_BuffTip_13
14,,2,1,1,3016,T_GuildWarBuff_BuffTip_14
15,1,,2,1,3017,T_GuildWarBuff_BuffTip_15
16,,1,2,1,3018,T_GuildWarBuff_BuffTip_16
17,3,,,1,3019,T_GuildWarBuff_BuffTip_17
18,,3,,1,3020,T_GuildWarBuff_BuffTip_18
19,,,3,1,3021,T_GuildWarBuff_BuffTip_19
20,,,,3,5009,
21,,,,2,5012,
22,,,,1,5013,
