ID,Type,AllProficiency,QuestID,DialogShowID,Title,Image,Content
2,1,,,P001_h4_1,,,
11,,,,,T_Helper_Title_11,Icon/Images08_Help/Images08_Help_001,T_Helper_Content_11
12,,,,,T_Helper_Title_12,Icon/Images08_Help/Images08_Help_002,T_Helper_Content_12
12,,,,,,Icon/Images08_Help/Images08_Help_003,T_Helper_Content_12_1
12,,,,,,Icon/Images08_Help/Images08_Help_004,T_Helper_Content_12_2
13,,,,,T_Helper_Title_13,Icon/Images08_Help/Images08_Help_005,T_Helper_Content_13
14,,,,,T_Helper_Title_14,Icon/Images08_Help/Images08_Help_006,T_Helper_Content_14
14,,,,,T_Helper_Title_14_1,Icon/Images08_Help/Images08_Help_007,T_Helper_Content_14_1
14,,,,,T_Helper_Title_14_1,Icon/Images08_Help/Images08_Help_008,T_Helper_Content_14_2
14,,,,,,Icon/Images08_Help/Images08_Help_022,T_Helper_Content_14_3
15,,,,,T_Helper_Title_15,Icon/Images08_Help/Images08_Help_009,T_Helper_Content_15
15,,,,,T_Helper_Title_14_1,Icon/Images08_Help/Images08_Help_010,T_Helper_Content_15_1
15,,,,,T_Helper_Title_14_1,Icon/Images08_Help/Images08_Help_011,T_Helper_Content_15_2
15,,,,,T_Helper_Title_14_1,Icon/Images08_Help/Images08_Help_012,T_Helper_Content_15_3
16,1,10,,,T_Helper_Title_16,Icon/Images08_Help/Images08_Help_013,T_Helper_Content_16
17,2,,106,,T_Helper_Title_17,Icon/Images08_Help/Images08_Help_014,T_Helper_Content_17
18,2,,101,,T_Helper_Title_18,Icon/Images08_Help/Images08_Help_008,T_Helper_Content_18
18,,,,,,Icon/Images08_Help/Images08_Help_015,T_Helper_Content_18_1
19,1,,,,T_Helper_Title_19,Icon/Images08_Help/Images08_Help_016,T_Helper_Content_19
19,,,,,,Icon/Images08_Help/Images08_Help_017,T_Helper_Content_19_1
30,,,,,T_Helper_Title_30,Icon/Images08_Help/Images08_Help_018,T_Helper_Content_30
30,,,,,,Icon/Images08_Help/Images08_Help_019,T_Helper_Content_30_1
30,,,,,,Icon/Images08_Help/Images08_Help_020,T_Helper_Content_30_2
40,,,,,T_Helper_Title_40,Icon/Images08_Help/Images08_Help_021,T_Helper_Content_40
40,,,,,,Icon/Images08_Help/Images08_Help_022,T_Helper_Content_40_1
40,,,,,,Icon/Images08_Help/Images08_Help_023,T_Helper_Content_40_2
50,,,,,T_Helper_Title_50,,
60,,,,,T_Helper_Title_60,Icon/Images08_Help/Images08_Help_Equip_01,T_Helper_Content_60
60,,,,,,Icon/Images08_Help/Images08_Help_Equip_02,T_Helper_Content_60_1
70,,,,,T_Helper_Title_70,Icon/Images08_Help/Images08_Help_PVP_01,T_Helper_Content_70
70,,,,,,Icon/Images08_Help/Images08_Help_PVP_02,T_Helper_Content_70_1
70,,,,,,Icon/Images08_Help/Images08_Help_PVP_02,T_Helper_Content_70_2
70,,,,,,Icon/Images08_Help/Images08_Help_PVP_02,T_Helper_Content_70_3
70,,,,,,Icon/Images08_Help/Images08_Help_PVP_04,T_Helper_Content_70_4
80,,,,,T_Helper_Title_80,Icon/Images08_Help/Images08_Help_BattleRoyale_01,T_Helper_Content_80
80,,,,,,Icon/Images08_Help/Images08_Help_BattleRoyale_02,T_Helper_Content_80_1
80,,,,,,Icon/Images08_Help/Images08_Help_BattleRoyale_03,T_Helper_Content_80_2
80,,,,,,Icon/Images08_Help/Images08_Help_BattleRoyale_04,T_Helper_Content_80_3
90,,,,,T_Helper_Title_90,Icon/Images08_Help/Images08_Help_FairyCheer_01,T_Helper_Content_90
90,,,,,,Icon/Images08_Help/Images08_Help_FairyCheer_02,T_Helper_Content_90_1
90,,,,,,Icon/Images08_Help/Images08_Help_FairyCheer_03,T_Helper_Content_90_2
90,,,,,,Icon/Images08_Help/Images08_Help_FairyCheer_04,T_Helper_Content_90_3
90,,,,,,Icon/Images08_Help/Images08_Help_FairyCheer_05,T_Helper_Content_90_4
90,,,,,,Icon/Images08_Help/Images08_Help_FairyCheer_06,T_Helper_Content_90_5
100,,,,,T_Helper_Title_100,Icon/Images08_Help/Images08_Help_Guild_01,T_Helper_Content_100
100,,,,,,Icon/Images08_Help/Images08_Help_Guild_02,T_Helper_Content_100_1
100,,,,,,Icon/Images08_Help/Images08_Help_Guild_03,T_Helper_Content_100_2
100,,,,,,Icon/Images08_Help/Images08_Help_Guild_04,T_Helper_Content_100_3
100,,,,,,Icon/Images08_Help/Images08_Help_Guild_05,T_Helper_Content_100_4
101,,,,,T_Helper_Title_101,Icon/Images08_Help/Images08_Help_GuildBattle_01,T_Helper_Content_101
101,,,,,,Icon/Images08_Help/Images08_Help_GuildBattle_02,T_Helper_Content_101_1
101,,,,,,Icon/Images08_Help/Images08_Help_GuildBattle_03,T_Helper_Content_101_2
101,,,,,,Icon/Images08_Help/Images08_Help_GuildBattle_04,T_Helper_Content_101_3
101,,,,,,Icon/Images08_Help/Images08_Help_GuildBattle_05,T_Helper_Content_101_4
101,,,,,,Icon/Images08_Help/Images08_Help_GuildBattle_06,T_Helper_Content_101_5
101,,,,,,Icon/Images08_Help/Images08_Help_GuildBattle_07,T_Helper_Content_101_6
102,,,,,T_Helper_Title_102,Icon/Images08_Help/Images08_Help_GuildBuild_01,T_Helper_Content_102
102,,,,,,Icon/Images08_Help/Images08_Help_GuildBuild_02,T_Helper_Content_102_1
102,,,,,,Icon/Images08_Help/Images08_Help_GuildBuild_03,T_Helper_Content_102_2
102,,,,,,Icon/Images08_Help/Images08_Help_GuildBuild_04,T_Helper_Content_102_3
