ID,Group,AppStoreType,CurrencyCode,Price,Gold,BonusGold,SendGold,USD,CNY,HKD,DropID,AccumulateValue,ICON,GooglePlay,AppStore,Type,IsOn,IsSendMail,VersionControl
1,,Eroges,Erogold,100,45,,150,1,,,,3,Icon/Item/Shop/UI30_Shop_Diamod_00,auer.gp.moba_00045,,,1,,
2,,Eroges,Erogold,500,225,15,750,5,,,,15,Icon/Item/Shop/UI30_Shop_Diamod_01,auer.gp.moba_00230,,,1,,
3,,Eroges,Erogold,1000,450,30,1500,10,,,,30,Icon/Item/Shop/UI30_Shop_Diamod_02,auer.gp.moba_00470,,,1,,
7,,Eroges,Erogold,1500,2250,450,2250,15,,,,45,Icon/Item/Shop/UI30_Shop_Diamod_02,auer.gp.moba_02585,,,1,,
4,,Eroges,Erogold,3000,885,115,4730,30,,,,90,Icon/Item/Shop/UI30_Shop_Diamod_03,auer.gp.moba_00950,,,1,,
5,,Eroges,Erogold,5000,1440,260,8250,50,,,,150,Icon/Item/Shop/UI30_Shop_Diamod_04,auer.gp.moba_01600,,,1,,
6,,Eroges,Erogold,10000,2250,450,17250,100,,,,300,Icon/Item/Shop/UI30_Shop_Diamod_05,auer.gp.moba_02585,,,1,,
501,,Eroges,Erogold,100,45,,,1,,,999011,3,Icon/Item/Shop/UI30_Shop_SpecialDiamod_00,auer.gp.moba_00045,,,1,,
502,,Eroges,Erogold,500,225,15,,5,,,999012,15,Icon/Item/Shop/UI30_Shop_SpecialDiamod_01,auer.gp.moba_00230,,,1,,
503,,Eroges,Erogold,1000,450,30,,10,,,999013,30,Icon/Item/Shop/UI30_Shop_SpecialDiamod_02,auer.gp.moba_00470,,,1,,
504,,Eroges,Erogold,1500,2250,450,,15,,,999014,45,Icon/Item/Shop/UI30_Shop_SpecialDiamod_02,auer.gp.moba_02585,,,1,,
505,,Eroges,Erogold,3000,885,115,,30,,,999015,90,Icon/Item/Shop/UI30_Shop_SpecialDiamod_03,auer.gp.moba_00950,,,1,,
506,,Eroges,Erogold,5000,1440,260,,50,,,999016,150,Icon/Item/Shop/UI30_Shop_SpecialDiamod_04,auer.gp.moba_01600,,,1,,
507,,Eroges,Erogold,10000,2250,450,,100,,,999017,300,Icon/Item/Shop/UI30_Shop_SpecialDiamod_05,auer.gp.moba_02585,,,1,,
101,,Gash,NTD,50,45,,260,1.82,12,14,,5,Icon/Item/Shop/UI30_Shop_Diamod_00,auer.gp.moba_00045,,,1,,
102,,Gash,NTD,150,225,15,825,5.32,35,42,,15,Icon/Item/Shop/UI30_Shop_Diamod_01Up,auer.gp.moba_00230,,,1,,
108,,Gash,NTD,200,,,1200,7.6,50,60,,20,Icon/Item/Shop/UI30_Shop_Diamod_02Up,auer.gp.moba_00230,,,1,,
103,,Gash,NTD,300,450,30,1725,10.64,70,84,,30,Icon/Item/Shop/UI30_Shop_Diamod_02Up,auer.gp.moba_00470,,,1,,
107,,Gash,NTD,450,2250,450,2590,15.95,105,126,,45,Icon/Item/Shop/UI30_Shop_Diamod_02Up,auer.gp.moba_02585,,,1,,
104,,Gash,NTD,900,885,115,5400,32.36,213,256,,90,Icon/Item/Shop/UI30_Shop_Diamod_03Up,auer.gp.moba_00950,,,1,,
105,,Gash,NTD,1500,1440,260,9500,53.94,355,426,,150,Icon/Item/Shop/UI30_Shop_Diamod_04Up,auer.gp.moba_01600,,,1,,
106,,Gash,NTD,3000,2250,450,19500,106.35,700,840,,300,Icon/Item/Shop/UI30_Shop_Diamod_05Up,auer.gp.moba_02585,,,1,,
114,,Gash,NTD,50,45,,,1.82,12,14,999004,5,Icon/Item/Shop/UI30_Shop_SpecialDiamod_00,auer.gp.moba_00045,,,1,,
115,,Gash,NTD,150,225,15,,5.32,35,42,999005,15,Icon/Item/Shop/UI30_Shop_SpecialDiamod_01,auer.gp.moba_00230,,,1,,
127,,Gash,NTD,200,,,,7.6,50,60,999018,20,Icon/Item/Shop/UI30_Shop_SpecialDiamod_02,auer.gp.moba_00470,,,1,,
116,,Gash,NTD,300,450,30,,10.64,70,84,999006,30,Icon/Item/Shop/UI30_Shop_SpecialDiamod_02,auer.gp.moba_00470,,,1,,
126,,Gash,NTD,450,2250,450,,15.95,105,126,999007,45,Icon/Item/Shop/UI30_Shop_SpecialDiamod_02,auer.gp.moba_02585,,,1,,
117,,Gash,NTD,900,885,115,,32.36,213,256,999008,90,Icon/Item/Shop/UI30_Shop_SpecialDiamod_03,auer.gp.moba_00950,,,1,,
118,,Gash,NTD,1500,1440,260,,53.94,355,426,999009,150,Icon/Item/Shop/UI30_Shop_SpecialDiamod_04,auer.gp.moba_01600,,,1,,
119,,Gash,NTD,3000,2250,450,,106.35,700,840,999010,300,Icon/Item/Shop/UI30_Shop_SpecialDiamod_05,auer.gp.moba_02585,,,1,,
601,,DLsite,にじコイン,100,45,,150,1,,,,3,Icon/Item/Shop/UI30_Shop_Diamod_00,auer.gp.moba_00045,,,1,,101
602,,DLsite,にじコイン,500,225,15,750,5,,,,15,Icon/Item/Shop/UI30_Shop_Diamod_01,auer.gp.moba_00045,,,1,,101
603,,DLsite,にじコイン,1000,,,1500,10,,,,30,Icon/Item/Shop/UI30_Shop_Diamod_02,auer.gp.moba_00045,,,1,,101
604,,DLsite,にじコイン,1500,450,30,2250,15,,,,45,Icon/Item/Shop/UI30_Shop_Diamod_02,auer.gp.moba_00045,,,1,,101
605,,DLsite,にじコイン,3000,2250,450,4730,30,,,,90,Icon/Item/Shop/UI30_Shop_Diamod_03,auer.gp.moba_00045,,,1,,101
606,,DLsite,にじコイン,5000,885,115,8250,50,,,,150,Icon/Item/Shop/UI30_Shop_Diamod_04,auer.gp.moba_00045,,,1,,101
607,,DLsite,にじコイン,10000,1440,260,17250,100,,,,300,Icon/Item/Shop/UI30_Shop_Diamod_05,auer.gp.moba_00045,,,1,,101
651,,DLsite,にじコイン,100,45,,,1,,,999011,3,Icon/Item/Shop/UI30_Shop_SpecialDiamod_00,auer.gp.moba_00045,,,1,,101
652,,DLsite,にじコイン,500,225,15,,5,,,999012,15,Icon/Item/Shop/UI30_Shop_SpecialDiamod_01,auer.gp.moba_00045,,,1,,101
653,,DLsite,にじコイン,1000,,,,10,,,999013,30,Icon/Item/Shop/UI30_Shop_SpecialDiamod_02,auer.gp.moba_00045,,,1,,101
654,,DLsite,にじコイン,1500,450,30,,15,,,999014,45,Icon/Item/Shop/UI30_Shop_SpecialDiamod_02,auer.gp.moba_00045,,,1,,101
655,,DLsite,にじコイン,3000,2250,450,,30,,,999015,90,Icon/Item/Shop/UI30_Shop_SpecialDiamod_03,auer.gp.moba_00045,,,1,,101
656,,DLsite,にじコイン,5000,885,115,,50,,,999016,150,Icon/Item/Shop/UI30_Shop_SpecialDiamod_04,auer.gp.moba_00045,,,1,,101
657,,DLsite,にじコイン,10000,1440,260,,100,,,999017,300,Icon/Item/Shop/UI30_Shop_SpecialDiamod_05,auer.gp.moba_00045,,,1,,101
701,,DMM,DMMポイント,100,45,,150,1,,,,3,Icon/Item/Shop/UI30_Shop_Diamod_00,auer.gp.moba_00045,,,1,,101
702,,DMM,DMMポイント,500,225,15,750,5,,,,15,Icon/Item/Shop/UI30_Shop_Diamod_01,auer.gp.moba_00045,,,1,,101
703,,DMM,DMMポイント,1000,,,1500,10,,,,30,Icon/Item/Shop/UI30_Shop_Diamod_02,auer.gp.moba_00045,,,1,,101
704,,DMM,DMMポイント,1500,450,30,2250,15,,,,45,Icon/Item/Shop/UI30_Shop_Diamod_02,auer.gp.moba_00045,,,1,,101
705,,DMM,DMMポイント,3000,2250,450,4730,30,,,,90,Icon/Item/Shop/UI30_Shop_Diamod_03,auer.gp.moba_00045,,,1,,101
706,,DMM,DMMポイント,5000,885,115,8250,50,,,,150,Icon/Item/Shop/UI30_Shop_Diamod_04,auer.gp.moba_00045,,,1,,101
707,,DMM,DMMポイント,10000,1440,260,17250,100,,,,300,Icon/Item/Shop/UI30_Shop_Diamod_05,auer.gp.moba_00045,,,1,,101
751,,DMM,DMMポイント,100,45,,,1,,,999011,3,Icon/Item/Shop/UI30_Shop_SpecialDiamod_00,auer.gp.moba_00045,,,1,,101
752,,DMM,DMMポイント,500,225,15,,5,,,999012,15,Icon/Item/Shop/UI30_Shop_SpecialDiamod_01,auer.gp.moba_00045,,,1,,101
753,,DMM,DMMポイント,1000,,,,10,,,999013,30,Icon/Item/Shop/UI30_Shop_SpecialDiamod_02,auer.gp.moba_00045,,,1,,101
754,,DMM,DMMポイント,1500,450,30,,15,,,999014,45,Icon/Item/Shop/UI30_Shop_SpecialDiamod_02,auer.gp.moba_00045,,,1,,101
755,,DMM,DMMポイント,3000,2250,450,,30,,,999015,90,Icon/Item/Shop/UI30_Shop_SpecialDiamod_03,auer.gp.moba_00045,,,1,,101
756,,DMM,DMMポイント,5000,885,115,,50,,,999016,150,Icon/Item/Shop/UI30_Shop_SpecialDiamod_04,auer.gp.moba_00045,,,1,,101
757,,DMM,DMMポイント,10000,1440,260,,100,,,999017,300,Icon/Item/Shop/UI30_Shop_SpecialDiamod_05,auer.gp.moba_00045,,,1,,101
