ID,TYPE,NAME,ICON,HeadIcon,ExcludeRole,Role,Color,RepeatChangeID,RepeatChangeCount,Value,DropTag,Info,Source,IsCountDrop,SortIndex,EnergyValue,ObtainWays,VersionControl
1,,T_ITEM_NAME_1,Icon/Item/Icon_Money,,,,3,,,,Money,T_ITEM_Info_1,,,999,,1-2-3,
2,,T_ITEM_NAME_2,Icon/Item/Icon_Dimond,,,,4,,,,Diamond,T_ITEM_Info_2,,,10,,3-8,
3,,T_ITEM_NAME_3,Icon/Item/Icon_Ticket,,,,3,,,,Ticket,,,,,,,
5,10,T_ITEM_NAME_5,Icon/Item/Icon_FightExp,,,,,,,,,,,,,,,
6,6,T_ITEM_NAME_6,,,,,2,,,,,,,,,,,
7,9,T_ITEM_NAME_7,Icon/Item/Icon_IntimacyExp,,,,,,,,,,,,,,,
8,13,T_ITEM_NAME_8,,,,,2,,,,,,,,,,,
9,,T_ITEM_NAME_9,Icon/Icon08_Mode/Icon08_Mode_01,,,,,,,,,T_ITEM_Info_9,,,,,,
10,,T_ITEM_NAME_10,Icon/Item/Icon_HeartCoin,,,,4,,,,HeartCoin,T_ITEM_Info_10,,,,,1-3,
11,,T_ITEM_NAME_11,Icon/Item/Icon_SpecialDimond,,,,5,,,,,T_ITEM_Info_11,,,,,7,
12,,T_ITEM_NAME_12,Icon/Item/Icon_LoveLetter,,,,4,,,,EventCoin,T_ITEM_Info_12,,,,,2+104,107
13,,T_ITEM_NAME_13,Icon/Item/Icon_Petals,,,,4,,,,EventCoin,T_ITEM_Info_12,,,,,2+104,110
14,,T_ITEM_NAME_14,Icon/Item/Gift/Icon_Ticket,,,,4,,,,14,T_ITEM_Info_14,,,,,,112
15,,T_ITEM_NAME_15,Icon/Item/Course/Icon_Course_Ticket_04,,,,4,,,,15,T_ITEM_Info_15,,,,,7,
16,,T_ITEM_NAME_16,Icon/Item/Icon_T-Shirt,,,,4,,,,EventCoin,T_ITEM_Info_12,,,,,2+104,114
17,,T_ITEM_NAME_17,Icon/Item/Gift/Icon_Energydrink,,,,4,,,,EventCoin,T_ITEM_Info_12,,,,,2+104,116
18,,T_ITEM_NAME_18,Icon/Item/Icon_Money_02,,,,4,,,,,T_ITEM_Info_18,,,12,,9,
19,,T_ITEM_NAME_19,Icon/Item/Gift/Icon_Event_BottledSand,,,,4,,,,EventCoin,T_ITEM_Info_12,,,,,2+104,118
20,,T_ITEM_NAME_20,Icon/Item/Gift/Icon_Event_Summerdrink,,,,4,,,,EventCoin,T_ITEM_Info_12,,,,,2+104,120
21,,T_ITEM_NAME_21,Icon/Item/Gift/Icon_Event_Shavedice,,,,4,,,,EventCoin,T_ITEM_Info_12,,,,,2+104,122
22,,T_ITEM_NAME_22,Icon/Item/Gift/Icon_Event_Bag,,,,4,,,,EventCoin,T_ITEM_Info_12,,,,,2+104,124
23,,T_ITEM_NAME_23,Icon/Item/Icon_Money_03,,,,4,,,,,T_ITEM_Info_18,,,11,,9,
24,,T_ITEM_NAME_24,Icon/Item/Gift/Icon_Event_MoonCake,,,,4,,,,EventCoin,T_ITEM_Info_12,,,,,2+104,123
25,,T_ITEM_NAME_25,Icon/Item/Gift/Icon_Event_Pumpkin Candy,,,,4,,,,EventCoin,T_ITEM_Info_12,,,,,2+104,125
26,,T_ITEM_NAME_26,Icon/Item/Gift/Icon_Event_Bells,,,,4,,,,EventCoin,T_ITEM_Info_12,,,,,2+104,127
27,,T_ITEM_NAME_27,Icon/Item/Gift/Icon_Event_Gift,,,,4,,,,EventCoin,T_ITEM_Info_12,,,,,2+104,128
28,,T_ITEM_NAME_28,Icon/Item/Gift/Icon_Event_File,,,,4,,,,EventCoin,T_ITEM_Info_12,,,,,2+104,129
