RoleID,Level,Intimacy,RewardTip,VersionControl
1001,1,40,T_Intimacy_RewardTip_1001,
1001,2,80,T_Intimacy_RewardTip_1001_1,
1001,3,120,T_Intimacy_RewardTip_1001_2,
1001,4,160,T_Intimacy_RewardTip_1001_3,
1001,5,220,T_Intimacy_RewardTip_1001_4,
1001,6,280,T_Intimacy_RewardTip_1001_5,
1001,7,400,T_Intimacy_RewardTip_1001_6,
1001,8,560,T_Intimacy_RewardTip_1001_7,
1001,9,800,T_Intimacy_RewardTip_1001_8,
1001,10,1120,T_Intimacy_RewardTip_1001_9,
1001,11,1600,T_Intimacy_RewardTip_1001_10,
1001,12,2100,T_Intimacy_RewardTip_1001_11,
1001,13,2100,T_Intimacy_RewardTip_1001_12,
1001,14,2100,T_Intimacy_RewardTip_1001_13,
1001,15,,T_Intimacy_RewardTip_1001_14,
2001,1,40,T_Intimacy_RewardTip_2001,
2001,2,80,T_Intimacy_RewardTip_2001_1,
2001,3,120,T_Intimacy_RewardTip_2001_2,
2001,4,160,T_Intimacy_RewardTip_2001_3,
2001,5,220,T_Intimacy_RewardTip_2001_4,
2001,6,280,T_Intimacy_RewardTip_2001_5,
2001,7,400,T_Intimacy_RewardTip_2001_6,
2001,8,560,T_Intimacy_RewardTip_2001_7,
2001,9,800,T_Intimacy_RewardTip_2001_8,
2001,10,1120,T_Intimacy_RewardTip_2001_9,
2001,11,1600,T_Intimacy_RewardTip_2001_10,
2001,12,2100,T_Intimacy_RewardTip_1001_11,
2001,13,2100,T_Intimacy_RewardTip_2001_12,
2001,14,2100,T_Intimacy_RewardTip_1001_13,
2001,15,,T_Intimacy_RewardTip_1001_14,
3001,1,40,T_Intimacy_RewardTip_3001,
3001,2,80,T_Intimacy_RewardTip_3001_1,
3001,3,120,T_Intimacy_RewardTip_3001_2,
3001,4,160,T_Intimacy_RewardTip_3001_3,
3001,5,220,T_Intimacy_RewardTip_3001_4,
3001,6,280,T_Intimacy_RewardTip_3001_5,
3001,7,400,T_Intimacy_RewardTip_3001_6,
3001,8,560,T_Intimacy_RewardTip_3001_7,
3001,9,800,T_Intimacy_RewardTip_3001_8,
3001,10,1120,T_Intimacy_RewardTip_3001_9,
3001,11,1600,T_Intimacy_RewardTip_3001_10,
3001,12,2100,T_Intimacy_RewardTip_1001_11,
3001,13,2100,T_Intimacy_RewardTip_3001_12,
3001,14,2100,T_Intimacy_RewardTip_1001_13,
3001,15,,T_Intimacy_RewardTip_1001_14,
4001,1,40,T_Intimacy_RewardTip_4001,
4001,2,80,T_Intimacy_RewardTip_4001_1,
4001,3,120,T_Intimacy_RewardTip_4001_2,
4001,4,160,T_Intimacy_RewardTip_4001_3,
4001,5,220,T_Intimacy_RewardTip_4001_4,
4001,6,280,T_Intimacy_RewardTip_4001_5,
4001,7,400,T_Intimacy_RewardTip_4001_6,
4001,8,560,T_Intimacy_RewardTip_4001_7,
4001,9,800,T_Intimacy_RewardTip_4001_8,
4001,10,1120,T_Intimacy_RewardTip_4001_9,
4001,11,1600,T_Intimacy_RewardTip_4001_10,
4001,12,2100,T_Intimacy_RewardTip_1001_11,
4001,13,2100,T_Intimacy_RewardTip_4001_12,
4001,14,2100,T_Intimacy_RewardTip_1001_13,
4001,15,,T_Intimacy_RewardTip_1001_14,
5001,1,40,T_Intimacy_RewardTip_5001,
5001,2,80,T_Intimacy_RewardTip_5001_1,
5001,3,120,T_Intimacy_RewardTip_5001_2,
5001,4,160,T_Intimacy_RewardTip_5001_3,
5001,5,220,T_Intimacy_RewardTip_5001_4,
5001,6,280,T_Intimacy_RewardTip_5001_5,
5001,7,400,T_Intimacy_RewardTip_5001_6,
5001,8,560,T_Intimacy_RewardTip_5001_7,
5001,9,800,T_Intimacy_RewardTip_5001_8,
5001,10,1120,T_Intimacy_RewardTip_5001_9,
5001,11,1600,T_Intimacy_RewardTip_5001_10,
5001,12,2100,T_Intimacy_RewardTip_1001_11,
5001,13,2100,T_Intimacy_RewardTip_5001_12,
5001,14,2100,T_Intimacy_RewardTip_1001_13,
5001,15,,T_Intimacy_RewardTip_1001_14,
6001,1,40,T_Intimacy_RewardTip_6001,
6001,2,80,T_Intimacy_RewardTip_6001_1,
6001,3,120,T_Intimacy_RewardTip_6001_2,
6001,4,160,T_Intimacy_RewardTip_6001_3,
6001,5,220,T_Intimacy_RewardTip_6001_4,
6001,6,280,T_Intimacy_RewardTip_6001_5,
6001,7,400,T_Intimacy_RewardTip_6001_6,
6001,8,560,T_Intimacy_RewardTip_6001_7,
6001,9,800,T_Intimacy_RewardTip_6001_8,
6001,10,1120,T_Intimacy_RewardTip_6001_9,
6001,11,1600,T_Intimacy_RewardTip_6001_10,
6001,12,2100,T_Intimacy_RewardTip_1001_11,
6001,13,2100,T_Intimacy_RewardTip_6001_12,
6001,14,2100,T_Intimacy_RewardTip_1001_13,
6001,15,,T_Intimacy_RewardTip_1001_14,
7001,1,40,T_Intimacy_RewardTip_7001,
7001,2,80,T_Intimacy_RewardTip_7001_1,
7001,3,120,T_Intimacy_RewardTip_7001_2,
7001,4,160,T_Intimacy_RewardTip_7001_3,
7001,5,220,T_Intimacy_RewardTip_7001_4,
7001,6,280,T_Intimacy_RewardTip_7001_5,
7001,7,400,T_Intimacy_RewardTip_7001_6,
7001,8,560,T_Intimacy_RewardTip_7001_7,
7001,9,800,T_Intimacy_RewardTip_7001_8,
7001,10,1120,T_Intimacy_RewardTip_7001_9,
7001,11,1600,T_Intimacy_RewardTip_7001_10,
7001,12,2100,T_Intimacy_RewardTip_1001_11,
7001,13,2100,T_Intimacy_RewardTip_7001_12,
7001,14,2100,T_Intimacy_RewardTip_1001_13,
7001,15,,T_Intimacy_RewardTip_1001_14,
8001,1,40,T_Intimacy_RewardTip_8001,
8001,2,80,T_Intimacy_RewardTip_8001_1,
8001,3,120,T_Intimacy_RewardTip_8001_2,
8001,4,160,T_Intimacy_RewardTip_8001_3,
8001,5,220,T_Intimacy_RewardTip_8001_4,
8001,6,280,T_Intimacy_RewardTip_8001_5,
8001,7,400,T_Intimacy_RewardTip_8001_6,
8001,8,560,T_Intimacy_RewardTip_8001_7,
8001,9,800,T_Intimacy_RewardTip_8001_8,
8001,10,1120,T_Intimacy_RewardTip_8001_9,
8001,11,1600,T_Intimacy_RewardTip_8001_10,
8001,12,2100,T_Intimacy_RewardTip_1001_11,
8001,13,2100,T_Intimacy_RewardTip_8001_12,
8001,14,2100,T_Intimacy_RewardTip_1001_13,
8001,15,,T_Intimacy_RewardTip_1001_14,
9001,1,40,T_Intimacy_RewardTip_9001,
9001,2,80,T_Intimacy_RewardTip_9001_1,
9001,3,120,T_Intimacy_RewardTip_9001_2,
9001,4,160,T_Intimacy_RewardTip_9001_3,
9001,5,220,T_Intimacy_RewardTip_9001_4,
9001,6,280,T_Intimacy_RewardTip_9001_5,
9001,7,400,T_Intimacy_RewardTip_9001_6,
9001,8,560,T_Intimacy_RewardTip_9001_7,
9001,9,800,T_Intimacy_RewardTip_9001_8,
9001,10,1120,T_Intimacy_RewardTip_9001_9,
9001,11,1600,T_Intimacy_RewardTip_9001_10,
9001,12,2100,T_Intimacy_RewardTip_1001_11,
9001,13,2100,T_Intimacy_RewardTip_9001_12,
9001,14,2100,T_Intimacy_RewardTip_1001_13,
9001,15,,T_Intimacy_RewardTip_1001_14,
10001,1,40,T_Intimacy_RewardTip_10001,
10001,2,80,T_Intimacy_RewardTip_10001_1,
10001,3,120,T_Intimacy_RewardTip_10001_2,
10001,4,160,T_Intimacy_RewardTip_10001_3,
10001,5,220,T_Intimacy_RewardTip_10001_4,
10001,6,280,T_Intimacy_RewardTip_10001_5,
10001,7,400,T_Intimacy_RewardTip_10001_6,
10001,8,560,T_Intimacy_RewardTip_10001_7,
10001,9,800,T_Intimacy_RewardTip_10001_8,
10001,10,1120,T_Intimacy_RewardTip_10001_9,
10001,11,1600,T_Intimacy_RewardTip_10001_10,
10001,12,2100,T_Intimacy_RewardTip_1001_11,
10001,13,2100,T_Intimacy_RewardTip_10001_12,
10001,14,2100,T_Intimacy_RewardTip_1001_13,
10001,15,,T_Intimacy_RewardTip_1001_14,
11001,1,40,T_Intimacy_RewardTip_11001,
11001,2,80,T_Intimacy_RewardTip_11001_1,
11001,3,120,T_Intimacy_RewardTip_11001_2,
11001,4,160,T_Intimacy_RewardTip_11001_3,
11001,5,220,T_Intimacy_RewardTip_11001_4,
11001,6,280,T_Intimacy_RewardTip_11001_5,
11001,7,400,T_Intimacy_RewardTip_11001_6,
11001,8,560,T_Intimacy_RewardTip_11001_7,
11001,9,800,T_Intimacy_RewardTip_11001_8,
11001,10,1120,T_Intimacy_RewardTip_11001_9,
11001,11,1600,T_Intimacy_RewardTip_11001_10,
11001,12,2100,T_Intimacy_RewardTip_1001_11,
11001,13,2100,T_Intimacy_RewardTip_11001_12,
11001,14,2100,T_Intimacy_RewardTip_1001_13,
11001,15,,T_Intimacy_RewardTip_1001_14,
12001,1,40,T_Intimacy_RewardTip_12001,
12001,2,80,T_Intimacy_RewardTip_12001_1,
12001,3,120,T_Intimacy_RewardTip_12001_2,
12001,4,160,T_Intimacy_RewardTip_12001_3,
12001,5,220,T_Intimacy_RewardTip_12001_4,
12001,6,280,T_Intimacy_RewardTip_12001_5,
12001,7,400,T_Intimacy_RewardTip_12001_6,
12001,8,560,T_Intimacy_RewardTip_12001_7,
12001,9,800,T_Intimacy_RewardTip_12001_8,
12001,10,1120,T_Intimacy_RewardTip_12001_9,
12001,11,1600,T_Intimacy_RewardTip_12001_10,
12001,12,2100,T_Intimacy_RewardTip_1001_11,
12001,13,2100,T_Intimacy_RewardTip_12001_12,
12001,14,2100,T_Intimacy_RewardTip_1001_13,
12001,15,,T_Intimacy_RewardTip_1001_14,
13001,1,40,T_Intimacy_RewardTip_13001,
13001,2,80,T_Intimacy_RewardTip_13001_1,
13001,3,120,T_Intimacy_RewardTip_13001_2,
13001,4,160,T_Intimacy_RewardTip_13001_3,
13001,5,220,T_Intimacy_RewardTip_13001_4,
13001,6,280,T_Intimacy_RewardTip_13001_5,
13001,7,400,T_Intimacy_RewardTip_13001_6,
13001,8,560,T_Intimacy_RewardTip_13001_7,
13001,9,800,T_Intimacy_RewardTip_13001_8,
13001,10,1120,T_Intimacy_RewardTip_13001_9,
13001,11,1600,T_Intimacy_RewardTip_13001_10,
13001,12,2100,T_Intimacy_RewardTip_1001_11,
13001,13,2100,T_Intimacy_RewardTip_13001_12,
13001,14,2100,T_Intimacy_RewardTip_1001_13,
13001,15,,T_Intimacy_RewardTip_1001_14,
14001,1,40,T_Intimacy_RewardTip_14001,
14001,2,80,T_Intimacy_RewardTip_14001_1,
14001,3,120,T_Intimacy_RewardTip_14001_2,
14001,4,160,T_Intimacy_RewardTip_14001_3,
14001,5,220,T_Intimacy_RewardTip_14001_4,
14001,6,280,T_Intimacy_RewardTip_14001_5,
14001,7,400,T_Intimacy_RewardTip_14001_6,
14001,8,560,T_Intimacy_RewardTip_14001_7,
14001,9,800,T_Intimacy_RewardTip_14001_8,
14001,10,1120,T_Intimacy_RewardTip_14001_9,
14001,11,1600,T_Intimacy_RewardTip_14001_10,
14001,12,2100,T_Intimacy_RewardTip_1001_11,
14001,13,2100,T_Intimacy_RewardTip_14001_12,
14001,14,2100,T_Intimacy_RewardTip_1001_13,
14001,15,,T_Intimacy_RewardTip_1001_14,
15001,1,40,T_Intimacy_RewardTip_15001,
15001,2,80,T_Intimacy_RewardTip_15001_1,
15001,3,120,T_Intimacy_RewardTip_15001_2,
15001,4,160,T_Intimacy_RewardTip_15001_3,
15001,5,220,T_Intimacy_RewardTip_15001_4,
15001,6,280,T_Intimacy_RewardTip_15001_5,
15001,7,400,,
15001,8,560,,
