Type,PlayerID,AttributeID,Part,Color,TotalLevel
1,3,1000001,3-6-7-8-11,0-1-2-3-4,1
1,3,1000002,3-6-7-8-11,0-1-2-3-4,2
1,3,1000003,3-6-7-8-11,0-1-2-3-4,3
1,3,1000004,3-6-7-8-11,0-1-2-3-4,4
1,3,1000005,3-6-7-8-11,0-1-2-3-4,5
1,3,1000006,3-6-7-8-11,0-1-2-3-4,6
1,3,1000007,3-6-7-8-11,0-1-2-3-4,7
1,3,1000008,3-6-7-8-11,0-1-2-3-4,8
1,3,1000009,3-6-7-8-11,0-1-2-3-4,9
1,3,1000010,3-6-7-8-11,0-1-2-3-4,10
1,3,1000011,3-6-7-8-11,0-1-2-3-4,11
1,3,1000012,3-6-7-8-11,0-1-2-3-4,12
1,3,1000013,3-6-7-8-11,0-1-2-3-4,13
1,3,1000014,3-6-7-8-11,0-1-2-3-4,14
1,3,1000015,3-6-7-8-11,0-1-2-3-4,15
1,3,1000016,3-6-7-8-11,0-1-2-3-4,16
1,3,1000017,3-6-7-8-11,0-1-2-3-4,17
1,3,1000018,3-6-7-8-11,0-1-2-3-4,18
1,3,1000019,3-6-7-8-11,0-1-2-3-4,19
1,3,1000020,3-6-7-8-11,0-1-2-3-4,20
1,3,1000021,3-6-7-8-11,0-1-2-3-4,21
1,3,1000022,3-6-7-8-11,0-1-2-3-4,22
1,3,1000023,3-6-7-8-11,0-1-2-3-4,23
1,3,1000024,3-6-7-8-11,0-1-2-3-4,24
1,3,1000025,3-6-7-8-11,0-1-2-3-4,25
1,3,1000026,3-6-7-8-11,0-1-2-3-4,26
1,3,1000027,3-6-7-8-11,0-1-2-3-4,27
1,3,1000028,3-6-7-8-11,0-1-2-3-4,28
1,3,1000029,3-6-7-8-11,0-1-2-3-4,29
1,3,1000030,3-6-7-8-11,0-1-2-3-4,30
1,3,1000031,3-6-7-8-11,0-1-2-3-4,31
1,3,1000032,3-6-7-8-11,0-1-2-3-4,32
1,3,1000033,3-6-7-8-11,0-1-2-3-4,33
1,3,1000034,3-6-7-8-11,0-1-2-3-4,34
1,3,1000035,3-6-7-8-11,0-1-2-3-4,35
1,3,1000036,3-6-7-8-11,0-1-2-3-4,36
1,3,1000037,3-6-7-8-11,0-1-2-3-4,37
1,3,1000038,3-6-7-8-11,0-1-2-3-4,38
1,3,1000039,3-6-7-8-11,0-1-2-3-4,39
1,3,1000040,3-6-7-8-11,0-1-2-3-4,40
1,3,1000041,3-6-7-8-11,0-1-2-3-4,41
1,3,1000042,3-6-7-8-11,0-1-2-3-4,42
1,3,1000043,3-6-7-8-11,0-1-2-3-4,43
1,3,1000044,3-6-7-8-11,0-1-2-3-4,44
