SourceSkillID,0A
TriggerIndex,0B
StaticID,0C
EXP,0D
Name,0E
Equipments,0F
PassiveSkills,0G
_SkillHotKeyList,0H
_NormalSkillList,0I
ChargeSkillID,0J
ChangeSkillID,0K
Count,0L
_UID,0M
_StaticID,0N
_RadicalFrontID,0O
_RadicalBackID,0P
GemList,0Q
_OnlyItemAttributeData,0R
EquipRoleID,0S
HP_RATE,0T
ATK_RATE,0U
DEF_RATE,0V
SPD_RATE,0W
MAX_HP,0X
HP_RECOVER,0Y
ATTACK,0Z
Direction,1A
SkillID,1B
Position,1C
NetworkID,1D
Damage,1E
IsCriticalHit,1F
HitForce,1G
IsBUFF,1H
StatusIDList,1I
ProxyID,1J
DEFENSE,1K
SPEED,1L
Walk_Speed,1M
ATK_SPEED,1N
CRT_RATE,1O
MASTER_LIGHT,1P
MASTER_DARK,1Q
MASTER_FIRE,1R
MASTER_WATER,1S
MASTER_WIND,1T
MASTER_PHYSICAL,1U
RESIST_LIGHT,1V
RESIST_DARK,1W
RESIST_FIRE,1X
RESIST_WATER,1Y
RESIST_WIND,1Z
RESIST_PHYSICAL,2A
WEIGHT,2B
VAMPIRE,2C
CDTIME_CHANGE,2D
Scale,2E
EmbedHole,2F
SKILLUP,2G
BONUS_SKILL,2H
_AttributeStaticData,2I
BONUS_SKILLs,2J
RadicalDataFront,2K
ItemID,2L
EquipID,2M
PetID,2N
m_DistributionID,2O
RadicalDataBack,2P
RuneID,2Q
SkillStaticID,2R
m_DistributionValue,2S
CheckDef,2T
CheckIAS,2U
FightValueByAttribute,2V
IgnoreAttrs,2W
Strength,2X
Stamina,2Y
ImmunityStatusAnimationLimitType,2Z
DamageReduce,3A
Friction,3B
EquipItems,3C
SkillItems,3D
EquipingPet,3E
Level,3F
FeelLevel,3G
MASTER_THUNDER,3H
RESIST_THUNDER,3I
CRT_Value,3J
CRT_DMG_Rate,3K
CRT_DMG_Value,3L
CRT_Resist_Rate,3M
CRT_Resist_Value,3N
IRT_VALUE,3O
PetFeelProduct,3P
IsLock,3Q
IsNew,3R
CustomStoreData,3S
ImageBase64,3T
StoreList,3U
ShowIndex,3V
GiftID,3W
Type,3X
IsLimitTime,3Y
StartTime,3Z
EndTime,4A
ResetInterval,4B
BuyLimit,4C
LevelLimit,4D
IconBase64,4E
GROUP,4F
MINCOUNT,4G
MAXCOUNT,4H
PROBABILITY,4I
DropList,4J
StoreID,4K
BuyCount,4L
AccumulateBuyCount,4M
LastReset,4N
RecordList,4O
GiftList,4P
Result,4Q
Record,4R
CreateTime,4S
Rewarded,4T
QuestProgress,4U
QuestList,4V
QuestID,4W
GetQuestTime,4X
ChatDatas,4Y
ChatMsg,4Z
MsgType,5A
SenderAccountID,5B
SenderName,5C
SenderHeadPic,5D
SenderHeadFrame,5E
Guild,5F
Content,5G
RoomID,5H
RoomLevel,5I
MarqueeMsg,5J
Interval,5K
StartDay,5L
EndDay,5M
LoopDay,5N
MainAttrID,5O
RuneData,5P
SubAttrMap,5Q
PetData,5R
Awakened,5S
Feeling,5T
GemItemIDList,5U
EmptyHoles,5V
EquipData,5W
Activity,5X
RetryCount,5Y
Time,5Z
SocialInfo,6A
FBID,6B
FBName,6C
GoogleAdsID,6D
AppleIDFA,6E
GoogleID,6F
AppleID,6G
ZhuiquID,6H
CNChannel,6I
CNZbid,6J
Money,6K
FreeGold,6L
RealGold,6M
AccumulateGold,6N
AccumulateBuyGoldPrice,6O
Energy,6P
FightValue,6Q
LastLogin,6R
PlayTime,6S
BagItemCount,6T
AddBagCount,6U
LastEnergyTime,6V
HeadPic,6W
HeadFrame,6X
TouchHead,6Y
LastTouchHeadTime,6Z
PetAddMaxEnergy,7A
GName,7B
GuildEnergy,7C
GuildBossContainer,7D
StoreSummonSpecialList,7E
Discount,7F
IsSpecialDrop,7G
ShowType,7H
ShowID,7I
OneStoreID,7J
TenStoreID,7K
TenStoreTip,7L
ShowBonusPlus,7M
StoreProducts,7N
Products,7O
ResetCount,7P
Scenes,7Q
SceneID,7R
StarString,7S
ToDayTimes,7T
PveDmgRate,7U
ClassID,7V
GetRewards,7W
FreeCount,7X
SpCount,7Y
ItemCount,7Z
LastBuyTime,8A
LastFreeTime,8B
NowGold,8C
NowMoney,8D
UseFreeExchangeItem,8E
ItemList,8F
EventList,8G
CNChannelLimit,8H
IsTimeLimit,8I
IsOpen,8J
Desc,8K
BannerBase64,8L
EventID,8M
RewardGroup,8N
Exchanged,8O
FriendCode,8P
InviteRewards,8Q
Friends,8R
FriendCount,8S
LastGift,8T
TargetAID,8U
GuildName,8V
InviteCount,8W
AskList,8X
BlackList,8Y
MarqueeMessages,8Z
