LEVEL,NEEDEXP,ItemEXP
1,,
2,282,100
3,628,200
4,1028,300
5,1497,500
6,2035,600
7,2617,800
8,3239,1100
9,3989,1400
10,4779,1700
11,5608,2000
12,6474,2300
13,7375,2700
14,8310,3000
15,9278,4000
16,10278,4000
17,11308,5000
18,12368,5000
19,13501,6000
20,14663,6000
21,15854,7000
22,17073,8000
23,18319,8000
24,19592,9000
25,20892,10000
26,22217,11000
27,23567,11000
28,25032,12000
29,26485,13000
30,27963,14000
31,29466,15000
32,30993,16000
33,32544,17000
34,34118,18000
35,35715,19000
36,37335,20000
37,39038,21000
38,40764,22000
39,42512,23000
40,44282,25000
41,46074,26000
42,47888,27000
43,49724,28000
44,51581,30000
45,53459,31000
46,55425,33000
47,57413,34000
48,59422,35000
49,61452,37000
50,63502,38000
51,65573,40000
52,67664,41000
53,69775,43000
54,71906,45000
55,74130,46000
56,76374,48000
57,78638,50000
58,80922,51000
59,83226,53000
60,85549,55000
61,87892,57000
62,90254,59000
63,92635,61000
64,95115,63000
65,97614,65000
66,100132,67000
67,102669,69000
68,105225,71000
69,107800,73000
70,110393,75000
