ID,CHT,CHS,ENG,JPN,RUS,KOR,FRA,SPA,DEU
900001_S,Icon/Images09_Activity/Activity_StoreBtn_Girl_P002_TW,Icon/Images09_Activity/Activity_StoreBtn_Girl_P002_CN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P002_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P002_JP,Icon/Images09_Activity/Activity_StoreBtn_Girl_P002_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P002_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P002_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P002_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P002_EN
900002_S,Icon/Images09_Activity/Activity_StoreBtn_Girl_P009_TW,Icon/Images09_Activity/Activity_StoreBtn_Girl_P009_CN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P009_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P009_JP,Icon/Images09_Activity/Activity_StoreBtn_Girl_P009_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P009_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P009_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P009_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P009_EN
900003_S,Icon/Images09_Activity/Activity_StoreBtn_Girl_P010_TW,Icon/Images09_Activity/Activity_StoreBtn_Girl_P010_CN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P010_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P010_JP,Icon/Images09_Activity/Activity_StoreBtn_Girl_P010_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P010_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P010_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P010_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P010_EN
900004_S,Icon/Images09_Activity/Activity_StoreBtn_Girl_P011_TW,Icon/Images09_Activity/Activity_StoreBtn_Girl_P011_CN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P011_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P011_JP,Icon/Images09_Activity/Activity_StoreBtn_Girl_P011_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P011_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P011_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P011_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P011_EN
900005_S,Icon/Images09_Activity/Activity_StoreBtn_Girl_P012_TW,Icon/Images09_Activity/Activity_StoreBtn_Girl_P012_CN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P012_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P012_JP,Icon/Images09_Activity/Activity_StoreBtn_Girl_P012_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P012_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P012_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P012_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P012_EN
900006_S,Icon/Images09_Activity/Activity_StoreBtn_Girl_P013_TW,Icon/Images09_Activity/Activity_StoreBtn_Girl_P013_CN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P013_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P013_JP,Icon/Images09_Activity/Activity_StoreBtn_Girl_P013_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P013_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P013_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P013_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P013_EN
900007_S,Icon/Images09_Activity/Activity_StoreBtn_Girl_P014_TW,Icon/Images09_Activity/Activity_StoreBtn_Girl_P014_CN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P014_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P014_JP,Icon/Images09_Activity/Activity_StoreBtn_Girl_P014_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P014_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P014_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P014_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P014_EN
900008_S,Icon/Images09_Activity/Activity_StoreBtn_Girl_P015_TW,Icon/Images09_Activity/Activity_StoreBtn_Girl_P015_CN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P015_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P015_JP,Icon/Images09_Activity/Activity_StoreBtn_Girl_P015_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P015_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P015_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P015_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P015_EN
900009_S,Icon/Images09_Activity/Activity_StoreBtn_Girl_P016_TW,Icon/Images09_Activity/Activity_StoreBtn_Girl_P016_CN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P016_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P016_JP,Icon/Images09_Activity/Activity_StoreBtn_Girl_P016_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P016_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P016_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P016_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P016_EN
900010_S,Icon/Images09_Activity/Activity_StoreBtn_Girl_P017_TW,Icon/Images09_Activity/Activity_StoreBtn_Girl_P017_CN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P017_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P017_JP,Icon/Images09_Activity/Activity_StoreBtn_Girl_P017_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P017_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P017_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P017_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P017_EN
900011_S,Icon/Images09_Activity/Activity_StoreBtn_Girl_P018_TW,Icon/Images09_Activity/Activity_StoreBtn_Girl_P018_CN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P018_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P018_JP,Icon/Images09_Activity/Activity_StoreBtn_Girl_P018_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P018_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P018_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P018_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P018_EN
900012_S,Icon/Images09_Activity/Activity_StoreBtn_Girl_P019_TW,Icon/Images09_Activity/Activity_StoreBtn_Girl_P019_CN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P019_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P019_JP,Icon/Images09_Activity/Activity_StoreBtn_Girl_P019_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P019_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P019_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P019_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P019_EN
900013_S,Icon/Images09_Activity/Activity_StoreBtn_Girl_P020_TW,Icon/Images09_Activity/Activity_StoreBtn_Girl_P020_CN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P020_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P020_JP,Icon/Images09_Activity/Activity_StoreBtn_Girl_P020_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P020_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P020_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P020_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P020_EN
900014_S,Icon/Images09_Activity/Activity_StoreBtn_Girl_P021_TW,Icon/Images09_Activity/Activity_StoreBtn_Girl_P021_CN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P021_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P021_JP,Icon/Images09_Activity/Activity_StoreBtn_Girl_P021_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P021_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P021_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P021_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P021_EN
900015_S,Icon/Images09_Activity/Activity_StoreBtn_Girl_P022_TW,Icon/Images09_Activity/Activity_StoreBtn_Girl_P022_CN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P022_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P022_JP,Icon/Images09_Activity/Activity_StoreBtn_Girl_P022_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P022_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P022_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P022_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P022_EN
