RoleID,ItemID,StoreID,QuestID,ATTRIBUTE_ID,NormalSkills,Skills,ConditionDescription,RewardDescription,SkillDescription,VersionControls
1001,350201,400008,401,102,1001-1002-1003,1006-1007,T_Marry_ConditionDescription_1001,T_Marry_RewardDescription_1001,T_Marry_SkillDescription_1001,292-108
2001,350204,400011,408,202,2001-2002-2003,2006-2007,T_Marry_ConditionDescription_1001,T_Marry_RewardDescription_1001,T_Marry_SkillDescription_2001,310-108
3001,350205,400012,405,302,3001-3002-3003,3006-3007,T_Marry_ConditionDescription_1001,T_Marry_RewardDescription_1001,T_Marry_SkillDescription_3001,311-108
4001,350206,400013,406,402,4001-4002-4003,4006-4007,T_Marry_ConditionDescription_1001,T_Marry_RewardDescription_1001,T_Marry_SkillDescription_4001,312-108
5001,350202,400009,402,502,5001-5002-5003,5006-5007,T_Marry_ConditionDescription_1001,T_Marry_RewardDescription_1001,T_Marry_SkillDescription_5001,293-108
6001,350207,400014,407,602,6001-6002-6003,6006-6007,T_Marry_ConditionDescription_1001,T_Marry_RewardDescription_1001,T_Marry_SkillDescription_6001,313-108
7001,350203,400010,403,702,7001-7002-7003,7006-7007,T_Marry_ConditionDescription_1001,T_Marry_RewardDescription_1001,T_Marry_SkillDescription_7001,294-108
8001,350208,400015,404,802,8001-8002-8003,8006-8007,T_Marry_ConditionDescription_1001,T_Marry_RewardDescription_1001,T_Marry_SkillDescription_8001,314-108
9001,350209,400016,410,902,9001-9002-9003,9006-9007,T_Marry_ConditionDescription_1001,T_Marry_RewardDescription_1001,T_Marry_SkillDescription_9001,315-108
10001,350210,400017,411,10002,10001-10002-10003,10006-10007,T_Marry_ConditionDescription_1001,T_Marry_RewardDescription_1001,T_Marry_SkillDescription_10001,316-108
11001,350211,400018,409,11002,11001-11002-11003,11006-11007,T_Marry_ConditionDescription_1001,T_Marry_RewardDescription_1001,T_Marry_SkillDescription_11001,317-108
12001,350212,400019,412,12002,12001-12002-12003,12006-12007,T_Marry_ConditionDescription_1001,T_Marry_RewardDescription_1001,T_Marry_SkillDescription_12001,318-108
13001,350213,400020,413,13002,13001-13002-13003,13006-13007,T_Marry_ConditionDescription_1001,T_Marry_RewardDescription_1001,T_Marry_SkillDescription_13001,321-108
14001,350214,400021,414,14002,14001-14002-14003,14006-14007,T_Marry_ConditionDescription_1001,T_Marry_RewardDescription_1001,T_Marry_SkillDescription_14001,322-108
15001,350215,400022,415,15002,15001-15002-15003,15006-15007,T_Marry_ConditionDescription_1001,T_Marry_RewardDescription_1001,T_Marry_SkillDescription_15001,323-108
16001,350216,400023,416,16002,16001-16002-16003,16006-16007,T_Marry_ConditionDescription_1001,T_Marry_RewardDescription_1001,T_Marry_SkillDescription_16001,331-108
17001,350217,400024,417,17002,17001-17002-17003,17006-17007,T_Marry_ConditionDescription_1001,T_Marry_RewardDescription_1001,T_Marry_SkillDescription_17001,334-108
18001,350218,400025,418,18002,18001-18002-18003,18006-18007,T_Marry_ConditionDescription_1001,T_Marry_RewardDescription_1001,T_Marry_SkillDescription_18001,338-108
19001,350219,400026,419,19002,19001-19002-19003,19006-19007,T_Marry_ConditionDescription_1001,T_Marry_RewardDescription_1001,T_Marry_SkillDescription_19001,340-108
20001,350220,400027,420,20002,20001-20002-20003,20006-20007,T_Marry_ConditionDescription_1001,T_Marry_RewardDescription_1001,T_Marry_SkillDescription_20001,342-108
21001,350221,400028,421,21002,21001-21002-21003,21006-21007,T_Marry_ConditionDescription_1001,T_Marry_RewardDescription_1001,T_Marry_SkillDescription_21001,344-108
22001,350222,400029,422,22002,22001-22002-22003,22006-22007,T_Marry_ConditionDescription_1001,T_Marry_RewardDescription_1001,T_Marry_SkillDescription_22001,346-108
90001,350290,400030,490,90002,90001-90002-90003,90006-90007,T_Marry_ConditionDescription_1001,T_Marry_RewardDescription_1001,T_Marry_SkillDescription_90001,348-108
91001,350291,400031,491,91002,91001-91002-91003,91006-91007,T_Marry_ConditionDescription_1001,T_Marry_RewardDescription_1001,T_Marry_SkillDescription_91001,501-108
23001,350223,400032,423,23002,23001-23002-23003,23006-23007,T_Marry_ConditionDescription_1001,T_Marry_RewardDescription_1001,T_Marry_SkillDescription_23001,503-108
24001,350224,400033,424,24002,24001-24002-24003,24006-24007,T_Marry_ConditionDescription_1001,T_Marry_RewardDescription_1001,T_Marry_SkillDescription_24001,505-108
25001,350225,400034,425,25002,25001-25002-25003,25006-25007,T_Marry_ConditionDescription_1001,T_Marry_RewardDescription_1001,T_Marry_SkillDescription_25001,507-108
26001,350226,400035,426,26002,26001-26002-26003,26006-26007,T_Marry_ConditionDescription_1001,T_Marry_RewardDescription_1001,T_Marry_SkillDescription_26001,509-108
27001,350227,400036,427,27002,27001-27002-27003,27006-27007,T_Marry_ConditionDescription_1001,T_Marry_RewardDescription_1001,T_Marry_SkillDescription_27001,511-108-59
28001,350228,400037,428,28002,28001-28002-28003,28006-28007,T_Marry_ConditionDescription_1001,T_Marry_RewardDescription_1001,T_Marry_SkillDescription_28001,513-108
29001,350229,400038,429,29002,29001-29002-29003,29006-29007,T_Marry_ConditionDescription_1001,T_Marry_RewardDescription_1001,T_Marry_SkillDescription_29001,515-108
30001,350230,400039,430,30002,30001-30002-30003,30006-30007,T_Marry_ConditionDescription_1001,T_Marry_RewardDescription_1001,T_Marry_SkillDescription_30001,517-108
31001,350231,400040,431,31002,31001-31002-31003,31006-31007,T_Marry_ConditionDescription_1001,T_Marry_RewardDescription_1001,T_Marry_SkillDescription_31001,519-108
32001,350232,400041,432,32002,32001-32002-32003,32006-32007,T_Marry_ConditionDescription_1001,T_Marry_RewardDescription_1001,T_Marry_SkillDescription_32001,521-108
33001,350233,400042,433,33002,33001-33002-33003,33006-33007,T_Marry_ConditionDescription_1001,T_Marry_RewardDescription_1001,T_Marry_SkillDescription_33001,523-108
34001,350234,400043,434,34002,34001-34002-34003,34006-34007,T_Marry_ConditionDescription_1001,T_Marry_RewardDescription_1001,T_Marry_SkillDescription_34001,525-108
35001,350235,400044,435,35002,35001-35002-35003,35006-35007,T_Marry_ConditionDescription_1001,T_Marry_RewardDescription_1001,T_Marry_SkillDescription_35001,527-108
36001,350236,400045,436,36002,36001-36002-36003,36006-36007,T_Marry_ConditionDescription_1001,T_Marry_RewardDescription_1001,T_Marry_SkillDescription_36001,529-108
37001,350237,400046,437,37002,37001-37002-37003,37006-37007,T_Marry_ConditionDescription_1001,T_Marry_RewardDescription_1001,T_Marry_SkillDescription_37001,531-108
38001,350238,400047,438,38002,38001-38002-38003,38006-38007,T_Marry_ConditionDescription_1001,T_Marry_RewardDescription_1001,T_Marry_SkillDescription_38001,533-108
