ID,Type,Group,NameKey,ItemIDs,SpecialItemIDs,Count,DropID,ExtraDropIDs,PriceItemID,Price,PrefabID,PrevStepID,IAPID,ResetType,ResetInterval,BuyLimit,LoginHourLimit,FreeInterval,FreeCumulative,FreeBuyLimit,BeginFree,VipLevel,ValueFunction,Value,Activity,VersionControls
910001,4,,T_NewStore_NameKey_910001,910001,9100011-9100012,,,,2,2700,,,,,,,,,,,,,,10,,
910002,4,,T_NewStore_NameKey_910002,910002,9100021-9100022,,,,2,2700,,,,,,,,,,,,,,10,,
910003,4,,T_NewStore_NameKey_910003,910003,9100031-9100032,,,,2,2700,,,,,,,,,,,,,,10,,
910004,4,,T_NewStore_NameKey_910004,910004,9100041-9100042,,,,2,2700,,,,,,,,,,,,,,10,,
910005,4,,T_NewStore_NameKey_910005,910005,9100051-9100052,,,,2,2700,,,,,,,,,,,,,,10,,
910006,4,,T_NewStore_NameKey_910006,910006,9100061-9100062,,,,2,2700,,,,,,,,,,,,,,10,,
910007,4,,T_NewStore_NameKey_910007,910007,9100071-9100072,,,,2,2700,,,,,,,,,,,,,,10,,
910008,4,,T_NewStore_NameKey_910008,910008,9100081-9100082,,,,2,2700,,,,,,,,,,,,,,10,,
910009,4,,T_NewStore_NameKey_910009,910009,9100091-9100092,,,,2,2700,,,,,,,,,,,,,,10,,
910010,4,,T_NewStore_NameKey_910010,910010,9100101-9100102,,,,2,2700,,,,,,,,,,,,,,10,,
910011,4,,T_NewStore_NameKey_910011,910011,9100111-9100112,,,,2,2700,,,,,,,,,,,,,,10,,
910012,4,,T_NewStore_NameKey_910012,910012,9100121-9100122,,,,2,2700,,,,,,,,,,,,,,10,,
910013,4,,T_NewStore_NameKey_910013,910013,9100131-9100132,,,,2,2700,,,,,,,,,,,,,,10,,
910014,4,,T_NewStore_NameKey_910014,910014,9100141-9100142,,,,2,2700,,,,,,,,,,,,,,10,,
910015,4,,T_NewStore_NameKey_910015,910015,9100151-9100152,,,,2,2700,,,,,,,,,,,,,,10,,
910016,4,,T_NewStore_NameKey_910016,910016,9100161-9100162,,,,2,2700,,,,,,,,,,,,,,10,,
910017,4,,T_NewStore_NameKey_910017,910017,9100171-9100172,,,,2,2700,,,,,,,,,,,,,,10,,
910018,4,,T_NewStore_NameKey_910018,910018,9100181-9100182,,,,2,2700,,,,,,,,,,,,,,10,,
910019,4,,T_NewStore_NameKey_910019,910019,9100191-9100192,,,,2,2700,,,,,,,,,,,,,,10,,
910020,4,,T_NewStore_NameKey_910020,910020,9100201-9100202,,,,2,2700,,,,,,,,,,,,,,10,,
910021,4,,T_NewStore_NameKey_910021,910021,9100211-9100212,,,,2,2700,,,,,,,,,,,,,,10,,
910022,4,,T_NewStore_NameKey_910022,910022,9100221-9100222,,,,2,2700,,,,,,,,,,,,,,10,,
910023,4,,T_NewStore_NameKey_910023,910023,9100231-9100232,,,,2,2700,,,,,,,,,,,,,,10,,
910024,4,,T_NewStore_NameKey_910024,910024,9100241-9100242,,,,2,2700,,,,,,,,,,,,,,10,,
910025,4,,T_NewStore_NameKey_910025,910025,9100251-9100252,,,,2,2700,,,,,,,,,,,,,,10,,
910026,4,,T_NewStore_NameKey_910026,910026,9100261-9100262,,,,2,2700,,,,,,,,,,,,,,10,,
910027,4,,T_NewStore_NameKey_910027,910027,9100271-9100272,,,,2,2700,,,,,,,,,,,,,,10,,
910028,4,,T_NewStore_NameKey_910028,910028,9100281-9100282,,,,2,2700,,,,,,,,,,,,,,10,,
910029,4,,T_NewStore_NameKey_910029,910029,9100291-9100292,,,,2,2700,,,,,,,,,,,,,,10,,
910030,4,,T_NewStore_NameKey_910030,910030,9100301-9100302,,,,2,2700,,,,,,,,,,,,,,10,,
910031,4,,T_NewStore_NameKey_910031,910031,9100311-9100312,,,,2,2700,,,,,,,,,,,,,,10,,
910032,4,,T_NewStore_NameKey_910032,910032,9100321-9100322,,,,2,2700,,,,,,,,,,,,,,10,,
910033,4,,T_NewStore_NameKey_910033,910033,9100331-9100332,,,,2,2700,,,,,,,,,,,,,,10,,
