ID,Title,IconS,IconL,TeachingID
1,T_ObtainWay_Title_1,,,
2,T_ObtainWay_Title_2,,,
3,T_ObtainWay_Title_3,,,
4,T_ObtainWay_Title_4,,,
5,T_ObtainWay_Title_5,,,
6,T_ObtainWay_Title_6,,,
7,T_ObtainWay_Title_7,,,
8,T_ObtainWay_Title_7,,,
9,T_ObtainWay_Title_9,,,
10,T_ObtainWay_Title_10,,,
11,T_ObtainWay_Title_11,,,
12,T_ObtainWay_Title_12,,,
13,T_ObtainWay_Title_13,,,
14,T_ObtainWay_Title_14,,,
15,T_ObtainWay_Title_15,,,
16,T_ObtainWay_Title_16,,,
17,T_ObtainWay_Title_17,,,
18,T_ObtainWay_Title_18,,,
19,T_ObtainWay_Title_19,,,
20,T_ObtainWay_Title_20,,,
21,T_ObtainWay_Title_21,,,60
22,T_ObtainWay_Title_22,,,13
23,T_ObtainWay_Title_23,,,
24,T_ObtainWay_Title_24,,,
25,T_ObtainWay_Title_25,,,
26,T_ObtainWay_Title_26,,,
27,T_ObtainWay_Title_27,,,
