SceneID,MinScore,MaxScore,DropID,IsWin
5,,100,206-205,TRUE
5,101,130,207-205,TRUE
5,131,160,208-205,TRUE
5,161,190,209-205,TRUE
5,191,220,210-205,TRUE
5,221,250,211-205,TRUE
5,251,280,212-205,TRUE
5,281,310,213-205,TRUE
5,311,340,214-205,TRUE
5,341,370,215-205,TRUE
5,371,400,216-205,TRUE
5,401,430,217-205,TRUE
5,431,9999,218-205,TRUE
5,,100,219,FALSE
5,101,130,220,FALSE
5,131,160,221,FALSE
5,161,190,222,FALSE
5,191,220,223,FALSE
5,221,250,224,FALSE
5,251,280,225,FALSE
5,281,310,226,FALSE
5,311,340,227,FALSE
5,341,370,228,FALSE
5,371,400,229,FALSE
5,401,430,230,FALSE
5,431,9999,231,FALSE
