PetID,ItemID,FavoriteRate
1,101,1
1,102,0.5
1,103,0.5
1,104,0.5
1,105,0.5
1,106,0.5
1,107,0.5
1,108,1
1,109,0.64
1,110,0.64
1,111,0.64
1,112,0.64
1,113,0.64
1,114,0.64
1,115,1
1,116,0.65
1,117,0.65
1,118,0.65
1,119,0.65
1,120,0.65
1,121,0.65
2,101,0.5
2,102,0.5
2,103,0.5
2,104,0.5
2,105,0.5
2,106,0.5
2,107,0.5
2,108,0.64
2,109,0.64
2,110,0.64
2,111,0.64
2,112,0.64
2,113,0.64
2,114,0.64
2,115,0.65
2,116,0.65
2,117,0.65
2,118,0.65
2,119,0.65
2,120,0.65
2,121,0.65
3,101,0.5
3,102,0.5
3,103,0.5
3,104,0.5
3,105,0.5
3,106,0.5
3,107,0.5
3,108,0.64
3,109,0.64
3,110,0.64
3,111,0.64
3,112,0.64
3,113,0.64
3,114,0.64
3,115,0.65
3,116,0.65
3,117,0.65
3,118,0.65
3,119,0.65
3,120,0.65
3,121,0.65
4,101,0.5
4,102,1
4,103,0.5
4,104,0.5
4,105,0.5
4,106,0.5
4,107,0.5
4,108,0.64
4,109,1
4,110,0.64
4,111,0.64
4,112,0.64
4,113,0.64
4,114,0.64
4,115,0.65
4,116,1
4,117,0.65
4,118,0.65
4,119,0.65
4,120,0.65
4,121,0.65
5,101,0.5
5,102,0.5
5,103,0.5
5,104,0.5
5,105,0.5
5,106,1
5,107,0.5
5,108,0.64
5,109,0.64
5,110,0.64
5,111,0.64
5,112,0.64
5,113,1
5,114,0.64
5,115,0.65
5,116,0.65
5,117,0.65
5,118,0.65
5,119,0.65
5,120,1
5,121,0.65
6,101,0.5
6,102,1
6,103,0.5
6,104,0.5
6,105,0.5
6,106,0.5
6,107,0.5
6,108,0.64
6,109,1
6,110,0.64
6,111,0.64
6,112,0.64
6,113,0.64
6,114,0.64
6,115,0.65
6,116,1
6,117,0.65
6,118,0.65
6,119,0.65
6,120,0.65
6,121,0.65
7,101,0.5
7,102,0.5
7,103,1
7,104,0.5
7,105,0.5
7,106,0.5
7,107,0.5
7,108,0.64
7,109,0.64
7,110,1
7,111,0.64
7,112,0.64
7,113,0.64
7,114,0.64
7,115,0.65
7,116,0.65
7,117,1
7,118,0.65
7,119,0.65
7,120,0.65
7,121,0.65
8,101,1
8,102,0.5
8,103,0.5
8,104,0.5
8,105,0.5
8,106,0.5
8,107,0.5
8,108,1
8,109,0.64
8,110,0.64
8,111,0.64
8,112,0.64
8,113,0.64
8,114,0.64
8,115,1
8,116,0.65
8,117,0.65
8,118,0.65
8,119,0.65
8,120,0.65
8,121,0.65
9,101,0.5
9,102,0.5
9,103,1
9,104,0.5
9,105,0.5
9,106,0.5
9,107,0.5
9,108,0.64
9,109,0.64
9,110,1
9,111,0.64
9,112,0.64
9,113,0.64
9,114,0.64
9,115,0.65
9,116,0.65
9,117,1
9,118,0.65
9,119,0.65
9,120,0.65
9,121,0.65
10,101,0.5
10,102,0.5
10,103,1
10,104,0.5
10,105,0.5
10,106,0.5
10,107,0.5
10,108,0.64
10,109,0.64
10,110,1
10,111,0.64
10,112,0.64
10,113,0.64
10,114,0.64
10,115,0.65
10,116,0.65
10,117,1
10,118,0.65
10,119,0.65
10,120,0.65
10,121,0.65
11,101,1
11,102,0.5
11,103,0.5
11,104,0.5
11,105,0.5
11,106,0.5
11,107,0.5
11,108,1
11,109,0.64
11,110,0.64
11,111,0.64
11,112,0.64
11,113,0.64
11,114,0.64
11,115,1
11,116,0.65
11,117,0.65
11,118,0.65
11,119,0.65
11,120,0.65
11,121,0.65
12,101,0.5
12,102,0.5
12,103,0.5
12,104,0.5
12,105,0.5
12,106,0.5
12,107,1
12,108,0.64
