ID,SkillID,Index,PreIndex,PetClassNeed,FriendValueNeed,PetFractionCost,MoneyCost,LightCost,DarkCost,FireCost,IceCost,WindCost,ThunderCost,RainbowCost,AutoLearn
1,101001,1,,,,,,,,,,,,,1
1,101002,2,,,,,500,,,,,,,,
1,101003,3,,,,,500,,,,,,,,
1,101004,4,,,,,500,,,,,,,,
1,101005,5,1,,,,1000,,,,,,,,
1,101006,6,3,,,,1000,,,,,,,,
1,101007,7,4,,,,500,,,,,,,,
1,101008,8,5,,40,15,800,,,,,,,1,
1,101009,9,5,,40,15,800,,,,,,,1,
1,101010,10,2,,40,15,2000,,,,,,,3,
1,101011,11,6,,40,15,800,,,,,,,1,
1,101012,12,6,,40,15,800,,,,,,,1,
1,101013,13,7,,40,15,2000,,,,,,,3,
1,101014,14,9,,70,17,900,,,,,,,2,
1,101015,15,10,,70,17,2000,,,,,,,5,
1,101016,16,10,,70,17,900,,,,,,,2,
1,101017,17,11,,70,17,2000,,,,,,,5,
1,101018,18,13,,70,17,900,,,,,,,2,
1,101019,19,13,,70,17,900,,,,,,,2,
1,101020,20,8,,70,17,2000,,,,,,,5,
1,201001,21,20,4,120,15,3000,,,,,,,2,
1,201002,22,20,4,120,15,3000,,,,,,,2,
1,201003,23,14,4,120,15,3000,,,,,,,2,
1,201004,24,15,4,120,15,3000,,,,,,,2,
1,201005,25,15,4,120,15,3000,,,,,,,2,
1,201006,26,16,4,120,15,3000,,,,,,,2,
1,201007,27,17,4,120,15,3000,,,,,,,2,
1,201008,28,17,4,120,15,3000,,,,,,,2,
1,201009,29,18,4,120,15,6000,,,,,,,3,
1,201010,30,19,4,120,15,3000,,,,,,,2,
1,201011,31,21,4,120,15,6000,,,,,,,3,
1,201012,32,23,4,120,15,6000,,,,,,,3,
1,201013,33,24,4,120,15,3000,,,,,,,2,
1,201014,34,26,4,120,15,6000,,,,,,,3,
1,201015,35,31,4,250,23,5000,,,,,,,3,
1,201016,36,31,4,250,23,5000,,,,,,,3,
1,201017,37,22,4,250,23,10000,,,,,,,6,
1,201018,38,32,4,250,23,5000,,,,,,,3,
1,201019,39,32,4,250,23,5000,,,,,,,3,
1,201020,40,33,4,250,23,10000,,,,,,,6,
1,201021,41,25,4,250,23,10000,,,,,,,6,
1,201022,42,34,4,250,23,5000,,,,,,,3,
1,201023,43,34,4,250,23,5000,,,,,,,3,
1,201024,44,28,4,250,23,10000,,,,,,,6,
1,201025,45,29,4,250,23,5000,,,,,,,3,
1,201026,46,29,4,250,23,5000,,,,,,,3,
1,201027,47,37,4,400,25,6000,,,,,,,3,
1,201028,48,37,4,400,25,6000,,,,,,,3,
1,201029,49,38,4,400,25,15000,,,,,,,8,
1,201030,50,39,4,400,25,15000,,,,,,,8,
1,201031,51,40,4,400,25,6000,,,,,,,3,
1,201032,52,40,4,400,25,6000,,,,,,,3,
1,201033,53,41,4,400,25,6000,,,,,,,3,
1,201034,54,41,4,400,25,6000,,,,,,,3,
1,201035,55,43,4,400,25,15000,,,,,,,8,
1,201036,56,44,4,400,25,6000,,,,,,,3,
