ID,UnlockTip,RoleCondition,ItemCondition,SkinCondition,IntimacyLV
1,T_Puzzle_UnlockTip_1,1001,,,1
2,T_Puzzle_UnlockTip_1,1001,,,1
3,T_Puzzle_UnlockTip_1,1001,,,1
7,T_Puzzle_UnlockTip_7,1001,,,6
8,T_Puzzle_UnlockTip_8,1001,,,7
9,T_Puzzle_UnlockTip_9,1001,,,8
10,T_Puzzle_UnlockTip_10,1001,,,9
11,T_Puzzle_UnlockTip_11,1001,,,10
12,T_Puzzle_UnlockTip_12,1001,,2-4,
137,T_Puzzle_UnlockTip_137,1001,,,13
138,T_Puzzle_UnlockTip_138,1001,,,13
139,T_Puzzle_UnlockTip_139,1001,,3-4,
140,T_Puzzle_UnlockTip_12,1001,,3-4,
13,T_Puzzle_UnlockTip_13,2001,,,1
14,T_Puzzle_UnlockTip_14,2001,,,2
15,T_Puzzle_UnlockTip_15,2001,,,3
16,T_Puzzle_UnlockTip_16,2001,,,4
17,T_Puzzle_UnlockTip_17,2001,,,5
18,T_Puzzle_UnlockTip_18,2001,,,6
19,T_Puzzle_UnlockTip_19,2001,,,7
20,T_Puzzle_UnlockTip_20,2001,,,8
21,T_Puzzle_UnlockTip_21,2001,,,9
22,T_Puzzle_UnlockTip_22,2001,,,10
23,T_Puzzle_UnlockTip_23,2001,,,11
24,T_Puzzle_UnlockTip_12,2001,,2-4,
157,T_Puzzle_UnlockTip_157,2001,,,13
158,T_Puzzle_UnlockTip_158,2001,,,13
159,T_Puzzle_UnlockTip_139,2001,,3-4,
160,T_Puzzle_UnlockTip_12,2001,,3-4,
25,T_Puzzle_UnlockTip_25,3001,,,1
26,T_Puzzle_UnlockTip_26,3001,,,2
27,T_Puzzle_UnlockTip_27,3001,,,3
28,T_Puzzle_UnlockTip_28,3001,,,4
29,T_Puzzle_UnlockTip_29,3001,,,5
30,T_Puzzle_UnlockTip_30,3001,,,6
31,T_Puzzle_UnlockTip_31,3001,,,7
32,T_Puzzle_UnlockTip_32,3001,,,8
33,T_Puzzle_UnlockTip_33,3001,,,9
34,T_Puzzle_UnlockTip_34,3001,,,10
35,T_Puzzle_UnlockTip_35,3001,,,11
36,T_Puzzle_UnlockTip_12,3001,,2-4,
133,T_Puzzle_UnlockTip_133,3001,,,13
134,T_Puzzle_UnlockTip_134,3001,,,13
135,T_Puzzle_UnlockTip_139,3001,,3-4,
136,T_Puzzle_UnlockTip_12,3001,,3-4,
37,T_Puzzle_UnlockTip_37,4001,,,1
38,T_Puzzle_UnlockTip_38,4001,,,2
39,T_Puzzle_UnlockTip_39,4001,,,3
40,T_Puzzle_UnlockTip_40,4001,,,4
41,T_Puzzle_UnlockTip_41,4001,,,5
42,T_Puzzle_UnlockTip_42,4001,,,6
43,T_Puzzle_UnlockTip_43,4001,,,7
44,T_Puzzle_UnlockTip_44,4001,,,8
45,T_Puzzle_UnlockTip_45,4001,,,9
46,T_Puzzle_UnlockTip_46,4001,,,10
47,T_Puzzle_UnlockTip_47,4001,,,11
48,T_Puzzle_UnlockTip_12,4001,,2-4,
161,T_Puzzle_UnlockTip_161,4001,,,13
162,T_Puzzle_UnlockTip_162,4001,,,13
163,T_Puzzle_UnlockTip_139,4001,,3-4,
164,T_Puzzle_UnlockTip_12,4001,,3-4,
