ID,Type,StringValue,Value,Condition,Value2,CheckItems,PreTasks,SortValue,MainType,Group,VipLimit,SteamAchievement,TypeString,Title,Info,Icon,Days,ResetType,Activity,Drop,VersionControls
1,16,,1,>=,,,,,,1,,,,T_Quest_Title_1,T_Quest_Info_1,,1,,,400001,
25,11,,5,>=,,,,,,1,,,,T_Quest_Title_25,T_Quest_Info_25,,1,,,2ndDrop001,132
26,11,,20,>=,,,,,,1,,,,T_Quest_Title_26,T_Quest_Info_26,,1,,,2022NYQuest001,131
21,16,,1,>=,,,,,,1,1,,,T_Quest_Title_21,T_Quest_Info_1,,1,,,400051,59
2,11,,5,>=,,,,,,1,,,,T_Quest_Title_1,T_Quest_Info_25,,1,,,400002,113
22,11,,5,>=,,,,,,1,3,,,T_Quest_Title_22,T_Quest_Info_25,,1,,,400052,59
17,11,,10,>=,,,,,,1,,,,T_Quest_Title_1,T_Quest_Info_17,,1,,,400018,113
23,11,,10,>=,,,,,,1,9,,,T_Quest_Title_23,T_Quest_Info_17,,1,,,400053,59
24,11,,10,>=,,,,,,1,12,,,T_Quest_Title_24,T_Quest_Info_17,,1,,,400058,59-62
3,15,,1,>=,,,,,,1,,,,T_Quest_Title_1,T_Quest_Info_3,,1,,,400003,113
4,13,,1,>=,,,,,,1,,,,T_Quest_Title_1,T_Quest_Info_4,,1,,,400004,113
5,11,,5,>=,,,,,,1,,,,T_Quest_Title_5,T_Quest_Info_25,,1,,,400006,112
6,15,,1,>=,,,,,,1,,,,T_Quest_Title_5,T_Quest_Info_3,,1,,,400007,112
7,13,,1,>=,,,,,,1,,,,T_Quest_Title_5,T_Quest_Info_4,,1,,,400008,112
8,38,,5,>=,,,,,,1,,,,T_Quest_Title_1,T_Quest_Info_8,,1,,,400009,12-113
20,40,,5,>=,,,,,,1,,,,T_Quest_Title_1,T_Quest_Info_20,,1,,,400047,113-53
9,11,,5,>=,,,,,,1,,,,T_Quest_Title_5,T_Quest_Info_25,,1,,,400010,151
18,11,,10,>=,,,,,,1,,,,T_Quest_Title_5,T_Quest_Info_17,,1,,,400019,151
10,15,,1,>=,,,,,,1,,,,T_Quest_Title_5,T_Quest_Info_3,,1,,,400011,151
11,13,,1,>=,,,,,,1,,,,T_Quest_Title_5,T_Quest_Info_4,,1,,,400012,151
12,38,,5,>=,,,,,,1,,,,T_Quest_Title_5,T_Quest_Info_8,,1,,,400013,151
13,11,,5,>=,,,,,,1,,,,T_Quest_Title_5,T_Quest_Info_25,,1,,,400014,152
19,11,,10,>=,,,,,,1,,,,T_Quest_Title_5,T_Quest_Info_17,,1,,,400020,152
14,15,,1,>=,,,,,,1,,,,T_Quest_Title_5,T_Quest_Info_3,,1,,,400015,152
