RoleID,TriggerID,DialogIDs,Sounds
1,fire,,P003_Attack-P003_blank_02-P003_blank_03
1,skill,,P003_C01-P003_C02-P003_C03-P003_blank_01-P003_blank_02-P003_blank_03
1,dead,,P003_training_02
1,dead_1,,P003_Story_09
2,fire,,P003_Attack-P003_blank_02-P003_blank_03
2,skill,,P003_C01-P003_C02-P003_C03-P003_blank_01-P003_blank_02-P003_blank_03
2,dead,,P003_training_02
2,dead_1,,P003_Story_09
1001,hit,100103-100104-100105-100106,P001_Overhit_02-P001_Overhit_03-P001_Overhit_01
1001,hit_1,,P001_Hit_01-P001_Hit_02-P001_Hit_03-P001_blank_01-P001_blank_02-P001_blank_03-P001_blank_01-P001_blank_02-P001_blank_03-P001_blank_01-P001_blank_02-P001_blank_03
1001,end,,P001_Break_01
1001,idel2,,P001_Training_01-P001_Training_02-P001_blank_01-P001_blank_02-P001_blank_03-P001_blank_01-P001_blank_02-P001_blank_03-P001_blank_01-P001_blank_02-P001_blank_03
1001,fire,,P001_Attack-P001_blank_02-P001_blank_03
1001,skill,,P001_C01-P001_C02-P001_C03-P001_blank_01-P001_blank_02-P001_blank_03
1001,dead,,P001_Story_07
1001,dead_1,,P001_Overhit_01
1001,levelup,,P001_Gift_01-P001_Gift_02
1001,mvp,,P001_Victory_01-P001_Victory_02
1001,sex_hit,,P001_Hit_01-P001_Hit_02-P001_Hit_03-P001_Story_01
1001,sex_loop,,P001_Story_04-P001_Story_05-P001_Story_06
1001,sex_end_01,,P001_Sex_End_01
1001,sex_end_02,,P001_Sex_End_02
1001,sex_end_03,,P001_Sex_End_02
1001,sex_end_04,,P001_Sex_End_04
1001,sex_idel,,P001_Sex_04-P001_Story_01
1001,sex_end_05,,P001_Sex_End_02
1001,marry_01,,P001_general_05
1001,marry_02,,P001_Dead_01
1001,marry_03,,UI_Star
1001,marry_04,,sys018
1001,sex_loop_06,,P001_Sex06_Loop_01-P001_Sex06_Loop_02
1001,sex_end_06_01,,P001_Sex_end_06_01
1001,sex_end_06_02,,P001_Training_01
1001,sex_end_06_03,,P001_Sex_end_06_04
1001,sex_end_06_04,,P001_general_04
1001,sex_idel_06,,P001_Story_01-P001_blank_01
1001,sex_hit_06,,P001_general_04-P001_blank_01-P001_blank_01
2001,hit,200103-200104-200105-200106,P002_Overhit_02-P002_Overhit_03-P002_Overhit_01
2001,hit_1,,P002_Hit_01-P002_Hit_02-P002_Hit_03-P002_blank_02-P002_blank_03-P002_blank_01-P002_blank_02-P002_blank_03-P002_blank_01-P002_blank_02-P002_blank_03
2001,end,,P002_Break_01
2001,idel2,,P002_Training_01-P002_Training_02-P002_blank_01-P002_blank_02-P002_blank_03-P002_blank_01-P002_blank_02-P002_blank_03-P002_blank_01-P002_blank_02-P002_blank_03
2001,fire,,P002_Attack-P002_blank_02-P002_blank_03
2001,skill,,P002_C01-P002_C02-P002_C03-P002_blank_01-P002_blank_02-P002_blank_03
2001,dead,,P002_Training_01
2001,dead_1,,P002_Break_01
2001,levelup,,P002_Gift_01-P002_Gift_02
2001,mvp,,P002_Victory_01-P002_Victory_02
2001,sex_hit,,P002_Hit_01-P002_Hit_02-P002_Hit_03
2001,sex_loop,,P002_Sex_Loop_01-P002_Sex_Loop_02-P002_Sex_Loop_04-P002_Sex_Loop_05
