RuneID,Level,Type,CostItemID,CostCount,CostMoney,AttributeID,AttributeRate,SpecialAttributeID,SpecialAttributeTIP
Build01,,2,350014,50,500,,,,
Build01,1,2,350014,100,1000,,,Build01_1_1-Build01_1_2=7,T_RuneLevel_SpecialAttributeTIP_Build01_1
Build01,2,2,350014,150,1500,,,Build01_2_1-Build01_2_2=7,T_RuneLevel_SpecialAttributeTIP_Build01_2
Build01,3,2,350014,200,2000,,,Build01_3_1-Build01_3_2=7,T_RuneLevel_SpecialAttributeTIP_Build01_3
Build01,4,2,350014,250,2500,,,Build01_4_1-Build01_4_2=7,T_RuneLevel_SpecialAttributeTIP_Build01_4
Build01,5,2,350014,300,3000,,,Build01_5_1-Build01_5_2=7,T_RuneLevel_SpecialAttributeTIP_Build01_5
Build01,6,2,350014,350,3500,,,Build01_6_1-Build01_6_2=7,T_RuneLevel_SpecialAttributeTIP_Build01_6
Build01,7,2,350014,400,4000,,,Build01_7_1-Build01_7_2=7,T_RuneLevel_SpecialAttributeTIP_Build01_7
Build01,8,2,350014,450,4500,,,Build01_8_1-Build01_8_2=7,T_RuneLevel_SpecialAttributeTIP_Build01_8
Build01,9,2,350014,500,5000,,,Build01_9_1-Build01_9_2=7,T_RuneLevel_SpecialAttributeTIP_Build01_9
Build01,10,2,,,,,,Build01_10_1-Build01_10_2=7,T_RuneLevel_SpecialAttributeTIP_Build01_10
Build02,,2,350014,50,500,,,,
Build02,1,2,350014,100,1000,,,Build02_1_1-Build02_1_2=7,T_RuneLevel_SpecialAttributeTIP_Build02_1
Build02,2,2,350014,150,1500,,,Build02_2_1-Build02_2_2=7,T_RuneLevel_SpecialAttributeTIP_Build02_2
Build02,3,2,350014,200,2000,,,Build02_3_1-Build02_3_2=7,T_RuneLevel_SpecialAttributeTIP_Build02_3
Build02,4,2,350014,250,2500,,,Build02_4_1-Build02_4_2=7,T_RuneLevel_SpecialAttributeTIP_Build02_4
Build02,5,2,350014,300,3000,,,Build02_5_1-Build02_5_2=7,T_RuneLevel_SpecialAttributeTIP_Build02_5
Build02,6,2,350014,350,3500,,,Build02_6_1-Build02_6_2=7,T_RuneLevel_SpecialAttributeTIP_Build02_6
Build02,7,2,350014,400,4000,,,Build02_7_1-Build02_7_2=7,T_RuneLevel_SpecialAttributeTIP_Build02_7
Build02,8,2,350014,450,4500,,,Build02_8_1-Build02_8_2=7,T_RuneLevel_SpecialAttributeTIP_Build02_8
Build02,9,2,350014,500,5000,,,Build02_9_1-Build02_9_2=7,T_RuneLevel_SpecialAttributeTIP_Build02_9
Build02,10,2,,,,,,Build02_10_1-Build02_10_2=7,T_RuneLevel_SpecialAttributeTIP_Build02_10
Build03,,2,350015,50,500,,,,
Build03,1,2,350015,100,1000,,,Build03_1_1-Build03_1_2=7,T_RuneLevel_SpecialAttributeTIP_Build03_1
Build03,2,2,350015,150,1500,,,Build03_2_1-Build03_2_2=7,T_RuneLevel_SpecialAttributeTIP_Build03_2
Build03,3,2,350015,200,2000,,,Build03_3_1-Build03_3_2=7,T_RuneLevel_SpecialAttributeTIP_Build03_3
Build03,4,2,350015,250,2500,,,Build03_4_1-Build03_4_2=7,T_RuneLevel_SpecialAttributeTIP_Build03_4
Build03,5,2,350015,300,3000,,,Build03_5_1-Build03_5_2=7,T_RuneLevel_SpecialAttributeTIP_Build03_5
Build03,6,2,350015,350,3500,,,Build03_6_1-Build03_6_2=7,T_RuneLevel_SpecialAttributeTIP_Build03_6
Build03,7,2,350015,400,4000,,,Build03_7_1-Build03_7_2=7,T_RuneLevel_SpecialAttributeTIP_Build03_7
Build03,8,2,350015,450,4500,,,Build03_8_1-Build03_8_2=7,T_RuneLevel_SpecialAttributeTIP_Build03_8
Build03,9,2,350015,500,5000,,,Build03_9_1-Build03_9_2=7,T_RuneLevel_SpecialAttributeTIP_Build03_9
Build03,10,2,,,,,,Build03_10_1-Build03_10_2=7,T_RuneLevel_SpecialAttributeTIP_Build03_10
Build04,,2,350015,50,500,,,,
Build04,1,2,350015,100,1000,,,Build04_1_1-Build04_1_2=7,T_RuneLevel_SpecialAttributeTIP_Build04_1
Build04,2,2,350015,150,1500,,,Build04_2_1-Build04_2_2=7,T_RuneLevel_SpecialAttributeTIP_Build04_2
Build04,3,2,350015,200,2000,,,Build04_3_1-Build04_3_2=7,T_RuneLevel_SpecialAttributeTIP_Build04_3
Build04,4,2,350015,250,2500,,,Build04_4_1-Build04_4_2=7,T_RuneLevel_SpecialAttributeTIP_Build04_4
Build04,5,2,350015,300,3000,,,Build04_5_1-Build04_5_2=7,T_RuneLevel_SpecialAttributeTIP_Build04_5
Build04,6,2,350015,350,3500,,,Build04_6_1-Build04_6_2=7,T_RuneLevel_SpecialAttributeTIP_Build04_6
Build04,7,2,350015,400,4000,,,Build04_7_1-Build04_7_2=7,T_RuneLevel_SpecialAttributeTIP_Build04_7
Build04,8,2,350015,450,4500,,,Build04_8_1-Build04_8_2=7,T_RuneLevel_SpecialAttributeTIP_Build04_8
Build04,9,2,350015,500,5000,,,Build04_9_1-Build04_9_2=7,T_RuneLevel_SpecialAttributeTIP_Build04_9
Build04,10,2,,,,,,Build04_10_1-Build04_10_2=7,T_RuneLevel_SpecialAttributeTIP_Build04_10
100000,,,100000,5,75,,,,
100000,1,,100000,10,105,110000,1,120000,T_RuneLevel_SpecialAttributeTIP_100000_1
100000,2,,100000,15,135,110001,1,,
100000,3,,100000,20,165,110002,1,,
100000,4,,100000,30,195,110003,1,,
100000,5,,100000,40,260,110004,1,120001,T_RuneLevel_SpecialAttributeTIP_100000_5
100000,6,,100000,50,325,110005,1,,
100000,7,,100000,65,390,110006,1,,
100000,8,,100000,85,500,110007,1,,
100000,9,,100000,115,660,110008,1,,
100000,10,,100000,145,820,110009,1,120002,T_RuneLevel_SpecialAttributeTIP_100000_10
100000,11,,100000,175,1030,110020,1,,
100000,12,,100000,205,1240,110021,1,,
100000,13,,100000,245,1500,110022,1,,
100000,14,,100000,285,1760,110023,1,,
100000,15,,100000,,,110024,1,120048,T_RuneLevel_SpecialAttributeTIP_100000_15
100001,,,100001,5,75,,,,
100001,1,,100001,10,105,110000,1,120003,T_RuneLevel_SpecialAttributeTIP_100001_1
100001,2,,100001,15,135,110001,1,,
100001,3,,100001,20,165,110002,1,,
100001,4,,100001,30,195,110003,1,,
100001,5,,100001,40,260,110004,1,120004,T_RuneLevel_SpecialAttributeTIP_100001_5
100001,6,,100001,50,325,110005,1,,
100001,7,,100001,65,390,110006,1,,
