ID,SKILL_NAME,SKILL_TIP,SPRateOnUI,ICON,ItemIcon,EnergyImage,PROPERTY,COMBO_GROUP,COMBO_STEP,TriggerCDTime,USING_TIME,ANIMATON_START,ANIMATON_CASTING,ANIMATON_FIRE,EnergyMax,EnergyRecover,EnergyCost,CAST_TIME,IgnoreDebuff,FaceToTarget,SelectTargetType,SelectTargetDistance,CAN_MOVE,IsTargetSameCamp,CAN_ROTATE,INVINCIBILITY,STATUS_IDs,TipEffect,SelectPositionRadius,SelectPositionShift,SummonRoleIDs,NetSTATUS_IDs,Remove_Status,VersionControl
99997,T_SKILL_SKILL_NAME_99997,,,Icon_Skill_P001_001,,,1,,3,,1.3,,,P001_attack_3,,,240,,,,1,13,1,,,,,,,,,,,
99998,T_SKILL_SKILL_NAME_99998,,T_SKILL_SPRateOnUI_99998,Icon_Skill_P001_002,,UI50_Skill_Ring_2,1,,,,0.5,,,P001_skill_1,1200,40,600,,,,,,1,,,,,,,,,,,
99999,T_SKILL_SKILL_NAME_99999,,T_SKILL_SPRateOnUI_99998,Icon_Skill_P001_003,,UI50_Skill_Ring_2,1,,,,1.3,,,P001_skill_2,1200,40,600,,,,,,,,,,,FX_P001_skill_2_warning,15,5,,,,
101,T_SKILL_SKILL_NAME_101,T_SKILL_SKILL_TIP_101,T_SKILL_SPRateOnUI_101,Icon_Buff_001_SlowSpeed,,UI50_Skill_Ring_3,1,,,,1,,,Use_item,1200,,400,,,,,,1,,,,,FX_SlowTrap_warning_0-FX_SlowTarp_warning,15,,,,,
102,T_SKILL_SKILL_NAME_102,T_SKILL_SKILL_TIP_102,T_SKILL_SPRateOnUI_102,Icon_Buff_002_AddHP,,UI50_Skill_Ring_1,1,,,,1,,,Use_item,1200,,1200,,,,,,1,,,,993001,,,,,,,
103,T_SKILL_SKILL_NAME_103,T_SKILL_SKILL_TIP_103,T_SKILL_SPRateOnUI_103,Icon_Buff_004_Speed,,UI50_Skill_Ring_1,1,,,,1,,,Use_item,1200,,1200,,,,,,1,,,,994001,,,,,,,
104,T_SKILL_SKILL_NAME_104,T_SKILL_SKILL_TIP_104,T_SKILL_SPRateOnUI_104,Icon_Buff_005_Shield,,UI50_Skill_Ring_1,1,,,,1,,,Use_item,1200,,1200,,,,,,1,,,,996001,,,,,,,
105,T_SKILL_SKILL_NAME_105,T_SKILL_SKILL_TIP_105,T_SKILL_SPRateOnUI_105,Icon_Buff_007_Invincible,,UI50_Skill_Ring_1,1,,,,1,,,Use_item,1200,,1200,,1,,,,1,,,,998007,,,,,,,
106,T_SKILL_SKILL_NAME_106,T_SKILL_SKILL_TIP_106,T_SKILL_SPRateOnUI_101,Icon_Buff_009_Thunder,,UI50_Skill_Ring_1,1,,,,1,,,Use_item,1200,,1200,,,,1,1000,1,,,,,,,,,,,
107,T_SKILL_SKILL_NAME_107,T_SKILL_SKILL_TIP_107,T_SKILL_SPRateOnUI_107,Icon_Buff_003_Remove,,UI50_Skill_Ring_1,1,,,,1,,,Use_item,1200,,1200,,1,,,,1,,,,998015,,,,,,,
108,T_SKILL_SKILL_NAME_108,T_SKILL_SKILL_TIP_108,T_SKILL_SPRateOnUI_108,Icon_Buff_006_FullMp,,UI50_Skill_Ring_1,1,,,,1,,,Use_item,1200,,1200,,,,,,1,,,,995001,,,,,,,
109,T_SKILL_SKILL_NAME_109,T_SKILL_SKILL_TIP_109,T_SKILL_SPRateOnUI_109,Icon_Buff_008_Invisible,,UI50_Skill_Ring_1,1,,,,1,,,Use_item,1200,,1200,,,,,,1,,,,998008,,,,,,,
110,T_SKILL_SKILL_NAME_110,T_SKILL_SKILL_TIP_110,T_SKILL_SPRateOnUI_110,Icon_Buff_010_TurnTheTable,,UI50_Skill_Ring_1,1,,,,1,,,Use_item,1200,,1200,,,,1,1000,1,,,,,,,,,,,
111,T_SKILL_SKILL_NAME_111,,T_SKILL_SPRateOnUI_104,Icon_Skill_G001,,UI50_Skill_Ring_1,1,,,,1,,,Use_item,1200,,1200,,,,,,1,,,,,FX_P001_skill_2_warning_0-FX_Chicken_Shield_warning,30,,,,,
112,T_SKILL_SKILL_NAME_112,,T_SKILL_SPRateOnUI_112,Icon_Skill_G002,,UI50_Skill_Ring_2,1,,,,1,,,Use_item,1200,,600,,,1,1,30,1,,,,,FX_P001_skill_2_warning_0-FX_Chicken_Banana_warning,30,,,,,
113,T_SKILL_SKILL_NAME_113,,T_SKILL_SPRateOnUI_113,Icon_Skill_G003,,UI50_Skill_Ring_2,1,,,,1,,,Use_item,1200,,600,,,1,1,30,1,,,,,FX_P001_skill_2_warning_0-FX_Chicken_Repulse_warning,,,,,,
114,T_SKILL_SKILL_NAME_114,,T_SKILL_SPRateOnUI_114,Icon_Skill_G004,,UI50_Skill_Ring_1,1,,,,1,,,Use_item,1200,,1200,,,1,1,40,1,,,,,FX_P004_skill_2_warning_0-FX_Chicken_Fire_warning,,,,,,
115,T_SKILL_SKILL_NAME_115,,T_SKILL_SPRateOnUI_115,Icon_Skill_G005,,UI50_Skill_Ring_1,1,,,,1,,,Use_item,1200,,1200,,,1,1,40,1,,,,,FX_P004_skill_2_warning_0-FX_Chicken_GhostShot_warning,,,,,,
FS0011,T_SKILL_SKILL_NAME_FS0011,T_SKILL_SKILL_TIP_FS0011,T_SKILL_SPRateOnUI_108,,Icon/Icon10_ElvHead/Icon01_Head_S_E017,UI50_Skill_Ring_2,1,,,15,1,,,Use_item,1200,25,600,,,,,,1,,,,999007,,,,,Icon\,,
FS0012,T_SKILL_SKILL_NAME_FS0011,T_SKILL_SKILL_TIP_FS0012,T_SKILL_SPRateOnUI_108,,Icon/Icon10_ElvHead/Icon01_Head_S_E017,UI50_Skill_Ring_2,1,,,15,1,,,Use_item,1200,25,600,,,,,,1,,,,999008,,,,,Icon\,,
FS0013,T_SKILL_SKILL_NAME_FS0011,T_SKILL_SKILL_TIP_FS0013,T_SKILL_SPRateOnUI_108,,Icon/Icon10_ElvHead/Icon01_Head_S_E017,UI50_Skill_Ring_2,1,,,15,1,,,Use_item,1200,25,600,,,,,,1,,,,999009,,,,,Icon\,,
FS0014,T_SKILL_SKILL_NAME_FS0011,T_SKILL_SKILL_TIP_FS0014,T_SKILL_SPRateOnUI_108,,Icon/Icon10_ElvHead/Icon01_Head_S_E017,UI50_Skill_Ring_2,1,,,15,1,,,Use_item,1200,25,600,,,,,,1,,,,999010,,,,,Icon\,,
FS0021,T_SKILL_SKILL_NAME_FS0011,T_SKILL_SKILL_TIP_FS0021,T_SKILL_SPRateOnUI_114,,Icon/Icon10_ElvHead/Icon01_Head_S_E003,UI50_Skill_Ring_2,1,,,15,1,,,Use_item,1200,25,600,,,1,1,30,,,,,,FX_P002_skill_1_warning_0-FX_P002_skill_1_warning,,,,Icon\,,
FS0022,T_SKILL_SKILL_NAME_FS0011,T_SKILL_SKILL_TIP_FS0022,T_SKILL_SPRateOnUI_114,,Icon/Icon10_ElvHead/Icon01_Head_S_E003,UI50_Skill_Ring_2,1,,,15,1,,,Use_item,1200,25,600,,,1,1,30,,,,,,FX_P002_skill_1_warning_0-FX_P002_skill_1_warning,,,,Icon\,,
FS0023,T_SKILL_SKILL_NAME_FS0011,T_SKILL_SKILL_TIP_FS0023,T_SKILL_SPRateOnUI_114,,Icon/Icon10_ElvHead/Icon01_Head_S_E003,UI50_Skill_Ring_2,1,,,15,1,,,Use_item,1200,25,600,,,1,1,30,,,,,,FX_P002_skill_1_warning_0-FX_P002_skill_1_warning,,,,Icon\,,
