SKILL_ID,INDEX,MISSILE_NAME,MISSILE_NAME_Enemy,MISSILE_COUNT,ANGLE,BIND_TYPE,DMG_RATE,DynamicAtt,DMG_CONSTANT,DMG_MaxHpRate,PROBABILITY,STATUS_IDs,IS_CONTINUE,FREQUENCY,FLY_VALUE,IRT_VALUE,WARNINGEFFECT,DELAY_MSTIME,IsOnlyBoss,MaxDamageRate
101,,SlowTrap_0,,1,,,1,,,,1,994501,,1,,,,,,
101,1,SlowTrap_1,,1,,,,,,,,,1,1,,,,,,
106,,StunAttack_0,,1,,,,,,,1,997001-999002,,1,,,,,,
110,,Judgment_0,,1,,,,,,,1,997004,,,,,,,,
111,,Chicken_Shield_0,,1,,,,,,,1,10005,1,1,,,,,,
112,,Chicken_Banana_0,,1,,,,,,,,,,1,,,,,,
112,1,Chicken_Banana_1,,1,,,0.8,,,,,,1,1,71,21,,,,
113,,Chicken_Repulse_0,,1,,,1,,,,,,1,1,21,21,,,,
114,,Chicken_Fire_0,,1,,,0.3,,,,,,1,1,,,,,,
115,,Chicken_GhostShot_0,,1,,,,,,,,,1,1,,,,,,
115,1,Chicken_GhostShot_1,,1,,,0.5,,,,,,,1,,,,,,
1001,,R18_P01_atk_1_2,,1,,,1,,,,,,,1,10,,,,,
1001,1,R18_P01_atk_1_1,,1,,,,,,,,,1,1,,,,,,
1002,,R18_P01_atk_2_2,,1,,,1,,,,,,,1,10,,,,,
1002,1,R18_P01_atk_2_1,,1,,,,,,,,,1,1,,,,,,
1003,,R18_P01_atk_3_2,,1,,,1,,,,,,,1,10,,,,,
1003,1,R18_P01_atk_3_1,,1,,,,,,,,,1,1,,,,,,
1004,1,R18_P01_skill_1_1,,3,10,,0.79,,,,,,,1,10,21,,,,
1004,2,R18_P01_skill_1_2,,1,,,,,,,,,1,,,,,,,
1005,,R18_P01_skill_2_0,,1,,,,,,,,,1,1,,,,,,
1005,1,R18_P01_skill_2_1,R18_P01_skill_2_1_E,1,,,0.32,,,,,,1,4,10,,,,,
1005,2,R18_P01_skill_2_2,,1,72,,,,,,,,1,,,,,,,
1006,1,R18_P01_skill_3_0,,3,5,,0.79,,,,,,,1,10,21,,,,
1006,2,R18_P01_skill_3_1,,1,,,,,,,,,1,1,,,,,,
1007,,R18_P01_skill_4_0,,1,,,,,,,,,1,1,,,,,,
1007,1,R18_P01_skill_4_1,,1,,,,,,,,,1,,,,,,,
1007,2,R18_P01_skill_4_2,R18_P01_skill_4_2_E,1,,,2.5,,,,,,1,1,10,,,,,
2001,,R18_P02_atk_1_0,,1,,,0.47,,,,,,,1,10,,,,,
2002,,R18_P02_atk_1_0,,1,,,0.47,,,,,,,1,10,,,,,
2003,,R18_P02_atk_1_0,,1,,,0.47,,,,,,,1,10,,,,,
2004,,R18_P02_skill_1_0,,1,,,2.2,,,,,,1,1,21,21,,,,
2004,1,R18_P02_skill_1_1,,1,,,,,,,1,993002,1,1,,-1,,,,
2005,,R18_P02_skill_2_0,,1,,,,,,,,,1,,,,,,,
2005,1,R18_P02_skill_2_1,,1,,,,,,,,,1,,,,,,,
2006,,R18_P02_skill_3_0,,1,,,2.2,,,,,,1,1,21,21,,,,
2006,1,R18_P02_skill_3_1,,1,,,,,,,1,993002,1,1,,-1,,,,
2007,,R18_P02_skill_2_0,,1,,,,,,,,,1,,,,,,,
2007,1,R18_P02_skill_2_2,,1,,,,,,,,,1,,,,,,,
3001,,R18_P03_atk_1_0,,3,10,,0.55,,,,,,,1,10,,,,,
3002,,R18_P03_atk_1_0,,3,10,,0.55,,,,,,,1,10,,,,,
3003,,R18_P03_atk_1_0,,3,10,,0.55,,,,,,,1,10,,,,,
3004,,R18_P03_skill_1_0,,1,,2,,,,,,,1,1,,,,,,
3004,1,R18_P03_skill_1_1,,1,,,2.34,,,,,,1,1,21,,,,,
3004,2,R18_P03_skill_1_2,,1,,2,,,,,,,1,1,,,,,,
3005,,R18_P03_skill_2_0,,1,,1,,,,,,,1,,,,,,,
3006,,R18_P03_skill_1_0,,1,,2,,,,,,,1,1,,,,,,
3006,1,R18_P03_skill_1_1,,1,,,2.34,,,,,,1,1,21,,,,,
3006,2,R18_P03_skill_1_2,,1,,2,,,,,,,1,1,,,,,,
3007,,R18_P03_skill_2_0,,1,,1,,,,,,,1,,,,,,,
4001,,R18_P04_atk_1_0,,1,,,0.9,,,,,,,1,10,,,,,
4001,1,R18_P04_atk_1_1,,1,,,0.9,,,,,,,1,10,,,,,
4002,,R18_P04_atk_2_0,,1,,,0.9,,,,,,,1,10,,,,,
4002,1,R18_P04_atk_2_1,,1,,,0.9,,,,,,,1,10,,,,,
4003,,R18_P04_atk_3_0,,1,,,0.9,,,,,,,1,10,,,,,
4003,1,R18_P04_atk_3_1,,1,,,0.9,,,,,,,1,10,,,,,
4004,,R18_P04_skill_1_0,,1,,,,,,,,,1,,,,,,,
4004,1,R18_P04_skill_1_1,,1,,,,,,,,,1,,,,,,,
4005,,R18_P04_skill_2_0,,1,,,,,,,1,993501,1,2,10,,,,,
4005,1,R18_P04_skill_2_1,,1,,,,,,,,,1,,,,,,,
4006,,R18_P04_skill_1_0,,1,,,,,,,,,1,,,,,,,
4006,1,R18_P04_skill_1_1,,1,,,,,,,,,1,,,,,,,
4007,,R18_P04_skill_2_0,,1,,,,,,,1,993501,1,2,10,,,,,
4007,1,R18_P04_skill_2_1,,1,,,,,,,,,1,,,,,,,
5001,,R18_P05_atk_1_0,,1,,,1.15,,,,,,,1,10,,,,,
5002,,R18_P05_atk_2_0,,1,,,1.15,,,,,,,1,10,,,,,
5003,,R18_P05_atk_3_0,,1,,,1.15,,,,,,,,10,,,,,
5004,,R18_P05_skill_1_0,,1,,,1.44,,,,1,997002-997003,,1,10,,,,,
5005,,R18_P05_skill_2_0,R18_P05_skill_2_0_E,1,,,,,,,,,,1,,,,,,
5005,1,R18_P05_skill_2_1,,1,,2,,,,,,,1,1,,,,,,
5005,2,R18_P05_skill_2_2,,1,,,2.07,,,,1,,1,1,21,,,,,
5006,,R18_P05_skill_3_0,,1,,,,,,,,,,1,,,,,,
5006,1,R18_P05_skill_3_1,,1,,,1.44,,,,1,997012-997003,1,,10,,,,,
5007,,R18_P05_skill_4_0,R18_P05_skill_2_0_E,1,,,,,,,,,,1,,,,,,
5007,1,R18_P05_skill_4_1,,1,,2,,,,,,,1,1,,,,,,
5007,2,R18_P05_skill_4_2,,1,,,2.07,,,,,,1,1,21,,,,,
5007,3,R18_P05_skill_4_3,,1,,,,,,,,,1,1,,,,,,
6001,,R18_P06_atk_1_0,,1,,,1.15,,,,,,,1,10,,,,,
6002,,R18_P06_atk_2_0,,1,,,1.15,,,,,,,1,10,,,,,
6003,,R18_P06_atk_3_0,,1,,,1.15,,,,,,,1,10,,,,,
6004,,R18_P06_skill_1_0,R18_P06_skill_1_0_E,1,,,,,,,1,993502-997009,,1,,,,,,
6005,,R18_P06_skill_2_0,,1,,2,,,,,,,1,,,,,,,
6005,1,R18_P06_skill_2_1,R18_P06_skill_2_1_E,1,,1,,,,,1,997010,1,1,,,,,,
6006,,R18_P06_skill_1_0,R18_P06_skill_1_0_E,1,,,0.5,,,,1,993502-997009,,1,,,,,,
6007,,R18_P06_skill_2_0,,1,,2,,,,,,,1,,,,,,,
6007,1,R18_P06_skill_2_2,R18_P06_skill_2_1_E,1,,1,,,,,1,997010,1,1,,,,,,
6007,2,R18_P06_skill_2_3,,1,,1,0.4,,,,,,1,1,,,,,,
7001,,R18_P07_atk_1_0,,1,,,0.65,,,,,,,1,10,,,,,
7001,1,R18_P07_atk_1_1,,1,,,0.65,,,,,,,1,10,,,,,
7002,,R18_P07_atk_2_0,,1,,,0.65,,,,,,,1,10,,,,,
7002,1,R18_P07_atk_2_1,,1,,,0.65,,,,,,,1,10,,,,,
7003,,R18_P07_atk_3_0,,1,,,0.65,,,,,,,1,10,,,,,
7003,1,R18_P07_atk_3_1,,1,,,0.65,,,,,,,1,10,,,,,
7004,,R18_P07_skill_1_0,,1,,,,,,,,,1,,,,,,,
7004,1,R18_P07_skill_1_1,,3,10,,1.24,,,,1,994506-994517,,1,10,,,,,
