Level,Points
1,921
2,1842
3,2763
4,3992
5,4913
6,6019
7,7248
8,8293
9,9523
10,10936
11,12166
12,13395
13,14933
14,16286
15,17824
16,19362
17,20900
18,22746
19,24408
20,26254
21,28225
22,30195
23,32165
24,34444
25,36847
26,39126
27,41529
28,44056
29,46768
30,49603
31,52747
32,55583
33,58851
34,62428
35,65820
36,69645
37,73654
38,77603
39,82169
40,86675
41,91490
42,96737
43,102108
44,107912
45,113840
46,120325
47,126934
48,134408
49,141822
50,150101
51,158629
52,168022
53,177912
54,188359
55,199610
56,211667
57,224838
58,238630
59,253967
60,270050
61,287620
62,306675
63,327157
64,349681
65,374313
66,401052
67,430022
68,462462
69,497630
70,536888
71,579928
72,628360
