ID,STACK_TYPE,STACK_LEVEL,STACK_COUNT,BarIcon,BarTip,AttributeStack,HealHPRate,HPShell,HitCountShell,PERIOD,DelayTrigger,TRIGGER_TIME,DMG_RATE,DMG_CONSTANT,ATTRIBUTE_ID,AttributeRate,Energy,ShowText,FX_STATUS,FX_TRIGGER,LIMIT_TYPE,StatusType,IsAura,IsBuff,AuraWorkStatus,AuraWorkRange,AuraTarget,IsRemoveOnSkill,IsRemoveOnHit,OnEndStatus,SpecialFunction,SpecialFunctionValue,IsStackInherit
4501,4501,1,,,,,,,,2,,,,,,,,,FX_trap_buff_016,,1,,,,,,,,,,,,
4502,994502,4,,,,,,,,3.5,0.5,2,,,4502,,,,FX_trap_buff_001,,,,,,,,,,,,,,
4503,994502,4,,,,,,,,10,,,,,4502,,,,FX_trap_buff_001,,,,,,,,,,,,,,
3001,3001,2,,,,,0.3,,,1,,,,,,,,,FX_trap_buff_002,,,,,1,,,,,,,,,
8015,8015,99,,,,,,,,3,,0.5,,,,,,,FX_trap_buff_003,,,,,1,,,,,,,2,,
4001,4502,1,,,,,,,,10,,,,,4001,,,,FX_trap_buff_004,,,,,1,,,,,,,,,
6001,996001,1,,,,,,1200,,30,,,,,,,,,FX_trap_buff_005,,,,,1,,,,,,,,,
5001,5001,1,,,,,,,,10,,,,,5001,,,,FX_trap_buff_006,,,,,1,,,,,,,,,
5002,5001,1,,Icon\Item\Skill\Icon_Buff_006_FullMp,,,,,,999,,,,,5001,,,,,,,,,1,,,,,,,,,
5003,5003,1,,Icon\Item\Rune\Icon_Rune_Penetrate,,,,,,999,,,,,5005,,,,,,,,,,,,,,,,,,
5006,5006,1,,Icon\Item\Rune\Icon_Rune_HP,,,,,,999,,,,,5006,,,,,,,,,1,,,,,,,,,
5007,8007,99,,Icon\Item\Rune\Icon_Rune_Apex,,,,,,999,,,,,,,,,,,,8,,1,,,,,,,1,,
5008,5008,1,,Icon\Item\Rune\Icon_Rune_Critical,,,,,,999,,,,,5008,,,,,,,,,,,,,,,,,,
5009,5009,99,,,,,,,,999,,,,,5009,,,,,,,,,1,,,,,,,,,
5010,5010,1,,,,,,,,999,,,,,9049,,,,,,,,,1,,,,,,,,,
5011,5011,1,,,,,,,,999,,,,,9050,,,,,,,,,1,,,,,,,,,
5012,5012,1,,,,,,,,999,,,,,5012,,,,,,,,,1,,,,,,,,,
5013,5013,99,,,,,,,,9999,,,,,5013,,,,,,,,,1,,,,,,,,,
8007,8007,99,,,,,,,,10,,,,,8007,,,,FX_trap_buff_015,,,8,,1,,,,,,,1,,
8018,8007,99,,,,,,,,5,,,,,8007,,,,FX_trap_buff_015,,,8,,1,,,,,,,1,,
8008,8008,99,,,,,,,,10,,,,,,,,,FX_trap_buff_010,,,6,,1,,,,1,1,,,,
7001,7003,1,,,,,,,,6,,,,,,,,,FX_trap_buff_009,,3,7,,,,,,,,,,,
7002,7002,1,,,,,,,,5,,,,,7003,,,,FX_moba_p005___Skil_1_1,,,9,,,,,,,,,,,
7003,7001,1,,,,,,,,1,,,,,,,,,FX_moba_p006__Skill_2_2_A,,3,1,,1,,,,,,,,,
7004,7004,1,,,,,,,,4.3,,,,,,,,,FX_trap_buff_014,,,,,,,,,,,7005-4503,,,
7005,7005,1,,,,,,,,10,,,,,5501,,,,,,,10,,,,,,,,,,,
3002,3002,1,,,,,,,,1,,,2.72,,,,,,FX_trap_buff_002,,,,,1,,,,,,,,,
1001,1001,1,,,,,,,,15,,,,,1001,,,,FX_moba_p002___Skil_2_buff,,,,,1,,,,,,,,,
1002,1001,1,,,,,,,,15,,,,,1001,,,,FX_moba_p002___002_Skil_2_buff,,,,,1,,,,,,,,,
2001,2001,1,,,,,,,,15,,,,,2001,,,,,,,,,1,,,,,,,,,
1,1,1,,,,,,,,1.5,1,1.1,,,,,,,,,,,1,1,1001-2001,10,,,,,,,
2,1,1,,,,,,,,1.5,1,1.1,,,,,,,,,,,1,1,1002-2001,10,,,,,,,
3,3,1,,,,,,,,999,,,,,999112,,,,,,,,,1,,,,,,,,,
2002,2002,99,,,,,,,,20,,,,,2002,,,,,,,4,,,,,,1,,,,,
3500,3500,99,,,,,,,,0.5,,,,9999,,,,,,,,,,,,,,,,,,,
4002,4502,1,,,,,,,,15,,,,,4001,,,,,,,,,1,,,,,,,,,
3501,3501,1,10,,,,,,,1,,,0.2,,,,,,FX_moba_p004_atk_1_hit__debuff,,,,,,,,,,,,,,
4504,994502,4,,,,,,,,1,,,,,4502,,,,FX_trap_buff_001,,,,,,,,,,,,,,
7006,7001,1,,,,,,,,1,,,,,,,,,FX_moba_p006__Skill_2_2_A,,3,1,,,,,,,,,,,
8001,8008,1,,,,,,,,3.7,,,,,,,,,FX_trap_buff_010,,,6,,1,,,,1,1,,,,
4505,994502,4,,,,,,,,1,,,,,4502,,,,FX_trap_buff_001,,,,,,,,,,,,,,
7007,7001,1,,,,,,,,1.5,,,,,,,,,FX_moba_p006__Skill_2_2_A,,3,1,,,,,,,,,,,
4506,994502,4,,,,,,,,3,,,,,4502,,,,FX_moba_p007___Skil_1_2,,2,,,,,,,,,,,,
7008,7002,1,,,,,,,,5,,,,,7009,,,,FX_moba_p005_002___Skil_1_1,,,9,,,,,,,,,,,
4003,4502,1,,,,,,,,10,,,,,4001,,,,FX_trap_buff_004,,,,,1,,,,,,,,,
3502,3502,1,,,,,,,,10,,1,0.27,,,,,,FX_moba_p006__Skill_1_2,,,,,,,,,,,,,,
7009,7009,1,,,,,,,,10,,,,,,,,,FX_moba_p006__Skill_1_2_1,,,,,,,,,,,,,,
7010,7001,1,,,,,,,,1.1,,,,,,,,,FX_moba_p006__Skill_2_2_B,,3,11,,,,,,,,,,,
8002,7001,99,,,,,,,,20,,,,,,,,,,,,,,,,,,1,,,,,
3003,3003,1,,,,,,,,0.9,,,0.4,,,,,,FX_trap_buff_002,,,,,1,,,,,,,,,
3503,3503,1,,,,,,,,0.9,,,0.4,,,,,,,,,,,,,,,,,,,,
1501,1501,1,,,,,,,,5,,,,,1501,,,,FX_Moba_001,,,,,,,,,,,,,,
2501,2501,1,,,,,,,,3,,,,,2501,,,,FX_Moba_001,,,,,,,,,,,,,,
3004,3004,1,,,,,,,,1,,,2,,,,,,FX_trap_buff_002,,,,,1,,,,,,,,,
4004,4502,1,,,,,,,,10,,,,,4001,,,,FX_trap_buff_004,,,,,1,,,,,,,,,
5004,5004,1,,,,,,,,1,,,2,,,,,,FX_trap_buff_002,,,,,1,,,,,,,,,
5005,5005,1,,,,,,,,1,,,3,,,,,,FX_trap_buff_002,,,,,1,,,,,,,,,
6004,6004,1,,,,,,,,10,,,,,4001,,,,FX_trap_buff_004,,,,,1,,,,,,,,,
6008,6008,1,,,T_STATUS_BarTip_6008,,,,,60,,,,,1021,,,,R18_P38_skill_1_0_debuff_1,,,,,,,,,,,,6,6008-6009-6009-6010-6010-6010,
6009,6008,1,,,T_STATUS_BarTip_6009,,,,,60,,,,,1022,,,,R18_P38_skill_1_0_debuff_2,,,,,,,,,,,,,,
6010,6008,1,,,T_STATUS_BarTip_6010,,,,,60,,,,,1023,,,,R18_P38_skill_1_0_debuff_3,,,,,,,,,,,,,,
6011,6008,99,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
6012,6012,1,,,,,,,,60,2,1,,,,,,,R18_P32_skill_1_1_debuff,,,,1,1,6012-6016,15,Ally,,,,,,
6013,6013,1,,,,,,,,60,2,1,,,,,,,R18_P32_skill_1_1_debuff,,,,1,1,6013-6016,15,Ally_Self,,,,,,
6014,6014,1,,,,,,,,60,2,1,,,,,,,R18_P32_skill_1_1_debuff,,,,1,1,6014-6016,15,Enemy,,,,,,
6015,6012,1,,,,,,,,60,,1,,,,,,,R18_P32_skill_1_1_debuff,,,,1,1,6012-6016,15,Ally,,,,,,
6016,6016,1,,,,,,,,8,,1,0.1,,,,,,R18_P34_skill_1_0_buff,R18_P32_atk_1_0_hit_dot,,,,,,,,,,,6,6016-6017-6017-6018-6018-6018,
6017,6016,1,,,,,,,,8,,1,0.2,,,,,,R18_P34_skill_1_0_buff (2),R18_P32_atk_1_0_hit_dot,,,,,,,,,,,,,
6018,6016,1,,,,,,,,8,,1,0.3,,,,,,R18_P34_skill_1_0_buff (3),R18_P32_atk_1_0_hit_dot,,,,,,,,,,,,,
6019,6016,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
7011,7011,1,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,7,,
7012,7012,1,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,7,10001-10002-10003-10004-10005-10006-10007-10008-10009-10010,
7013,7013,1,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,8,,
7014,7014,1,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,8,10001-10002-10003-10004-10005-10006-10007-10008-10009-10010,
7015,997501,1,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,10,,
7016,996001,1,,,,,,,,180,,,,,,,,,,,,,,1,,,,,,,11,3-0.5-1-50000,
7017,996001,2,,,,,,,,180,,,,,,,,,,,,,,1,,,,,,,11,4-0.5-1,
7018,996001,3,,,,,,,,180,,,,,,,,,,,,,,1,,,,,,,11,7-3-1,
7019,996001,4,,,,,,,,180,,,,,,,,,,,,,,1,,,,,,,11,8-3-1-5000,
7020,996001,5,,,,,,,,180,,,,,,,,,,,,,,1,,,,,,,11,9-3-1-5000,
7021,996001,6,,,,,,,,180,,,,,,,,,,,,,,1,,,,,,,11,10-3-1-5000,
7022,7022,1,,Icon\Item\Skill\Icon_Buff_008_Invisible,T_STATUS_BarTip_7022,,,,,180,,,,,,,,,,,,,,1,,,,,,,9,-50_80,
7023,7023,1,,,,,,,,180,,,,,7023,,,,,,,,,1,,,,,,,,,
7024,7024,1,,,,,,,,180,,,,,7024,,,,,,,,,1,,,,,,,,,
7025,7025,1,,,,,,,,180,,,,,,,,,FX_R18_p10_skill__2_Atk_up,,,,,1,,,,,,,,,
7026,7026,1,,,,,,,,180,1,1,,,,,,,R18_P32_skill_1_1_debuff,,,,1,1,5004,1,Ally_Self,,,,,,
7027,7027,1,,Icon\Item\Skill\Icon_Buff_008_Invisible,T_STATUS_BarTip_7027,,,,,120,,,,,,,,,,,,,,1,,,,,,,9,-360_360,
7028,7028,1,,Icon\Item\Skill\Icon_Buff_008_Invisible,T_STATUS_BarTip_7028,,,,,120,,,,,,,,,,,,,,1,,,,,,,9,25_45,
7029,7029,1,,Icon\Item\Skill\Icon_Buff_008_Invisible,T_STATUS_BarTip_7029,,,,,120,,,,,,,,,,,,,,1,,,,,,,9,-360_-360,
