RoleID,AttackMsg,AttaskSound,BackOffMsg,BackOffSound,AssembleMsg,AssembleSound
1001,T_Signal_AttackMsg_1001,player/Player/R18_P01_01/P001_Guide_01,T_Signal_BackOffMsg_1001,player/Player/R18_P01_01/P001_Guide_02,T_Signal_AssembleMsg_1001,player/Player/R18_P01_01/P001_Guide_03
2001,T_Signal_AttackMsg_2001,player/Player/R18_P02_01/P002_Guide_01,T_Signal_BackOffMsg_2001,player/Player/R18_P02_01/P002_Guide_02,T_Signal_AssembleMsg_2001,player/Player/R18_P02_01/P002_Guide_03
3001,T_Signal_AttackMsg_3001,player/Player/R18_P03_01/P003_Guide_01,T_Signal_BackOffMsg_3001,player/Player/R18_P03_01/P003_Guide_02,T_Signal_AssembleMsg_3001,player/Player/R18_P03_01/P003_Guide_03
4001,T_Signal_AttackMsg_4001,player/Player/R18_P04_01/P004_Guide_01,T_Signal_BackOffMsg_4001,player/Player/R18_P04_01/P004_Guide_02,T_Signal_AssembleMsg_4001,player/Player/R18_P04_01/P004_Guide_03
5001,T_Signal_AttackMsg_5001,player/Player/R18_P05_01/P005_Guide_01,T_Signal_BackOffMsg_5001,player/Player/R18_P05_01/P005_Guide_02,T_Signal_AssembleMsg_5001,player/Player/R18_P05_01/P005_Guide_03
6001,T_Signal_AttackMsg_6001,player/Player/R18_P06_01/P006_Guide_01,T_Signal_BackOffMsg_6001,player/Player/R18_P06_01/P006_Guide_02,T_Signal_AssembleMsg_6001,player/Player/R18_P06_01/P006_Guide_03
7001,T_Signal_AttackMsg_7001,player/Player/R18_P07_01/P007_Guide_01,T_Signal_BackOffMsg_7001,player/Player/R18_P07_01/P007_Guide_02,T_Signal_AssembleMsg_7001,player/Player/R18_P07_01/P007_Guide_03
8001,T_Signal_AttackMsg_8001,player/Player/R18_P08_01/P008_Guide_01,T_Signal_BackOffMsg_8001,player/Player/R18_P08_01/P008_Guide_02,T_Signal_AssembleMsg_8001,player/Player/R18_P08_01/P008_Guide_03
9001,T_Signal_AttackMsg_9001,player/Player/R18_P09_01/P009_Guide_01,T_Signal_BackOffMsg_9001,player/Player/R18_P09_01/P009_Guide_02,T_Signal_AssembleMsg_9001,player/Player/R18_P09_01/P009_Guide_03
10001,T_Signal_AttackMsg_10001,player/Player/R18_P10_01/P010_Guide_01,T_Signal_BackOffMsg_10001,player/Player/R18_P10_01/P010_Guide_02,T_Signal_AssembleMsg_10001,player/Player/R18_P10_01/P010_Guide_03
11001,T_Signal_AttackMsg_11001,player/Player/R18_P11_01/P011_Guide_01,T_Signal_BackOffMsg_11001,player/Player/R18_P11_01/P011_Guide_02,T_Signal_AssembleMsg_11001,player/Player/R18_P11_01/P011_Guide_03
12001,T_Signal_AttackMsg_12001,player/Player/R18_P12_01/P012_Guide_01,T_Signal_BackOffMsg_12001,player/Player/R18_P12_01/P012_Guide_02,T_Signal_AssembleMsg_12001,player/Player/R18_P12_01/P012_Guide_03
13001,T_Signal_AttackMsg_13001,,T_Signal_BackOffMsg_13001,,T_Signal_AssembleMsg_13001,
14001,T_Signal_AttackMsg_14001,,T_Signal_BackOffMsg_14001,,T_Signal_AssembleMsg_14001,
15001,T_Signal_AttackMsg_15001,,T_Signal_BackOffMsg_15001,,T_Signal_AssembleMsg_15001,
16001,T_Signal_AttackMsg_16001,,T_Signal_BackOffMsg_16001,,T_Signal_AssembleMsg_16001,
17001,T_Signal_AttackMsg_17001,,T_Signal_BackOffMsg_17001,,T_Signal_AssembleMsg_17001,
18001,T_Signal_AttackMsg_18001,,T_Signal_BackOffMsg_18001,,T_Signal_AssembleMsg_18001,
19001,T_Signal_AttackMsg_19001,,T_Signal_BackOffMsg_19001,,T_Signal_AssembleMsg_19001,
20001,T_Signal_AttackMsg_20001,,T_Signal_BackOffMsg_20001,,T_Signal_AssembleMsg_20001,
21001,T_Signal_AttackMsg_21001,,T_Signal_BackOffMsg_21001,,T_Signal_AssembleMsg_21001,
22001,T_Signal_AttackMsg_22001,,T_Signal_BackOffMsg_22001,,T_Signal_AssembleMsg_22001,
90001,T_Signal_AttackMsg_90001,,T_Signal_BackOffMsg_90001,,T_Signal_AssembleMsg_90001,
91001,T_Signal_AttackMsg_91001,,T_Signal_BackOffMsg_91001,,T_Signal_AssembleMsg_91001,
23001,T_Signal_AttackMsg_23001,,T_Signal_BackOffMsg_23001,,T_Signal_AssembleMsg_23001,
24001,T_Signal_AttackMsg_24001,,T_Signal_BackOffMsg_24001,,T_Signal_AssembleMsg_24001,
25001,T_Signal_AttackMsg_25001,,T_Signal_BackOffMsg_25001,,T_Signal_AssembleMsg_25001,
26001,T_Signal_AttackMsg_26001,,T_Signal_BackOffMsg_26001,,T_Signal_AssembleMsg_26001,
27001,T_Signal_AttackMsg_27001,,T_Signal_BackOffMsg_27001,,T_Signal_AssembleMsg_27001,
28001,T_Signal_AttackMsg_28001,,T_Signal_BackOffMsg_28001,,T_Signal_AssembleMsg_28001,
29001,T_Signal_AttackMsg_29001,,T_Signal_BackOffMsg_29001,,T_Signal_AssembleMsg_29001,
30001,T_Signal_AttackMsg_30001,,T_Signal_BackOffMsg_30001,,T_Signal_AssembleMsg_30001,
31001,T_Signal_AttackMsg_31001,,T_Signal_BackOffMsg_31001,,T_Signal_AssembleMsg_31001,
32001,T_Signal_AttackMsg_32001,,T_Signal_BackOffMsg_32001,,T_Signal_AssembleMsg_32001,
33001,T_Signal_AttackMsg_33001,,T_Signal_BackOffMsg_33001,,T_Signal_AssembleMsg_33001,
