ID,Class,ClassResetTime,SkillID,StatusID,ModelName,TriggerTime,Group,CanReborn,Rate
1,,,101,,,,1,,40
2,,,102,,,,1,,15
3,,,103,,,,1,,45
4,,,101,,,,2,,10
5,,,102,,,,2,,20
6,,,103,,,,2,,20
7,,,107,,,,2,,20
8,,,104,,,,2,,20
9,,,104,,,,2,,20
10,,,102,,,,2,,40
11,,,106,,,,2,,150
12,,,110,,,,2,,200
13,,,105,,,,2,,120
14,,,104,,,,2,,100
15,,,102,,,,2,,40
16,,,108,,,,2,,140
17,,,107,,,,2,,100
18,,,109,,,,2,,100
19,,,102,,,,3,,10
20,,,104,,,,3,,5
21,,,106,,,,3,,5
22,,,110,,,,3,,5
23,,,108,,,,3,,5
24,,,101,,,,3,,5
25,,,103,,,,3,,5
50,Battle_Power_R,30,,10002,Effect/FX_R18_G_skill_Item_RedBall,,,,1
51,Battle_Power_Y,60,,10003,Effect/FX_R18_G_skill_Item_YellowBall,,,,1
52,Item_Random,20,,10004,Effect/FX_R18_G_skill_Item_Map,,,,1
53,Item_Random,20,102,,Effect/FX_R18_G_skill_Item_Heal,,,,1
54,Item_Random,20,111,,Effect/FX_R18_G_skill_Item_Shield,,,,1
55,Item_Random,20,112,,Effect/FX_R18_G_skill_Item_Banana,,,,1
56,Item_Random,20,113,,Effect/FX_R18_G_skill_Item_Repluse,,,,1
57,Item_Random,20,114,,Effect/FX_R18_G_skill_Item_Fire,,,,1
58,Skill_Random,20,115,,Effect/FX_R18_G_skill_Item_Ghost,,,,1
59,Item_Map,20,,10004,Effect/FX_R18_G_skill_Item_Map,,,,1
60,Skill_Random_R,20,,10002,Effect/FX_R18_G_skill_Item_RedBall,,,,10
61,Skill_Random_R,20,,10004,Effect/FX_R18_G_skill_Item_Map,,,,13
62,Skill_Random_R,20,102,,Effect/FX_R18_G_skill_Item_Heal,,,,13
63,Skill_Random_R,20,111,,Effect/FX_R18_G_skill_Item_Shield,,,,13
64,Skill_Random_R,20,112,,Effect/FX_R18_G_skill_Item_Banana,,,,13
65,Skill_Random_R,20,113,,Effect/FX_R18_G_skill_Item_Repluse,,,,13
66,Skill_Random_R,20,114,,Effect/FX_R18_G_skill_Item_Fire,,,,13
67,Skill_Random_R,20,115,,Effect/FX_R18_G_skill_Item_Ghost,,,,13
70,,,,10003,Effect/FX_R18_G_skill_Item_YellowBall,,4,FALSE,1
