SkinID,RoleID,SkinName,Color,MODEL_NAME,MODEL_NAME_Lobby,Icon3,VersionControl
10011,1001,T_Skin_SkinName_10011,1,Player/R18_P01_01_1,Player/R18_P01_01_1_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_01_P01_1,
10012,1001,T_Skin_SkinName_10012,2,Player/R18_P01_02,Player/R18_P01_02_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_02,56
10013,1001,T_Skin_SkinName_10013,2,Player/R18_P01_02_1,Player/R18_P01_02_1_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_02_1,56
10014,1001,T_Skin_SkinName_10014,1,Player/R18_P01_00,Player/R18_P01_00_show,Icon/Icon06_SkinCard/Icon06_SkinCard_00,56
10015,1001,T_Skin_SkinName_10015,2,Player/R18_P01_09_1,Player/R18_P01_09_1_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_09_1,405-56
10016,1001,T_Skin_SkinName_10016,4,Player/R18_P01_15,Player/R18_P01_15_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_15,412-56
10017,1001,T_Skin_SkinName_10017,4,Player/R18_P01_17,Player/R18_P01_17_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_17,414-56
10018,1001,T_Skin_SkinName_10018,3,Player/R18_P01_12,Player/R18_P01_12_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_12,56
10019,1001,T_Skin_SkinName_10019,3,Player/R18_P01_12_1,Player/R18_P01_12_1_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_12_1,56
10020,1001,T_Skin_SkinName_10020,3,Player/R18_P01_12_2,Player/R18_P01_12_2_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_12_2,56
10021,1001,T_Skin_SkinName_10021,4,Player/R18_P01_20,Player/R18_P01_20_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_20,413-56
10022,1001,T_Skin_SkinName_10022,4,Player/R18_P01_24,Player/R18_P01_24_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_24,419-56
10023,1001,T_Skin_SkinName_10023,3,Player/R18_P01_14,Player/R18_P01_14_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_14,422-56
10024,1001,T_Skin_SkinName_10024,3,Player/R18_P01_14_X01,Player/R18_P01_14_X01_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_14_X01,422-56
10025,1001,T_Skin_SkinName_10025,4,Player/R18_P01_25,Player/R18_P01_25_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_25,423-56
10026,1001,T_Skin_SkinName_10026,4,Player/R18_P01_26,Player/R18_P01_26_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_26,425-56
10027,1001,T_Skin_SkinName_10027,1,Player/R18_P01_29,Player/R18_P01_29_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_29,292-108-56
10028,1001,T_Skin_SkinName_10028,3,Player/R18_P01_22,Player/R18_P01_22_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_22,433-56
10029,1001,T_Skin_SkinName_10029,3,Player/R18_P01_22_X01,Player/R18_P01_22_X01_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_22_X01,433-56
10030,1001,T_Skin_SkinName_10030,3,Player/R18_P01_19,Player/R18_P01_19_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_19,440-56
10031,1001,T_Skin_SkinName_10031,3,Player/R18_P01_19_1,Player/R18_P01_19_1_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_19_1,440-56
10032,1001,T_Skin_SkinName_10032,4,Player/R18_P01_34,Player/R18_P01_34_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_34,443-56
10033,1001,T_Skin_SkinName_10033,4,Player/R18_P01_33,Player/R18_P01_33_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_33,447-56
10034,1001,T_Skin_SkinName_10034,4,Player/R18_P01_37,Player/R18_P01_37_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_37,449-56
10035,1001,T_Skin_SkinName_10035,4,Player/R18_P01_40,Player/R18_P01_40_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_40,452-56
10036,1001,T_Skin_SkinName_10036,4,Player/R18_P01_41,Player/R18_P01_41_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_41,454-56
