ID,RoleID,HasHighLight,Title,Name,Icon,IconSmall,IconSmall_SFW,PuzzleIcon,PuzzleIcon_SFW,PuzzleID,DialogShowID,DialogShowID_SFW,VersionControl
1,1001,,T_Story_Title_1,T_Story_Name_1,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P01_Normal_1,,Icon_CgChip_P01_Normal_1_1,,1,P001_1,P001_1,
2,1001,,T_Story_Title_1,T_Story_Name_2,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P01_Normal_1,,Icon_CgChip_P01_Normal_1_1,,2,P001_2,P001_2,
3,1001,TRUE,T_Story_Title_3,T_Story_Name_3,Icon/Images03_HCG/Images/P001_CG1_01,Icon/Item/CGSmall/Icon_CGSmall_P01_CG_1,Icon/Item/CGSmall/Icon_CGSmall_P01_Normal_1,Icon_CgChip_P01_CG1_1_1,Icon_CgChip_P01_Normal_1_1,3,P001_h1,P001_N_1,58
4,1001,,T_Story_Title_1,T_Story_Name_4,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P01_Normal_1,,Icon_CgChip_P01_Normal_1_1,,7,P001_3,P001_3,
5,1001,,T_Story_Title_1,T_Story_Name_5,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P01_Normal_1,,Icon_CgChip_P01_Normal_1_1,,8,P001_4,P001_4,
6,1001,TRUE,T_Story_Title_3,T_Story_Name_6,Icon/Images03_HCG/Images/P001_CG2_01,Icon/Item/CGSmall/Icon_CGSmall_P01_CG_2,Icon/Item/CGSmall/Icon_CGSmall_P01_Normal_1,Icon_CgChip_P01_CG2_1_1,Icon_CgChip_P01_Normal_1_1,9-10-11-12,P001_h2,P001_N_2,58
68,1001,TRUE,T_Story_Title_3,T_Story_Name_68,Icon/Images03_HCG/Images/P001_CG3_01,Icon/Item/CGSmall/Icon_CGSmall_P01_CG_3,Icon/Item/CGSmall/Icon_CGSmall_P01_Normal_1,Icon_CgChip_P01_CG3_1_1,Icon_CgChip_P01_Normal_1_1,137-138-139-140,P01_h3,P001_N_3,58
7,2001,,T_Story_Title_1,T_Story_Name_7,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P02_Normal_1,,Icon_CgChip_P02_Normal_1_1,,13,P002_1,P002_1,
8,2001,,T_Story_Title_1,T_Story_Name_8,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P02_Normal_1,,Icon_CgChip_P02_Normal_1_1,,14,P002_2,P002_2,
9,2001,TRUE,T_Story_Title_3,T_Story_Name_9,Icon/Images03_HCG/Images/P002_CG1_01,Icon/Item/CGSmall/Icon_CGSmall_P02_CG_1,Icon/Item/CGSmall/Icon_CGSmall_P02_Normal_1,Icon_CgChip_P02_CG1_1_1,Icon_CgChip_P02_Normal_1_1,15-16-17-18,P002_h1,P002_N_1,58
