Group,ItemID,RedicalHead,RedicalTail,Remark
1,102,1001,,測試綠字首衣褲Lv6
1,133,1002,,測試綠字首手套Lv6
1,149,1003,,測試綠字首鞋子Lv6
1,119,1004,,測試綠字首武器Lv6
1,166,1005,,測試綠字首項鍊Lv6
1,176,1006,,測試綠字首戒指Lv6
1,111,1001,,測試綠字首衣褲Lv6
1,141,1002,,測試綠字首手套Lv6
1,157,1003,,測試綠字首鞋子Lv6
1,127,1004,,測試綠字首武器Lv6
1,166,1005,,測試綠字首項鍊Lv6
1,176,1006,,測試綠字首戒指Lv6
2,102,1007,,測試藍字首衣褲Lv9
2,135,1008,,測試藍字首手套Lv9
2,151,1009,,測試藍字首鞋子Lv9
2,119,1010,,測試藍字首武器Lv9
2,166,1011,,測試藍字首項鍊Lv9
2,176,1012,,測試藍字首戒指Lv9
2,111,1007,,測試藍字首衣褲Lv9
2,143,1008,,測試藍字首手套Lv9
2,159,1009,,測試藍字首鞋子Lv9
2,127,1010,,測試藍字首武器Lv9
2,166,1011,,測試藍字首項鍊Lv9
2,176,1012,,測試藍字首戒指Lv9
3,104,1019,,測試藍字首衣褲Lv12
3,135,1020,,測試藍字首手套Lv12
3,151,1021,,測試藍字首鞋子Lv12
3,120,1022,,測試藍字首武器Lv12
3,166,1023,,測試藍字首項鍊Lv12
3,176,1024,,測試藍字首戒指Lv12
3,112,1019,,測試藍字首衣褲Lv12
3,143,1020,,測試藍字首手套Lv12
3,159,1021,,測試藍字首鞋子Lv12
3,128,1022,,測試藍字首武器Lv12
3,166,1023,,測試藍字首項鍊Lv12
3,176,1024,,測試藍字首戒指Lv12
4,104,1031,,測試藍字首衣褲Lv15
4,136,1032,,測試藍字首手套Lv15
4,152,1033,,測試藍字首鞋子Lv15
4,120,1034,,測試藍字首武器Lv15
4,168,1035,,測試藍字首項鍊Lv15
4,178,1036,,測試藍字首戒指Lv15
4,112,1031,,測試藍字首衣褲Lv15
4,144,1032,,測試藍字首手套Lv15
4,160,1033,,測試藍字首鞋子Lv15
4,128,1034,,測試藍字首武器Lv15
4,168,1035,,測試藍字首項鍊Lv15
4,178,1036,,測試藍字首戒指Lv15
5,105,1043,,測試藍字首衣褲Lv18
5,136,1044,,測試藍字首手套Lv18
5,152,1045,,測試藍字首鞋子Lv18
5,121,1046,,測試藍字首武器Lv18
5,168,1047,,測試藍字首項鍊Lv18
5,178,1048,,測試藍字首戒指Lv18
5,113,1043,,測試藍字首衣褲Lv18
5,144,1044,,測試藍字首手套Lv18
5,160,1045,,測試藍字首鞋子Lv18
5,129,1046,,測試藍字首武器Lv18
5,168,1047,,測試藍字首項鍊Lv18
5,178,1048,,測試藍字首戒指Lv18
6,105,1055,,測試藍字首衣褲Lv21
6,137,1056,,測試藍字首手套Lv21
6,153,1057,,測試藍字首鞋子Lv21
6,121,1058,,測試藍字首武器Lv21
6,168,1059,,測試藍字首項鍊Lv21
6,178,1060,,測試藍字首戒指Lv21
6,113,1055,,測試藍字首衣褲Lv21
6,145,1056,,測試藍字首手套Lv21
6,161,1057,,測試藍字首鞋子Lv21
6,129,1058,,測試藍字首武器Lv21
6,168,1059,,測試藍字首項鍊Lv21
6,178,1060,,測試藍字首戒指Lv21
7,106,1067,,測試藍字首衣褲Lv24
7,137,1068,,測試藍字首手套Lv24
7,153,1069,,測試藍字首鞋子Lv24
7,122,1070,,測試藍字首武器Lv24
7,168,1071,,測試藍字首項鍊Lv24
7,178,1072,,測試藍字首戒指Lv24
7,114,1067,,測試藍字首衣褲Lv24
7,145,1068,,測試藍字首手套Lv24
7,161,1069,,測試藍字首鞋子Lv24
7,130,1070,,測試藍字首武器Lv24
7,168,1071,,測試藍字首項鍊Lv24
7,178,1072,,測試藍字首戒指Lv24
8,106,1079,,測試藍字首衣褲Lv27
8,138,1080,,測試藍字首手套Lv27
8,154,1081,,測試藍字首鞋子Lv27
8,122,1082,,測試藍字首武器Lv27
8,170,1083,,測試藍字首項鍊Lv27
8,180,1084,,測試藍字首戒指Lv27
8,114,1079,,測試藍字首衣褲Lv27
8,146,1080,,測試藍字首手套Lv27
8,162,1081,,測試藍字首鞋子Lv27
8,130,1082,,測試藍字首武器Lv27
8,170,1083,,測試藍字首項鍊Lv27
8,180,1084,,測試藍字首戒指Lv27
9,102,1007,1013,測試藍字首衣褲Lv9
9,135,1008,1014,測試藍字首手套Lv9
9,151,1009,1015,測試藍字首鞋子Lv9
9,119,1010,1016,測試藍字首武器Lv9
9,166,1011,1017,測試藍字首項鍊Lv9
9,176,1012,1018,測試藍字首戒指Lv9
9,111,1007,1013,測試藍字首衣褲Lv9
9,143,1008,1014,測試藍字首手套Lv9
9,159,1009,1015,測試藍字首鞋子Lv9
9,127,1010,1016,測試藍字首武器Lv9
9,166,1011,1017,測試藍字首項鍊Lv9
9,176,1012,1018,測試藍字首戒指Lv9
10,104,1019,1025,測試藍字首衣褲Lv12
10,135,1020,1026,測試藍字首手套Lv12
10,151,1021,1027,測試藍字首鞋子Lv12
10,120,1022,1028,測試藍字首武器Lv12
10,166,1023,1029,測試藍字首項鍊Lv12
10,176,1024,1030,測試藍字首戒指Lv12
10,112,1019,1025,測試藍字首衣褲Lv12
10,143,1020,1026,測試藍字首手套Lv12
10,159,1021,1027,測試藍字首鞋子Lv12
10,128,1022,1028,測試藍字首武器Lv12
10,166,1023,1029,測試藍字首項鍊Lv12
10,176,1024,1030,測試藍字首戒指Lv12
11,104,1031,1037,測試藍字首衣褲Lv15
11,136,1032,1038,測試藍字首手套Lv15
11,152,1033,1039,測試藍字首鞋子Lv15
11,120,1034,1040,測試藍字首武器Lv15
11,168,1035,1041,測試藍字首項鍊Lv15
11,178,1036,1042,測試藍字首戒指Lv15
11,112,1031,1037,測試藍字首衣褲Lv15
11,144,1032,1038,測試藍字首手套Lv15
11,160,1033,1039,測試藍字首鞋子Lv15
11,128,1034,1040,測試藍字首武器Lv15
11,168,1035,1041,測試藍字首項鍊Lv15
11,178,1036,1042,測試藍字首戒指Lv15
12,105,1043,1049,測試藍字首衣褲Lv18
12,136,1044,1050,測試藍字首手套Lv18
12,152,1045,1051,測試藍字首鞋子Lv18
12,121,1046,1052,測試藍字首武器Lv18
12,168,1047,1053,測試藍字首項鍊Lv18
12,178,1048,1054,測試藍字首戒指Lv18
12,113,1043,1049,測試藍字首衣褲Lv18
12,144,1044,1050,測試藍字首手套Lv18
12,160,1045,1051,測試藍字首鞋子Lv18
12,129,1046,1052,測試藍字首武器Lv18
12,168,1047,1053,測試藍字首項鍊Lv18
12,178,1048,1054,測試藍字首戒指Lv18
13,105,1055,1061,測試藍字首衣褲Lv21
13,137,1056,1062,測試藍字首手套Lv21
13,153,1057,1063,測試藍字首鞋子Lv21
13,121,1058,1064,測試藍字首武器Lv21
13,168,1059,1065,測試藍字首項鍊Lv21
13,178,1060,1066,測試藍字首戒指Lv21
13,113,1055,1061,測試藍字首衣褲Lv21
13,145,1056,1062,測試藍字首手套Lv21
13,161,1057,1063,測試藍字首鞋子Lv21
13,129,1058,1064,測試藍字首武器Lv21
13,168,1059,1065,測試藍字首項鍊Lv21
13,178,1060,1066,測試藍字首戒指Lv21
14,106,1067,1073,測試藍字首衣褲Lv24
14,137,1068,1074,測試藍字首手套Lv24
14,153,1069,1075,測試藍字首鞋子Lv24
14,122,1070,1076,測試藍字首武器Lv24
14,168,1071,1077,測試藍字首項鍊Lv24
14,178,1072,1078,測試藍字首戒指Lv24
14,114,1067,1073,測試藍字首衣褲Lv24
14,145,1068,1074,測試藍字首手套Lv24
14,161,1069,1075,測試藍字首鞋子Lv24
14,130,1070,1076,測試藍字首武器Lv24
14,168,1071,1077,測試藍字首項鍊Lv24
14,178,1072,1078,測試藍字首戒指Lv24
15,106,1079,1085,測試藍字首衣褲Lv27
15,138,1080,1086,測試藍字首手套Lv27
15,154,1081,1087,測試藍字首鞋子Lv27
15,122,1082,1088,測試藍字首武器Lv27
15,170,1083,1089,測試藍字首項鍊Lv27
15,180,1084,1090,測試藍字首戒指Lv27
15,114,1079,1085,測試藍字首衣褲Lv27
15,146,1080,1086,測試藍字首手套Lv27
15,162,1081,1087,測試藍字首鞋子Lv27
15,130,1082,1088,測試藍字首武器Lv27
15,170,1083,1089,測試藍字首項鍊Lv27
15,180,1084,1090,測試藍字首戒指Lv27
16,106,1091,1097,測試藍字首衣褲Lv30
16,138,1092,1098,測試藍字首手套Lv30
16,154,1093,1099,測試藍字首鞋子Lv30
16,122,1094,1100,測試藍字首武器Lv30
16,170,1095,1101,測試藍字首項鍊Lv30
16,180,1096,1102,測試藍字首戒指Lv30
16,114,1091,1097,測試藍字首衣褲Lv30
16,146,1092,1098,測試藍字首手套Lv30
16,162,1093,1099,測試藍字首鞋子Lv30
16,130,1094,1100,測試藍字首武器Lv30
16,170,1095,1101,測試藍字首項鍊Lv30
16,180,1096,1102,測試藍字首戒指Lv30
17,104,1103,1109,測試紫字首衣褲Lv15
17,136,1104,1110,測試紫字首手套Lv15
17,152,1105,1111,測試紫字首鞋子Lv15
17,120,1106,1112,測試紫字首武器Lv15
17,168,1107,1113,測試紫字首項鍊Lv15
17,178,1108,1114,測試紫字首戒指Lv15
17,112,1103,1109,測試紫字首衣褲Lv15
17,144,1104,1110,測試紫字首手套Lv15
17,160,1105,1111,測試紫字首鞋子Lv15
17,128,1106,1112,測試紫字首武器Lv15
17,168,1107,1113,測試紫字首項鍊Lv15
17,178,1108,1114,測試紫字首戒指Lv15
18,105,1115,1121,測試紫字首衣褲Lv21
18,137,1116,1122,測試紫字首手套Lv21
18,153,1117,1123,測試紫字首鞋子Lv21
18,121,1118,1124,測試紫字首武器Lv21
18,168,1119,1125,測試紫字首項鍊Lv21
18,178,1120,1126,測試紫字首戒指Lv21
18,113,1115,1121,測試紫字首衣褲Lv21
18,145,1116,1122,測試紫字首手套Lv21
18,161,1117,1123,測試紫字首鞋子Lv21
18,129,1118,1124,測試紫字首武器Lv21
18,168,1119,1125,測試紫字首項鍊Lv21
18,178,1120,1126,測試紫字首戒指Lv21
19,106,1127,1133,測試紫字首衣褲Lv30
19,138,1128,1134,測試紫字首手套Lv30
19,154,1129,1135,測試紫字首鞋子Lv30
19,122,1130,1136,測試紫字首武器Lv30
19,170,1131,1137,測試紫字首項鍊Lv30
19,180,1132,1138,測試紫字首戒指Lv30
19,114,1127,1133,測試紫字首衣褲Lv30
19,146,1128,1134,測試紫字首手套Lv30
19,162,1129,1135,測試紫字首鞋子Lv30
19,130,1130,1136,測試紫字首武器Lv30
19,170,1131,1137,測試紫字首項鍊Lv30
19,180,1132,1138,測試紫字首戒指Lv30
