ID,RoleID,Name,Model,Type,Icon,Animation_Idle,Animation_Hit_1,Animation_Hit_2,Animation_TakeOFF,R18PositionIDs,SFWPositionIDs,Animation_TakeOFF_Idle,TraininRewards,Intimacy,Exp,Description,LockIntimacy,LockItem,Step2LockItem,Step2Rewards,Step2Description,VersionControl
300001,1001,T_TrainingAction_Name_300001,,,Icon/Icon01_Head/Icon01_Head_B_P01,Lobby_idel_00,Lobby_hit_00,Lobby_hit2_00,Lobby_end_00,,,Lobby_idel2_00,300001-308,1,4,,,,,,,56
300002,1001,T_TrainingAction_Name_300002,,,Icon/Icon01_Head/Icon01_Head_B_P01,Lobby_idel_01,Lobby_hit_01,Lobby_hit2_01,Lobby_end_01,,,Lobby_idel2_01,300002-308,2,3,T_TrainingAction_Description_300002,,300002,,,,56
300003,1001,T_TrainingAction_Name_300003,,,Icon/Icon01_Head/Icon01_Head_B_P01,Lobby_idel_02,Lobby_hit_02,Lobby_hit2_02,Lobby_end_02,,,Lobby_idel2_02,300003-308,3,2,T_TrainingAction_Description_300003,,300003,,,,56
300004,1001,T_TrainingAction_Name_300004,,,Icon/Icon01_Head/Icon01_Head_B_P01,Lobby_idel_03,Lobby_hit_03,Lobby_hit2_03,Lobby_end_03,,,Lobby_idel2_03,300004-308,,5,T_TrainingAction_Description_300003,,300004,,,,56
300005,1001,T_TrainingAction_Name_300005,,,Icon/Icon01_Head/Icon01_Head_B_P01,Lobby_idel_04,Lobby_hit_04,Lobby_hit2_04,Lobby_end_04,,,Lobby_idel2_04,300005-308,1,4,T_TrainingAction_Description_300005,,300005,,,,56
300006,1001,T_TrainingAction_Name_300006,,,Icon/Icon01_Head/Icon01_Head_B_P01,Lobby_idel_05,Lobby_hit_05,Lobby_hit2_05,Lobby_end_05,,,Lobby_idel2_05,300006-308,2,3,T_TrainingAction_Description_300005,,300006,,,,56
300007,1001,T_TrainingAction_Name_300007,,,Icon/Icon01_Head/Icon01_Head_B_P01,Lobby_idel_06,Lobby_hit_06,Lobby_hit2_06,Lobby_end_06,,,Lobby_idel2_06,300007-308,,5,T_TrainingAction_Description_300005,,300007,,,,56
300008,1001,T_TrainingAction_Name_300008,,,Icon/Icon01_Head/Icon01_Head_B_P01,Lobby_idel_07,Lobby_hit_07,Lobby_hit2_07,Lobby_end_07,,,Lobby_idel2_07,300008-308,3,2,T_TrainingAction_Description_300005,,300008,,,,56
300017,2001,T_TrainingAction_Name_300001,,,Icon/Icon03_Head/Icon03_Head_B_P02,Lobby_idel_00,Lobby_hit_00,Lobby_hit2_00,Lobby_end_00,,,Lobby_idel2_00,300017-308,1,4,T_TrainingAction_Description_300003,,300017,,,,56
300018,2001,T_TrainingAction_Name_300002,,,,Lobby_idel_01,Lobby_hit_01,Lobby_hit2_01,Lobby_end_01,,,Lobby_idel2_01,300018-308,2,3,T_TrainingAction_Description_300003,,300018,,,,56
300019,2001,T_TrainingAction_Name_300003,,,,Lobby_idel_02,Lobby_hit_02,Lobby_hit2_02,Lobby_end_02,,,Lobby_idel2_02,300019-308,3,2,T_TrainingAction_Description_300003,,300019,,,,56
300020,2001,T_TrainingAction_Name_300004,,,,Lobby_idel_03,Lobby_hit_03,Lobby_hit2_03,Lobby_end_03,,,Lobby_idel2_03,300020-308,,5,T_TrainingAction_Description_300003,,300020,,,,56
300021,2001,T_TrainingAction_Name_300005,,,,Lobby_idel_04,Lobby_hit_04,Lobby_hit2_04,Lobby_end_04,,,Lobby_idel2_04,300021-308,1,4,T_TrainingAction_Description_300005,,300021,,,,56
300022,2001,T_TrainingAction_Name_300006,,,,Lobby_idel_05,Lobby_hit_05,Lobby_hit2_05,Lobby_end_05,,,Lobby_idel2_05,300022-308,2,3,T_TrainingAction_Description_300005,,300022,,,,56
300023,2001,T_TrainingAction_Name_300007,,,,Lobby_idel_06,Lobby_hit_06,Lobby_hit2_06,Lobby_end_06,,,Lobby_idel2_06,300023-308,,5,T_TrainingAction_Description_300005,,300023,,,,56
300024,2001,T_TrainingAction_Name_300008,,,,Lobby_idel_07,Lobby_hit_07,Lobby_hit2_07,Lobby_end_07,,,Lobby_idel2_07,300024-308,3,2,T_TrainingAction_Description_300005,,300024,,,,56
300025,3001,T_TrainingAction_Name_300001,,,Icon/Icon03_Head/Icon03_Head_B_P03,Lobby_idel_00,Lobby_hit_00,Lobby_hit2_00,Lobby_end_00,,,Lobby_idel2_00,300025-308,1,4,T_TrainingAction_Description_300003,,300025,,,,351-56
300026,3001,T_TrainingAction_Name_300002,,,,Lobby_idel_01,Lobby_hit_01,Lobby_hit2_01,Lobby_end_01,,,Lobby_idel2_01,300026-308,2,3,T_TrainingAction_Description_300003,,300026,,,,351-56
