Group,MonsterID,Count,BornPositionID,Period,PeriodCount
G1,999001,3,M1,1,1
G1,999001,2,M4,1,1
G1,999001,3,M7,1,1
G1,999041,1,M4,1,1
G2,999002,2,M3,1,1
G2,999002,2,M6,1,1
G2,999002,2,M9,1,1
G2,999021,1,M4,1,1
G2,999042,1,M6,1,1
G2,999042,1,M8,1,1
G3,999002,1,M2,1,1
G3,999021,1,M2,1,1
G3,999002,1,M4,1,1
G3,999021,1,M4,1,1
G3,999002,1,M8,1,1
G3,999021,1,M8,1,1
G3,999042,3,M6,1,1
G4,999061,3,M8,1,1
G4,999043,2,M8,1,1
G4,999003,1,M5,1,1
G4,999003,2,M1,1,1
G4,999022,1,M5,1,1
G5,999061,1,M8,1,1
G5,999003,1,M5,1,1
G5,999003,1,M1,1,1
G5,999003,1,M7,1,1
G5,999061,1,M3,1,1
G5,999022,1,M1,1,1
G5,999022,1,M7,1,1
G5,999043,2,M6,1,1
G6,999061,3,M9,1,1
G6,999043,2,M9,1,1
G6,999081,1,M5,1,1
G6,999003,2,M2,1,1
G6,999022,1,M6,1,1
G7,999062,3,M9,1,1
G7,999044,2,M9,1,1
G7,999082,1,M5,1,1
G7,999004,2,M2,1,1
G7,999023,1,M6,1,1
G8,999062,1,M7,1,1
G8,999082,1,M4,1,1
G8,999082,1,M1,1,1
G8,999082,1,M6,1,1
G8,999062,1,M2,1,1
G8,999023,1,M1,1,1
G8,999023,1,M6,1,1
G8,999044,2,M5,1,1
G9,999101,1,M5,1,1
G9,999045,5,M3,1,1
G9,999005,3,M7,1,1
G10,999105,1,M5,1,1
G10,999063,5,M2,1,1
G10,999024,3,M8,1,1
G11,999109,1,M5,1,1
G11,999083,1,M4,1,1
G11,999024,3,M6,1,1
G11,999045,4,M9,1,1
G12,999006,3,M1,1,1
G12,999006,2,M4,1,1
G12,999006,3,M7,1,1
G12,999046,1,M4,1,1
G13,999007,2,M3,1,1
G13,999007,2,M6,1,1
G13,999007,2,M9,1,1
G13,999025,1,M4,1,1
G13,999047,1,M6,1,1
G13,999047,1,M8,1,1
G14,999007,1,M2,1,1
G14,999025,1,M2,1,1
G14,999007,1,M4,1,1
G14,999025,1,M4,1,1
G14,999007,1,M8,1,1
G14,999025,1,M8,1,1
G14,999047,3,M6,1,1
G15,999064,3,M8,1,1
G15,999048,2,M8,1,1
G15,999008,1,M5,1,1
G15,999008,2,M1,1,1
G15,999026,1,M5,1,1
G16,999064,1,M8,1,1
G16,999008,1,M5,1,1
G16,999008,1,M1,1,1
G16,999008,1,M7,1,1
G16,999064,1,M3,1,1
G16,999026,1,M1,1,1
G16,999026,1,M7,1,1
G16,999048,2,M6,1,1
G17,999064,3,M9,1,1
G17,999048,2,M9,1,1
G17,999084,1,M5,1,1
G17,999008,2,M2,1,1
G17,999026,1,M6,1,1
G18,999065,3,M9,1,1
G18,999049,2,M9,1,1
G18,999085,1,M5,1,1
G18,999009,2,M2,1,1
G18,999027,1,M6,1,1
G19,999065,1,M7,1,1
G19,999085,1,M4,1,1
G19,999085,1,M1,1,1
G19,999085,1,M6,1,1
G19,999065,1,M2,1,1
G19,999027,1,M1,1,1
G19,999027,1,M6,1,1
G19,999049,2,M5,1,1
G20,999102,1,M5,1,1
G20,999050,5,M3,1,1
G20,999010,3,M7,1,1
G21,999106,1,M5,1,1
G21,999066,5,M2,1,1
G21,999028,3,M8,1,1
G22,999110,1,M5,1,1
G22,999086,1,M4,1,1
G22,999028,3,M6,1,1
G22,999050,4,M9,1,1
G23,999011,3,M1,1,1
G23,999011,2,M4,1,1
G23,999011,3,M7,1,1
G23,999051,1,M4,1,1
G24,999012,2,M3,1,1
G24,999012,2,M6,1,1
G24,999012,2,M9,1,1
G24,999029,1,M4,1,1
G24,999052,1,M6,1,1
G24,999052,1,M8,1,1
G25,999012,1,M2,1,1
G25,999029,1,M2,1,1
G25,999012,1,M4,1,1
G25,999029,1,M4,1,1
G25,999012,1,M8,1,1
G25,999029,1,M8,1,1
G25,999052,3,M6,1,1
G26,999067,3,M8,1,1
G26,999053,2,M8,1,1
G26,999013,1,M5,1,1
G26,999013,2,M1,1,1
G26,999030,1,M5,1,1
G27,999067,1,M8,1,1
G27,999013,1,M5,1,1
G27,999013,1,M1,1,1
G27,999013,1,M7,1,1
G27,999067,1,M3,1,1
G27,999030,1,M1,1,1
G27,999030,1,M7,1,1
G27,999053,2,M6,1,1
G28,999067,3,M9,1,1
G28,999053,2,M9,1,1
G28,999087,1,M5,1,1
G28,999013,2,M2,1,1
