Type,ID,PosX,PosY,PosZ,MonsterID,Camp,ToPosX,ToPosY,ToPosZ
4,,-85.9,,,,2,,,
4,,84.67,,,,1,,,
1,,,1,,,0,,,
1,,,1,30,,0,,,
1,,,1,20,,0,,,
1,,,1,10,,0,,,
1,,,1,-10,,0,,,
1,,,1,-20,,0,,,
1,,,1,-30,,0,,,
1,,-30,1,,,0,,,
1,,-20,1,,,0,,,
1,,-10,1,,,0,,,
1,,10,1,,,0,,,
1,,20,1,,,0,,,
1,,30,1,,,0,,,
1,,-40,1,30,,0,,,
1,,-40,1,20,,0,,,
1,,-40,1,-20,,0,,,
1,,-40,1,-30,,0,,,
1,,40,1,-20,,0,,,
1,,40,1,-30,,0,,,
1,,40,1,20,,0,,,
1,,40,1,30,,0,,,
0,,-40,1,40,,0,,,
0,,,1,40,,0,,,
0,,40,1,40,,0,,,
0,,40,1,-40,,0,,,
0,,,1,-40,,0,,,
0,,-40,1,-40,,0,,,
0,,-20,1,-20,,0,,,
0,,20,1,20,,0,,,
2,,-97.5,1,,,1,20.3,2,43.5
2,,97.5,1,,,2,-32.6,2,-43.2
