Type,ID,PosX,PosY,PosZ,MonsterID,Camp,ToPosX,ToPosY,ToPosZ,Rotation
4,,-80.5,,,,2,,,,90
4,,-85.9,,-5,,2,,,,90
4,,-85.9,,5.5,,2,,,,90
4,,79,,,,1,,,,270
4,,84.67,,4.8,,1,,,,270
4,,84.67,,-5.1,,1,,,,270
2,,97.5,1,,,1,-32.6,2,-43.2,
2,,-97.5,1,,,2,32,2,42.3,
0,,20,1,20,,0,,,,
0,,-20,1,-20,,0,,,,
0,,-40,1,-40,,0,,,,
0,,,1,-40,,0,,,,
0,,40,1,-40,,0,,,,
0,,40,1,40,,0,,,,
0,,,1,40,,0,,,,
0,,-40,1,40,,0,,,,
1,,40,1,32.5,,0,,,,
1,,40,1,16.1,,0,,,,
1,,40,1,-30,,0,,,,
1,,40,1,-14.6,,0,,,,
1,,-40,1,-32.6,,0,,,,
1,,-40,1,-14.3,,0,,,,
1,,-40,1,15.8,,0,,,,
1,,-40,1,31.6,,0,,,,
1,,30,1,,,0,,,,
1,,20,1,,,0,,,,
1,,10,1,,,0,,,,
1,,-10,1,,,0,,,,
1,,-20,1,,,0,,,,
1,,-30,1,,,0,,,,
1,,,1,-30,,0,,,,
1,,,1,-20,,0,,,,
1,,,1,-10,,0,,,,
1,,,1,10,,0,,,,
1,,,1,20,,0,,,,
1,,,1,30,,0,,,,
1,,,1,,,0,,,,
4,,84.67,,,,1,,,,270
4,,-85.9,,,,2,,,,90
