Type,ID,PosX,PosY,PosZ,MonsterID,Camp,ToPosX,ToPosY,ToPosZ,Rotation,Class
4,,-84.5,,,,0,,,,90,
4,,7.3,,-69.8,,0,,,,,
4,,124.6,,-134.9,,0,,,,,
4,,98.4,,130.4,,0,,,,180,
4,,-29.9,,110.5,,0,,,,180,
4,,130.1,,-2,,0,,,,270,
4,,-137.4,,-106.2,,0,,,,90,
4,,-115.5,,133.8,,0,,,,180,
0,,,,,,0,,,,,Battle_Power_Y
0,,58.4,,-56.2,,0,,,,,Skill_Random_R
0,,-54.8,,57.8,,0,,,,,Skill_Random_R
0,,70.8,,38.4,,0,,,,,Skill_Random_R
0,,-88.1,,85.4,,0,,,,,Battle_Power_Y
0,,113.2,,75.9,,0,,,,,Battle_Power_Y
0,,120,,-43.5,,0,,,,,Battle_Power_Y
0,,-129.4,,100.3,,0,,,,,Item_Random
0,,-103.3,,-52.6,,0,,,,,Skill_Random_R
0,,-61.7,,-62.2,,0,,,,,Battle_Power_Y
0,,-64.2,,127,,0,,,,,Item_Random
0,,31.8,,100.7,,0,,,,,Item_Random
0,,-23.2,,-115.1,,0,,,,,Item_Random
0,,117.5,,-106.2,,0,,,,,Item_Random
0,,92.5,,133.8,,0,,,,,Item_Random
0,,17.1,,-37.5,,0,,,,,Item_Random
0,,-19.8,,36.2,,0,,,,,Item_Random
0,,-39.9,,-26.3,,0,,,,,Battle_Power_Y
0,,35.5,,14.7,,0,,,,,Battle_Power_Y
0,,-114.8,,56,,0,,,,,Item_Map
0,,39.6,,-111.3,,0,,,,,Item_Random
0,,-140,,-43.4,,0,,,,,Item_Random
