Type,ID,PosX,PosY,PosZ,MonsterID,Camp,ToPosX,ToPosY,ToPosZ,Rotation
0,,-.33,1,-30.22,,0,,,,
0,,29.57,1,-.14,,0,,,,
0,,-30.07,1,-.4,,0,,,,
0,,-.16,1,24.35,,0,,,,
4,,,,-10,,1,,,,
4,,,,,,0,,,,
5,M9,82,,-1.1,,0,,,,
5,M8,82,,-1.1,,0,,,,
5,M7,82,,-1.1,,0,,,,
5,M6,.1,,-68.5,,0,,,,
5,M5,,,,,0,,,,
5,M4,,,66.9,,0,,,,
5,M3,-83.8,,,,0,,,,
5,M2,-83.8,,,,0,,,,
5,M1,-83.8,,,,0,,,,
0,,-65,1,-34.9,,0,,,,
0,,-64.7,1,.6,,0,,,,
0,,64.4,1,,,0,,,,
0,,-31.1,1,65.1,,0,,,,
0,,34,1,65.1,,0,,,,
0,,32.2,1,-64.5,,0,,,,
0,,-29.9,1,-64.3,,0,,,,
0,,66.2,1,-24.3,,0,,,,
0,,-62.8,1,33.6,,0,,,,
0,,67,1,35.3,,0,,,,
