RuneID,Level,CostCount,CostMoney,AttributeID,AttributeGroupRate,SpecialAttributeID,SpecialAttributeTIP
100000,,10,10,,,,
100000,1,10,10,110000,1,120000,攻擊值+2%
100000,2,10,10,110001,1,,
100000,3,10,10,110002,1,,
100000,4,10,10,110003,1,,
100000,5,10,10,110004,1,120001,攻擊值+3%
100000,6,10,10,110005,1,,
100000,7,10,10,110006,1,,
100000,8,10,10,110007,1,,
100000,9,10,10,110008,1,,
100000,10,10,10,110009,1,120002,攻擊值+5%
100001,,10,10,,,,
100001,1,10,10,110000,1,120003,暴擊機率+3%
100001,2,10,10,110001,1,,
100001,3,10,10,110002,1,,
100001,4,10,10,110003,1,,
100001,5,10,10,110004,1,120004,暴擊機率+6%
100001,6,10,10,110005,1,,
100001,7,10,10,110006,1,,
100001,8,10,10,110007,1,,
100001,9,10,10,110008,1,,
100001,10,10,10,110009,1,120005,暴擊機率+10%
100002,,10,10,,,,
100002,1,10,10,110000,1,120006,暴擊傷害+18%
100002,2,10,10,110001,1,,
100002,3,10,10,110002,1,,
100002,4,10,10,110003,1,,
100002,5,10,10,110004,1,120007,暴擊傷害+36%
100002,6,10,10,110005,1,,
100002,7,10,10,110006,1,,
100002,8,10,10,110007,1,,
100002,9,10,10,110008,1,,
100002,10,10,10,110009,1,120008,暴擊傷害+60%
100003,,10,10,,,,
100003,1,10,10,110000,1,120009,穿透+6%
100003,2,10,10,110001,1,,
100003,3,10,10,110002,1,,
100003,4,10,10,110003,1,,
100003,5,10,10,110004,1,120010,穿透+12%
100003,6,10,10,110005,1,,
100003,7,10,10,110006,1,,
100003,8,10,10,110007,1,,
100003,9,10,10,110008,1,,
100003,10,10,10,110009,1,120011,穿透+20%
100004,,10,10,,,,
100004,1,10,10,110000,1,120012,生命值+2%
100004,2,10,10,110001,1,,
100004,3,10,10,110002,1,,
100004,4,10,10,110003,1,,
100004,5,10,10,110004,1,120013,生命值+3%
100004,6,10,10,110005,1,,
100004,7,10,10,110006,1,,
100004,8,10,10,110007,1,,
100004,9,10,10,110008,1,,
100004,10,10,10,110009,1,120014,生命值+5%
100005,,10,10,,,,
100005,1,10,10,110000,1,120015,防禦值+4.5%
100005,2,10,10,110001,1,,
100005,3,10,10,110002,1,,
100005,4,10,10,110003,1,,
100005,5,10,10,110004,1,120016,防禦值+9%
100005,6,10,10,110005,1,,
100005,7,10,10,110006,1,,
100005,8,10,10,110007,1,,
100005,9,10,10,110008,1,,
100005,10,10,10,110009,1,120017,防禦值+15%
100006,,10,10,,,,
100006,1,10,10,110000,1,120018,移動速度+3%
100006,2,10,10,110001,1,,
100006,3,10,10,110002,1,,
100006,4,10,10,110003,1,,
100006,5,10,10,110004,1,120019,移動速度+6%
100006,6,10,10,110005,1,,
100006,7,10,10,110006,1,,
100006,8,10,10,110007,1,,
100006,9,10,10,110008,1,,
100006,10,10,10,110009,1,120020,移動速度+10%
100007,,10,10,,,,
100007,1,10,10,110000,1,120021,暴擊抵抗+2.7%
100007,2,10,10,110001,1,,
100007,3,10,10,110002,1,,
100007,4,10,10,110003,1,,
100007,5,10,10,110004,1,120022,暴擊抵抗+5.4%
100007,6,10,10,110005,1,,
100007,7,10,10,110006,1,,
100007,8,10,10,110007,1,,
100007,9,10,10,110008,1,,
100007,10,10,10,110009,1,120023,暴擊抵抗+9%
100008,,10,10,,,,
100008,1,10,10,110000,1,120024,吸血+2.4%
100008,2,10,10,110001,1,,
100008,3,10,10,110002,1,,
100008,4,10,10,110003,1,,
100008,5,10,10,110004,1,120025,吸血+4.8%
100008,6,10,10,110005,1,,
100008,7,10,10,110006,1,,
100008,8,10,10,110007,1,,
100008,9,10,10,110008,1,,
100008,10,10,10,110009,1,120026,吸血+8%
100009,,10,10,,,,
100009,1,10,10,110000,1,120027,攻擊速度+2.4%
100009,2,10,10,110001,1,,
100009,3,10,10,110002,1,,
100009,4,10,10,110003,1,,
100009,5,10,10,110004,1,120028,攻擊速度+4.8%
100009,6,10,10,110005,1,,
100009,7,10,10,110006,1,,
100009,8,10,10,110007,1,,
100009,9,10,10,110008,1,,
100009,10,10,10,110009,1,120029,攻擊速度+8%
100010,,10,10,,,,
100010,1,10,10,110000,1,120030,每秒能量恢復+1
100010,2,10,10,110001,1,,
100010,3,10,10,110002,1,,
100010,4,10,10,110003,1,,
100010,5,10,10,110004,1,120031,每秒能量恢復+2
100010,6,10,10,110005,1,,
100010,7,10,10,110006,1,,
100010,8,10,10,110007,1,,
100010,9,10,10,110008,1,,
100010,10,10,10,110009,1,120032,每秒能量恢復+3
100011,,10,10,,,,
100011,1,10,10,110000,1,120033,生命恢復+5
100011,2,10,10,110001,1,,
100011,3,10,10,110002,1,,
100011,4,10,10,110003,1,,
100011,5,10,10,110004,1,120034,生命恢復+10
100011,6,10,10,110005,1,,
100011,7,10,10,110006,1,,
100011,8,10,10,110007,1,,
100011,9,10,10,110008,1,,
100011,10,10,10,110009,1,120035,生命恢復+15
100012,,10,10,,,,
100012,1,10,10,110000,1,120036,韌性+9%
100012,2,10,10,110001,1,,
100012,3,10,10,110002,1,,
100012,4,10,10,110003,1,,
100012,5,10,10,110004,1,120037,韌性+18%
100012,6,10,10,110005,1,,
100012,7,10,10,110006,1,,
100012,8,10,10,110007,1,,
100012,9,10,10,110008,1,,
100012,10,10,10,110009,1,120038,韌性+30%
150001,,10,10,,,,
150001,1,10,10,110010,1,130000,待定
150001,2,10,10,110011,1,,
150001,3,10,10,110012,1,,
150001,4,10,10,110013,1,,
150001,5,10,10,110014,1,130001,待定
150001,6,10,10,110015,1,,
150001,7,10,10,110016,1,,
150001,8,10,10,110017,1,,
150001,9,10,10,110018,1,,
150001,10,10,10,110019,1,130002,待定
150002,,10,10,,,,
150002,1,10,10,110010,1,130003,待定
150002,2,10,10,110011,1,,
150002,3,10,10,110012,1,,
150002,4,10,10,110013,1,,
150002,5,10,10,110014,1,130004,待定
150002,6,10,10,110015,1,,
150002,7,10,10,110016,1,,
150002,8,10,10,110017,1,,
150002,9,10,10,110018,1,,
150002,10,10,10,110019,1,130005,待定
150003,,10,10,,,,
150003,1,10,10,110010,1,130006,待定
150003,2,10,10,110011,1,,
150003,3,10,10,110012,1,,
150003,4,10,10,110013,1,,
150003,5,10,10,110014,1,130007,待定
150003,6,10,10,110015,1,,
150003,7,10,10,110016,1,,
150003,8,10,10,110017,1,,
150003,9,10,10,110018,1,,
150003,10,10,10,110019,1,130008,待定
150004,,10,10,,,,
150004,1,10,10,110010,1,130009,待定
150004,2,10,10,110011,1,,
150004,3,10,10,110012,1,,
150004,4,10,10,110013,1,,
150004,5,10,10,110014,1,130010,待定
150004,6,10,10,110015,1,,
150004,7,10,10,110016,1,,
